date,callorput,open,high,close,buyprice,sellprice,profit,totalprofit,roi,outputmoney,walletmoney,number
2017/1/10,put,9332.0,9350.0,9341.0,9332.0,9341.0,-2000.0,-2000.0,-0.0240963855422,-83000,81000.0,1.0
2017/1/11,put,9395.0,9396.0,9337.0,9395.0,9337.0,11400.0,9400.0,0.110588235294,-85000.0,94400.0,1.0
2017/1/12,put,9353.0,9433.0,9411.0,9353.0,9411.0,-11800.0,-2400.0,-0.0282352941176,-85000.0,82600.0,1.0
2017/1/13,put,9388.0,9397.0,9375.0,9388.0,9375.0,2400.0,0.0,0.0,-85400.0,85400.0,1.0
2017/1/16,put,9360.0,9362.0,9285.0,9360.0,9285.0,14800.0,14800.0,0.173302107728,-85400.0,100200.0,1.0
2017/1/17,put,9282.0,9344.0,9340.0,9282.0,9340.0,-11800.0,3000.0,0.0351288056206,-85400.0,88400.0,1.0
2017/1/18,put,9336.0,9349.0,9340.0,9336.0,9340.0,-1000.0,2000.0,0.0234192037471,-85400.0,87400.0,1.0
2017/1/19,put,9337.0,9342.0,9304.0,9337.0,9304.0,6400.0,8400.0,0.0983606557377,-85400.0,93800.0,1.0
2017/1/20,put,9283.0,9338.0,9330.0,9283.0,9330.0,-9600.0,-1200.0,-0.0140515222482,-85400.0,84200.0,1.0
2017/1/23,put,9319.0,9423.0,9407.0,9319.0,9407.0,-17800.0,-19000.0,-0.222482435597,-85400.0,66400.0,1.0
2017/1/24,put,9423.0,9464.0,9442.0,9423.0,9442.0,-4000.0,-23000.0,-0.225490196078,-102000.0,79000.0,1.0
2017/2/2,put,9500.0,9510.0,9375.0,9500.0,9375.0,24800.0,1800.0,0.0169811320755,-106000.0,107800.0,1.0
2017/2/3,put,9418.0,9458.0,9437.0,9418.0,9437.0,-4000.0,-2200.0,-0.0207547169811,-106000.0,103800.0,1.0
2017/2/6,put,9477.0,9533.0,9505.0,9477.0,9505.0,-5800.0,-8000.0,-0.0754716981132,-106000.0,98000.0,1.0
2017/2/7,put,9499.0,9525.0,9520.0,9499.0,9520.0,-4400.0,-12400.0,-0.116981132075,-106000.0,93600.0,1.0
2017/2/8,put,9513.0,9535.0,9515.0,9513.0,9515.0,-600.0,-13000.0,-0.122641509434,-106000.0,93000.0,1.0
2017/2/9,put,9518.0,9579.0,9574.0,9518.0,9574.0,-11400.0,-24400.0,-0.230188679245,-106000.0,81600.0,1.0
2017/2/10,put,9600.0,9681.0,9657.0,9600.0,9657.0,-11600.0,-36000.0,-0.335195530726,-107400.0,71400.0,1.0
2017/2/13,put,9670.0,9705.0,9704.0,9670.0,9704.0,-7000.0,-43000.0,-0.361344537815,-119000.0,76000.0,1.0
2017/2/14,put,9729.0,9758.0,9708.0,9729.0,9708.0,4000.0,-39000.0,-0.309523809524,-126000.0,87000.0,1.0
