交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
2017/1/3,TXO,201701,7600,買權,0,0,0,0,0,1680,0,1260,2070,0,0,
2017/1/3,TXO,201701,7600,賣權,0.4,0.4,0.3,0.3,80,0.2,1216,0.1,0.3,20,0.3,
2017/1/3,TXO,201701,7700,買權,0,0,0,0,0,1580,12,1160,1970,1530,1530,
2017/1/3,TXO,201701,7700,賣權,0.4,0.4,0.3,0.3,81,0.2,1937,0.1,0.3,40,0.2,
2017/1/3,TXO,201701,7800,買權,0,0,0,0,0,1480,12,1060,1870,1430,1430,
2017/1/3,TXO,201701,7800,賣權,0.3,0.3,0.3,0.3,8,0.3,2378,0.2,0.4,48,0.3,
2017/1/3,TXO,201701,7900,買權,0,0,0,0,0,1380,20,965,1770,1350,1350,
2017/1/3,TXO,201701,7900,賣權,0,0,0,0,0,0.4,1572,0.3,0.4,59,0.4,
2017/1/3,TXO,201701,8000,買權,0,0,0,0,0,1280,4,865,1670,1240,1050,
2017/1/3,TXO,201701,8000,賣權,0.5,0.5,0.4,0.5,63,0.5,2759,0.3,0.5,70,0.4,
2017/1/3,TXO,201701,8100,買權,1010,1280,1010,1280,2,1180,14,765,1570,1280,1010,
2017/1/3,TXO,201701,8100,賣權,0.6,0.7,0.4,0.6,52,0.6,2383,0.4,0.6,82,0.4,
2017/1/3,TXO,201701,8200,買權,0,0,0,0,0,1080,73,152,1460,1190,755,
2017/1/3,TXO,201701,8200,賣權,0.6,0.7,0.6,0.6,91,0.6,4270,0.5,0.7,97,0.6,
2017/1/3,TXO,201701,8300,買權,0,0,0,0,0,980,10,100,1290,940,670,
2017/1/3,TXO,201701,8300,賣權,1.1,1.1,0.8,0.8,604,0.8,5710,0.8,0.9,117,0.8,
2017/1/3,TXO,201701,8400,買權,875,875,875,875,4,880,42,101,1220,890,535,
2017/1/3,TXO,201701,8400,賣權,1.3,1.7,1.2,1.2,769,1.2,6991,1.1,1.3,128,1.2,
2017/1/3,TXO,201701,8500,買權,795,795,790,790,2,780,24,680,795,845,500,
2017/1/3,TXO,201701,8500,賣權,1.8,2.6,1.5,1.5,1048,1.5,12651,1.3,1.6,152,1.5,
2017/1/3,TXO,201701,8600,買權,665,685,665,685,25,685,59,418,690,760,400,
2017/1/3,TXO,201701,8600,賣權,3.3,3.9,2.3,2.3,1294,2.3,15939,2.2,2.4,191,2.3,
2017/1/3,TXO,201701,8700,買權,570,570,565,565,8,585,152,580,590,675,348,
2017/1/3,TXO,201701,8700,賣權,4.6,6.3,3.7,3.7,2850,3.7,21245,3.6,3.8,213,3.7,
2017/1/3,TXO,201701,8800,買權,449,483,447,483,92,487,450,485,489,620,265,
2017/1/3,TXO,201701,8800,賣權,8.5,10,5.3,5.5,6002,5.5,24806,5.4,5.5,244,5.3,
2017/1/3,TXO,201701,8900,買權,378,386,354,386,120,391,1542,389,393,535,205,
2017/1/3,TXO,201701,8900,賣權,14,17,9.3,9.3,5814,9.3,17715,9.5,9.6,292,9.3,
2017/1/3,TXO,201701,9000,買權,289,298,259,298,519,298,2745,296,298,453,158,
2017/1/3,TXO,201701,9000,賣權,23,28.5,16.5,17,7813,17,22957,17,17.5,347,16.5,
2017/1/3,TXO,201701,9100,買權,208,213,179,210,2539,210,4587,210,211,479,107,
2017/1/3,TXO,201701,9100,賣權,38,47.5,30,31,8124,31,17252,30.5,31,395,30,
2017/1/3,TXO,201701,9200,買權,132,138,111,136,5312,136,11595,135,136,300,61,
2017/1/3,TXO,201701,9200,賣權,66,79,55,56,13646,56,14388,55,56,431,55,
2017/1/3,TXO,201701,9300,買權,72,79,60,76,10091,76,18551,76,77,247,30.5,
2017/1/3,TXO,201701,9300,賣權,110,128,95,96,3498,96,8040,95,96,490,95,
2017/1/3,TXO,201701,9400,買權,35.5,38,27,36,11381,36,31942,35.5,36,195,13.5,
2017/1/3,TXO,201701,9400,賣權,171,195,155,155,1311,155,2556,155,156,565,134,
2017/1/3,TXO,201701,9500,買權,15,16,10.5,13.5,10093,13.5,31665,13.5,14,143,5.5,
2017/1/3,TXO,201701,9500,賣權,254,278,235,235,291,235,1162,232,234,650,181,
2017/1/3,TXO,201701,9600,買權,4.7,5.4,3.6,4.3,4296,4.3,24507,4.4,4.6,106,2.1,
2017/1/3,TXO,201701,9600,賣權,353,366,326,328,275,328,358,321,326,735,243,
2017/1/3,TXO,201701,9700,買權,1.4,1.8,1.2,1.5,1230,1.5,14956,1.5,1.8,73,1.1,
2017/1/3,TXO,201701,9700,賣權,440,440,426,426,2,426,74,418,424,590,316,
2017/1/3,TXO,201701,9800,買權,0.9,1,0.7,0.8,457,0.8,9711,0.7,1,48,0.7,
2017/1/3,TXO,201701,9800,賣權,0,0,0,0,0,520,19,447,855,760,425,
2017/1/3,TXO,201701,9900,買權,0.5,0.5,0.5,0.5,112,0.5,6137,0.4,0.5,30.5,0.5,
2017/1/3,TXO,201701,9900,賣權,0,0,0,0,0,620,21,372,1060,655,545,
2017/1/3,TXO,201701,10000,買權,0.2,0.2,0.2,0.2,1,0.3,2640,0.2,0.4,19,0.2,
2017/1/3,TXO,201701,10000,賣權,0,0,0,0,0,720,4,458,1650,775,775,
2017/1/3,TXO,201701,10200,買權,0,0,0,0,0,0.3,742,0.1,0.4,7,0.3,
2017/1/3,TXO,201701,10200,賣權,0,0,0,0,0,920,1,94,1330,975,975,
2017/1/3,TXO,201701,10400,買權,0.2,0.2,0.2,0.2,1,0.2,345,0.1,0.3,3,0.1,
2017/1/3,TXO,201701,10400,賣權,0,0,0,0,0,1120,0,735,1540,0,0,
2017/1/3,TXO,201701,10600,買權,0.2,0.2,0.2,0.2,2,0.2,289,0.1,0.2,1.5,0.1,
2017/1/3,TXO,201701,10600,賣權,0,0,0,0,0,1320,0,935,1740,0,0,
2017/1/3,TXO,201701,10800,買權,0,0,0,0,0,0.1,516,0.1,0.2,1.3,0.1,
