Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
1999/9/30,10214.1,10402.8,10212.8,10337,10281.74,10447.74,10702.84,10885.73,158,153,147,-187.22,-129.88,-57.34,0.2254 ,0.1928 ,0.3539 ,0.3363 
1999/10/1,10335.7,10335.7,10184,10273,10280.48,10394.68,10674.33,10871.49,152,145,145,-190.66,-142.04,-48.62,0.2365 ,0.2074 ,0.3061 ,0.3144 
1999/10/4,10274.6,10417.7,10274.3,10401.2,10300.04,10352.41,10640.47,10858.29,134,144,149,-182.63,-150.16,-32.47,0.3609 ,0.2586 ,0.4763 ,0.3998 
1999/10/5,10401.2,10509.2,10277.1,10400.6,10325.06,10332.62,10608.79,10844.95,161,148,153,-172.4,-154.6,-17.79,0.4573 ,0.3248 ,0.4757 ,0.3996 
1999/10/6,10399.8,10588.3,10399.5,10588.3,10400.02,10339.04,10586.39,10835.17,139,149,153,-150.91,-153.86,2.95,0.6382 ,0.4293 ,0.6543 ,0.5066 
1999/10/7,10588.3,10604.5,10508.2,10537,10440.02,10360.88,10559.27,10824.98,130,143,148,-131.91,-149.47,17.56,0.7158 ,0.5248 ,0.5885 ,0.4810 
1999/10/8,10534.5,10655.8,10506.3,10649.8,10515.38,10397.93,10540.34,10816.04,134,140,142,-110.04,-141.59,31.55,0.8071 ,0.6189 ,0.6748 ,0.5371 
1999/10/11,10649.8,10719.1,10634.9,10648.2,10564.78,10432.41,10521.24,10806.68,95.14,132,138,-87.89,-130.85,42.96,0.8272 ,0.6883 ,0.6724 ,0.5362 
1999/10/12,10648.8,10648.8,10417.1,10417.1,10568.08,10446.57,10496.58,10793.83,139,128,138,-84.49,-121.58,37.08,0.6967 ,0.6911 ,0.4160 ,0.4246 
1999/10/13,10412.3,10443,10226.5,10232.2,10496.86,10448.44,10468.12,10781.1,178,135,142,-96.15,-116.49,20.34,0.4945 ,0.6256 ,0.3046 ,0.3593 
1999/10/14,10230.9,10343,10133.7,10286.6,10446.78,10443.4,10445.57,10769.17,152,140,142,-105.87,-114.37,8.5,0.4167 ,0.5560 ,0.3647 ,0.3894 
1999/10/15,10286.6,10286.6,9998.18,10019.7,10320.76,10418.07,10406.38,10753.34,179,149,144,-126.74,-116.84,-9.9,0.2878 ,0.4666 ,0.2417 ,0.3111 
1999/10/18,10018.5,10128,9976.02,10116.3,10214.38,10389.58,10371,10740.1,165,163,147,-141.41,-121.75,-19.65,0.2548 ,0.3960 ,0.3386 ,0.3618 
1999/10/19,10117.5,10335.4,10117.5,10204.9,10171.94,10370.01,10351.32,10729.13,181,171,149,-140.79,-125.56,-15.23,0.2725 ,0.3548 ,0.4201 ,0.4055 
1999/10/20,10203.3,10392.4,10203.3,10392.4,10203.98,10350.42,10344.73,10719.35,193,174,155,-128.38,-126.13,-2.25,0.3685 ,0.3594 ,0.5584 ,0.4868 
1999/10/21,10390.7,10390.7,10177.4,10297.7,10206.2,10326.49,10343.68,10708.11,246,193,166,-121.52,-125.2,3.69,0.3899 ,0.3696 ,0.4879 ,0.4527 
1999/10/22,10299,10520.9,10299,10470.2,10296.3,10308.53,10353.23,10702.76,182,194,171,-102.86,-120.73,17.88,0.5048 ,0.4146 ,0.5986 ,0.5195 
1999/10/25,10469,10469.3,10315.1,10349.9,10343.02,10278.7,10355.56,10697.67,135,188,175,-92.57,-115.1,22.53,0.5653 ,0.4648 ,0.5069 ,0.4754 
1999/10/26,10350.9,10408.2,10300.9,10302.1,10362.46,10267.2,10356.89,10691.94,177,187,179,-86.86,-109.45,22.59,0.5763 ,0.5020 ,0.4724 ,0.4585 
1999/10/27,10302.8,10420.5,10274,10394.9,10362.96,10283.47,10365.96,10687.23,177,184,179,-77.99,-103.16,25.17,0.6405 ,0.5482 ,0.5446 ,0.4964 
1999/10/28,10397.7,10637.7,10397.7,10622.5,10427.92,10317.06,10380.23,10686.36,224,179,186,-54.28,-93.39,39.11,0.7527 ,0.6163 ,0.6754 ,0.5758 
1999/10/29,10629.2,10790,10628.9,10729.9,10479.86,10388.08,10403.08,10685.3,221,187,190,-23.15,-79.34,56.19,0.8053 ,0.6793 ,0.7208 ,0.6077 
1999/11/1,10730.8,10745.8,10648.5,10648.5,10539.58,10441.3,10415.44,10684.2,151,190,189,-2.23,-63.92,61.69,0.7932 ,0.7173 ,0.6395 ,0.5722 
