Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,openposition,change_openposition
2000/1/27,9750,9810,9690,9730,9550.4,9401.4,9171.95,8289.38,2234,2265,1787,352.46,329.67,22.8,0.89,0.87,0.82,0.78,3106,55
2000/1/28,9660,9800,9657,9800,9640.4,9458.4,9233.75,8325.73,1935,2197,1825,359.65,335.66,23.99,0.92,0.88,0.84,0.79,3150,44
2000/1/29,9700,9759,9685,9759,9692.6,9504.3,9279.55,8361.4,1907,2153,1889,359.29,340.39,18.9,0.92,0.9,0.78,0.76,3259,109
2000/1/31,9736,9870,9710,9867,9775.6,9563.2,9332.4,8401.83,1525,2111,1981,361.93,344.7,17.23,0.95,0.91,0.82,0.78,3244,-15
2000/2/1,9949,10030,9930,10030,9837.2,9647.7,9391.4,8445.97,2075,1935,2089,373.95,350.55,23.4,0.96,0.93,0.87,0.81,3065,-179
2000/2/9,10173,10199,10081,10149,9921,9735.7,9457.4,8491.07,1838,1856,2061,390.24,358.49,31.75,0.96,0.94,0.89,0.83,3128,63
2000/2/10,10140,10195,10099,10145,9990,9815.2,9504.65,8533.9,1336,1736,1967,398.67,366.52,32.15,0.95,0.94,0.89,0.83,2933,-195
2000/2/11,10185,10287,10160,10167,10071.6,9882.1,9565.45,8576.98,1463,1647,1900,404.67,374.15,30.51,0.91,0.93,0.89,0.83,2405,-528
2000/2/14,10100,10158,9962,9980,10094.2,9934.9,9604.95,8616.17,1107,1564,1837,390.77,377.48,13.29,0.78,0.88,0.6,0.7,1774,-631
2000/2/15,9901,10005,9881,9988,10085.8,9961.5,9648.6,8654.82,979,1345,1640,371.08,376.2,-5.12,0.7,0.82,0.61,0.7,1093,-681
2000/2/16,9999,10090,9999,10090,10074,9997.5,9699.45,8693.97,636,1104,1480,359.54,372.87,-13.32,0.69,0.78,0.69,0.73,572,-521
2000/2/17,10140,10328,10122,10293,10103.6,10046.8,9752.6,8735.52,2132,1263,1500,361.7,370.63,-8.93,0.77,0.77,0.79,0.77,3173,2601
2000/2/18,10373,10438,10131,10160,10102.2,10086.9,9795.6,8771.85,2899,1551,1599,356.34,367.77,-11.43,0.68,0.74,0.63,0.69,3162,-11
2000/2/19,10103,10309,10093,10286,10163.4,10128.8,9846,8807.63,2357,1801,1682,349.78,364.18,-14.4,0.7,0.73,0.7,0.72,3538,376
2000/2/21,10219,10270,10000,10020,10169.8,10127.8,9887.75,8839.13,2472,2099,1722,327.4,356.82,-29.42,0.55,0.67,0.47,0.59,3638,100
2000/2/22,9961,10020,9771,9875,10126.8,10100.4,9918.05,8870.97,4247,2821,1963,290.81,343.62,-52.81,0.42,0.58,0.39,0.53,3618,-20
2000/2/23,9820,9890,9701,9701,10008.4,10056,9935.6,8899.05,2429,2881,2072,247.89,324.47,-76.58,0.28,0.48,0.31,0.47,3855,237
2000/2/24,9780,9845,9670,9740,9924.4,10013.3,9947.7,8933.05,2448,2791,2171,211.48,301.88,-90.39,0.22,0.39,0.35,0.48,3923,68
2000/2/25,9750,9753,9550,9602,9787.6,9975.5,9955.2,8962.17,2380,2795,2298,170.82,275.66,-104.85,0.16,0.32,0.29,0.44,4108,185
2000/2/29,9652,9720,9580,9630,9709.6,9939.7,9950.6,8993.27,1910,2683,2391,138.07,248.14,-110.08,0.14,0.26,0.32,0.45,4476,368
2000/3/1,9701,9845,9701,9845,9703.6,9915.2,9956.35,9027.02,2459,2325,2573,124.31,223.38,-99.06,0.2,0.24,0.51,0.53,4151,-325
2000/3/2,9839,9845,9665,9693,9702,9855.2,9951,9057.77,2159,2271,2576,105.34,199.77,-94.43,0.2,0.23,0.41,0.48,4360,209
2000/3/3,9700,9765,9671,9760,9706,9815.2,9951.05,9087.53,1589,2099,2445,90.48,177.91,-87.44,0.23,0.23,0.46,0.5,4480,120
2000/3/4,9840,9844,9670,9675,9720.6,9754.1,9941.45,9115.08,1682,1960,2378,75.96,157.52,-81.56,0.24,0.23,0.41,0.47,4483,3
2000/3/6,9630,9645,9522,9525,9699.6,9704.6,9916.2,9141.68,1956,1969,2326,50.82,136.18,-85.36,0.16,0.21,0.32,0.42,4565,82
2000/3/7,9480,9585,9426,9565,9643.6,9673.6,9887,9169.93,2067,1891,2108,29.03,114.75,-85.72,0.22,0.21,0.36,0.44,4739,174
2000/3/8,9530,9625,9500,9520,9609,9655.5,9855.75,9197.93,1853,1829,2050,12.1,94.22,-82.12,0.22,0.22,0.34,0.42,4727,-12
2000/3/9,9575,9694,9575,9687,9594.4,9650.2,9831.75,9229.88,1936,1899,1999,8.24,77.03,-68.79,0.36,0.26,0.51,0.49,4399,-328
2000/3/10,9710,9740,9515,9520,9563.4,9642,9808.75,9258.55,1837,1930,1945,-1.82,61.26,-63.08,0.31,0.28,0.39,0.44,4043,-356
2000/3/13,9430,9430,8854,8854,9429.2,9564.4,9752.05,9273.62,1938,1926,1948,-55.62,37.88,-93.5,0.21,0.26,0.18,0.29,2920,-1123
2000/3/14,8550,8891,8529,8848,9285.8,9464.7,9689.95,9289.88,1870,1887,1889,-114.6,7.39,-121.98,0.22,0.24,0.18,0.29,1828,-1092
2000/3/15,8735,8898,8590,8590,9099.8,9354.4,9604.8,9301.67,1152,1747,1788,-168.44,-27.78,-140.66,0.16,0.22,0.14,0.25,863,-965
2000/3/16,8650,8730,8380,8664,8895.2,9244.8,9530,9316.15,3350,2029,1964,-213.28,-64.88,-148.4,0.18,0.2,0.2,0.28,2714,1851
2000/3/17,8701,8726,8552,8564,8704,9133.7,9443.9,9328.62,3625,2387,2158,-246.63,-101.23,-145.4,0.16,0.19,0.18,0.26,3216,502
2000/3/20,8265,8265,8265,8265,8586.2,9007.7,9356.15,9335.37,274,2054,1990,-296.79,-140.34,-156.45,0.11,0.16,0.13,0.22,3265,49
2000/3/21,8259,8843,8259,8843,8585.2,8935.5,9304.55,9352.07,2840,2248,2068,-298.24,-171.92,-126.32,0.2,0.18,0.47,0.41,2968,-297
