Date,Open,High,Low,Close,EMA5,EMA10,RSV9,DIF7-12,MACD5,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
1998/9/28,6860,6880,6801,6840,6869.14,6866.53,0.24,11.69,21.55,-9.86,0.39,0.51,0.47,0.49,3442,173
1998/9/29,6870,6875,6780,6806,6848.09,6855.52,0.12,4.81,15.97,-11.16,0.3,0.44,0.43,0.47,3590,148
1998/9/30,6806,6827,6751,6787,6827.73,6843.07,0.12,-2.51,9.81,-12.32,0.24,0.37,0.4,0.46,3554,-36
1998/10/1,6738,6745,6620,6620,6758.49,6802.51,0,-20.2,-0.19,-20.01,0.16,0.3,0.26,0.38,3384,-170
1998/10/2,6530,6530,6311,6398,6638.32,6728.96,0.13,-53.93,-18.11,-35.82,0.15,0.25,0.16,0.31,2943,-441
1998/10/3,6398,6555,6398,6550,6608.88,6696.42,0.38,-63.25,-33.15,-30.1,0.23,0.24,0.36,0.4,2930,-13
1998/10/6,6490,6493,6320,6450,6555.92,6651.62,0.22,-74.91,-47.07,-27.84,0.22,0.24,0.3,0.36,3079,149
1998/10/7,6469,6640,6469,6639,6583.61,6649.32,0.58,-63.23,-52.46,-10.77,0.34,0.27,0.48,0.46,3347,268
1998/10/8,6600,7035,6600,6981,6716.08,6709.63,0.93,-24.3,-43.07,18.78,0.54,0.36,0.67,0.58,3089,-258
1998/10/9,6980,7028,6830,6900,6777.38,6744.24,0.81,2.81,-27.78,30.59,0.63,0.45,0.61,0.55,3164,75
1998/10/12,6980,6980,6900,6935,6829.92,6778.93,0.86,22.12,-11.14,33.26,0.71,0.53,0.63,0.56,3119,-45
1998/10/13,6950,6990,6851,6852,6837.28,6792.21,0.75,28.59,2.1,26.49,0.72,0.6,0.55,0.53,3101,-18
1998/10/14,6830,6830,6740,6775,6816.52,6789.08,0.64,21.39,8.53,12.86,0.69,0.63,0.49,0.49,2706,-395
1998/10/15,6775,6781,6720,6760,6797.68,6783.79,0.62,13.61,10.22,3.39,0.67,0.64,0.48,0.49,2752,46
1998/10/17,6950,6975,6895,6908,6834.45,6806.38,0.82,24.14,14.86,9.28,0.72,0.67,0.6,0.55,2396,-356
1998/10/19,6920,6926,6871,6900,6856.3,6823.4,0.76,27.75,19.16,8.59,0.73,0.69,0.59,0.54,2039,-357
1998/10/20,6885,6898,6812,6812,6841.54,6821.33,0.49,22.65,20.32,2.33,0.65,0.68,0.49,0.5,1367,-672
1998/10/21,6812,7055,6789,7054,6912.36,6863.63,1,33.4,24.68,8.72,0.77,0.71,0.67,0.6,579,-788
1998/10/22,7000,7038,6905,6955,6926.57,6880.24,0.7,36.56,28.64,7.92,0.74,0.72,0.57,0.55,3761,3182
1998/10/23,7021,7040,6962,7015,6956.05,6904.74,0.88,41.46,32.91,8.55,0.79,0.74,0.61,0.57,4110,349
1998/10/26,6970,7010,6951,7010,6974.03,6923.88,0.87,41.75,35.86,5.89,0.82,0.77,0.61,0.57,4387,277
1998/10/27,7000,7061,6980,7014,6987.35,6940.27,0.86,42.44,38.05,4.39,0.83,0.79,0.61,0.57,4784,397
1998/10/28,7010,7020,6906,6914,6962.9,6935.49,0.46,33.68,36.6,-2.92,0.71,0.76,0.48,0.52,4791,7
1998/10/29,6940,6965,6907,6965,6963.6,6940.86,0.65,27.98,33.72,-5.75,0.69,0.74,0.54,0.54,5046,255
1998/10/30,6974,7046,6950,7035,6987.4,6957.97,0.9,29.63,32.36,-2.73,0.76,0.74,0.61,0.57,5204,158
1998/10/31,7070,7120,7035,7118,7030.93,6987.07,0.99,37.35,34.02,3.33,0.84,0.78,0.69,0.61,5244,40
1998/11/2,7160,7200,7118,7181,7080.96,7022.33,0.94,47.76,38.6,9.16,0.87,0.81,0.73,0.63,5259,15
1998/11/3,7120,7150,7073,7080,7080.64,7032.81,0.59,45.39,40.86,4.53,0.78,0.8,0.57,0.57,5113,-146
1998/11/4,7050,7060,6920,6958,7039.76,7019.21,0.18,30.43,37.38,-6.95,0.58,0.72,0.43,0.5,4529,-584
1998/11/5,6970,7025,6903,7015,7031.51,7018.45,0.38,21.26,32.01,-10.75,0.51,0.65,0.5,0.53,4655,126
1998/11/6,6940,7018,6915,6921,6994.67,7000.73,0.06,10.22,24.75,-14.52,0.36,0.56,0.41,0.48,4661,6
1998/11/7,6955,7000,6930,7000,6996.45,7000.6,0.33,6.55,18.68,-12.13,0.35,0.49,0.5,0.52,4826,165
1998/11/9,6961,7018,6940,6965,6985.96,6994.12,0.21,2.96,13.44,-10.48,0.3,0.43,0.46,0.5,4869,43
1998/11/10,6871,6901,6828,6831,6934.31,6964.47,0.01,-11.38,5.17,-16.55,0.2,0.35,0.34,0.44,4320,-549
1998/11/11,6762,6788,6707,6710,6859.54,6918.2,0.01,-31.49,-7.05,-24.44,0.14,0.28,0.26,0.39,3816,-504
1998/11/13,6850,6899,6820,6894,6871.03,6913.8,0.42,-28.8,-14.3,-14.5,0.23,0.26,0.48,0.49,3235,-581
1998/11/16,6951,7072,6914,7070,6937.35,6942.2,0.99,-11.11,-13.24,2.13,0.49,0.34,0.61,0.56,2365,-870
