date,roi
2015/1/5,1.0
2015/1/6,0.99235
2015/1/7,0.9916
2015/1/8,1.15285
2015/1/9,1.15285
2015/1/12,1.14685
2015/1/13,1.14685
2015/1/14,1.13955
2015/1/15,1.1335
2015/1/16,1.12775
2015/1/19,1.097
2015/1/20,1.09065
2015/1/21,1.09065
2015/1/22,1.09065
2015/1/23,1.09065
2015/1/26,1.09065
2015/1/27,1.09065
2015/1/28,1.09065
2015/1/29,1.09065
2015/1/30,1.08765
2015/2/2,1.08765
2015/2/3,1.0874
2015/2/4,1.10365
2015/2/5,1.10365
2015/2/6,1.10365
2015/2/9,1.10365
2015/2/10,1.10365
2015/2/11,1.1034
2015/2/12,1.10865
2015/2/13,1.10865
2015/2/24,1.10865
2015/2/25,1.10865
2015/2/26,1.10865
2015/3/2,1.10865
2015/3/3,1.10865
2015/3/4,1.10865
2015/3/5,1.10865
2015/3/6,1.10865
2015/3/9,1.10865
2015/3/10,1.10455
2015/3/11,1.10455
2015/3/12,1.1043
2015/3/13,1.12205
2015/3/16,1.12205
2015/3/17,1.08965
2015/3/18,1.0894
2015/3/19,1.12815
2015/3/20,1.12815
2015/3/23,1.12815
2015/3/24,1.12815
2015/3/25,1.12815
2015/3/26,1.12815
2015/3/27,1.1256
2015/3/30,1.1256
2015/3/31,1.12345
2015/4/1,1.09045
2015/4/2,1.09045
2015/4/7,1.08635
2015/4/8,1.08635
2015/4/9,1.08635
2015/4/10,1.0812
2015/4/13,1.0812
2015/4/14,1.0812
2015/4/15,1.0812
2015/4/16,1.0812
2015/4/17,1.0766
2015/4/20,1.07635
2015/4/21,1.07775
2015/4/22,1.0775
2015/4/23,1.16
2015/4/24,1.16
2015/4/27,1.16
2015/4/28,1.16
2015/4/29,1.16
2015/4/30,1.15575
2015/5/4,1.14815
2015/5/5,1.14815
2015/5/6,1.14815
2015/5/7,1.14815
2015/5/8,1.14815
2015/5/11,1.14815
2015/5/12,1.14145
2015/5/13,1.1402
2015/5/14,1.1013
2015/5/15,1.1013
2015/5/18,1.0728
2015/5/19,1.07155
2015/5/20,1.11205
2015/5/21,1.11205
2015/5/22,1.11205
2015/5/25,1.10715
2015/5/26,1.10715
2015/5/27,1.1069
2015/5/28,1.1267
2015/5/29,1.1267
2015/6/1,1.12185
2015/6/2,1.12185
2015/6/3,1.11685
2015/6/4,1.11685
2015/6/5,1.11685
2015/6/8,1.11685
2015/6/9,1.0822
2015/6/10,1.0822
2015/6/11,1.0502
2015/6/12,1.0187
2015/6/15,0.98945
2015/6/16,0.98945
2015/6/17,0.96245
2015/6/18,0.96245
2015/6/22,0.96245
2015/6/23,0.95795
2015/6/24,0.95395
2015/6/25,0.95395
2015/6/26,0.95395
2015/6/29,0.95395
2015/6/30,0.9527
2015/7/1,1.1362
2015/7/2,1.13895
2015/7/3,1.1347
2015/7/6,1.1297
2015/7/7,1.1297
2015/7/8,1.125
2015/7/9,1.125
2015/7/13,1.09375
2015/7/14,1.06255
2015/7/15,1.0584
2015/7/16,1.0584
2015/7/17,1.0338
2015/7/20,1.0068
2015/7/21,0.98105
2015/7/22,0.95605
2015/7/23,0.93255
2015/7/24,0.91235
2015/7/27,0.91235
2015/7/28,0.91235
2015/7/29,0.88995
2015/7/30,0.88995
2015/7/31,0.88605
2015/8/3,0.8791
2015/8/4,0.8583
2015/8/5,0.85755
2015/8/6,0.82705
2015/8/7,0.82705
2015/8/10,0.80995
2015/8/11,0.80475
2015/8/12,0.79125
2015/8/13,0.77805
2015/8/14,0.7773
2015/8/17,0.76335
2015/8/18,0.76335
2015/8/19,0.76335
2015/8/20,0.75605
2015/8/21,0.74505
2015/8/24,0.7381
2015/8/25,0.7381
2015/8/26,0.7281
2015/8/27,0.7206
2015/8/28,0.72035
2015/8/31,0.7706
2015/9/1,0.7706
2015/9/2,0.7706
2015/9/3,0.7706
2015/9/4,0.7706
2015/9/7,0.7706
2015/9/8,0.7706
2015/9/9,0.7706
2015/9/10,0.76015
2015/9/11,0.76015
2015/9/14,0.76015
2015/9/15,0.7509
2015/9/16,0.7509
2015/9/17,0.7509
2015/9/18,0.7509
2015/9/21,0.7509
2015/9/22,0.75065
2015/9/23,0.73685
2015/9/24,0.73685
2015/9/25,0.73685
2015/9/30,0.7366
2015/10/1,0.81885
2015/10/2,0.81835
2015/10/5,0.82685
2015/10/6,0.82685
2015/10/7,0.82685
2015/10/8,0.81845
2015/10/12,0.81845
2015/10/13,0.81845
2015/10/14,0.8182
2015/10/15,0.83845
2015/10/16,0.83845
2015/10/19,0.83845
2015/10/20,0.83845
2015/10/21,0.83845
2015/10/22,0.83845
2015/10/23,0.8323
2015/10/26,0.8323
2015/10/27,0.8323
2015/10/28,0.8323
2015/10/29,0.8291
2015/10/30,0.8291
2015/11/2,0.8212
