buy_or_sell,day,strike_price,number,id,PutorCall,buyprice,output_money,money_canbuy
buy,2015/1/6,9200,1,0,call,143.0,50000,42825.0
buy,2015/1/7,9100,3.0,0,call,146.0,50000,27260.0
buy,2015/1/12,9300,1,0,call,110.0,50000,59760.0
buy,2015/1/14,9300,1,0,call,136.0,50000,57860.0
buy,2015/1/15,9300,1,0,call,111.0,50000,58380.0
buy,2015/1/16,9300,1,0,call,105.0,50000,58075.0
buy,2015/1/19,9300,5.0,0,call,113.0,50000,34400.0
buy,2015/1/20,9300,1,0,call,117.0,50000,53825.0
buy,2015/1/30,9600,1,0,call,50.0,50000,56540.0
buy,2015/2/3,9500,1,0,call,136.0,50000,51940.0
buy,2015/2/11,9600,1,0,call,85.0,50000,56090.0
buy,2015/3/10,9700,1,0,call,72.0,50000,57240.0
buy,2015/3/12,9600,1,0,call,79.0,50000,56480.0
buy,2015/3/17,9700,9.0,0,call,62.0,50000,34080.0
buy,2015/3/18,9700,1,0,call,52.0,50000,56340.0
buy,2015/3/27,9700,1,0,call,41.0,50000,60740.0
buy,2015/3/31,9700,1,0,call,33.0,50000,60885.0
buy,2015/4/1,9600,5.0,0,call,122.0,50000,31720.0
buy,2015/4/7,9800,1,0,call,72.0,50000,55420.0
buy,2015/4/10,9700,1,0,call,93.0,50000,53960.0
buy,2015/4/17,9700,1,0,call,82.0,50000,53995.0
buy,2015/4/20,9600,1,0,call,86.0,50000,53335.0
buy,2015/4/21,9700,1,0,call,67.0,50000,54785.0
buy,2015/4/22,9700,1,0,call,56.0,50000,54950.0
buy,2015/4/23,9800,1,0,call,55.0,50000,59150.0
buy,2015/4/30,10000,1,0,call,75.0,50000,62225.0
buy,2015/5/4,10000,1,0,call,142.0,50000,58450.0
buy,2015/5/12,9800,1,0,call,124.0,50000,58590.0
buy,2015/5/13,9800,5.0,0,call,126.0,50000,32520.0
buy,2015/5/14,9800,1,0,call,113.0,50000,55070.0
buy,2015/5/18,9700,5.0,0,call,104.0,50000,34005.0
buy,2015/5/19,9700,5.0,0,call,110.0,50000,29655.0
buy,2015/5/20,9800,1,0,call,105.0,50000,56505.0
buy,2015/5/25,9700,1,0,call,88.0,50000,56780.0
buy,2015/5/27,9700,1,0,call,78.0,50000,56790.0
buy,2015/5/28,9800,1,0,call,79.0,50000,59140.0
buy,2015/6/1,9800,1,0,call,87.0,50000,58295.0
buy,2015/6/3,9700,1,0,call,90.0,50000,57660.0
buy,2015/6/9,9400,9.0,0,call,67.0,50000,31310.0
buy,2015/6/11,9400,8.0,0,call,70.0,50000,30020.0
buy,2015/6/12,9400,9.0,0,call,60.0,50000,27795.0
buy,2015/6/15,9400,10.0,0,call,48.5,50000,27370.0
buy,2015/6/17,9300,9.0,0,call,50.0,50000,26220.0
buy,2015/6/23,9300,1,0,call,80.0,50000,42220.0
buy,2015/6/24,9300,1,0,call,70.0,50000,42270.0
buy,2015/6/30,9200,5.0,0,call,84.0,50000,24270.0
buy,2015/7/1,9300,1,0,call,93.0,50000,58970.0
buy,2015/7/2,9400,1,0,call,90.0,50000,59870.0
buy,2015/7/3,9400,1,0,call,75.0,50000,60120.0
buy,2015/7/6,9300,1,0,call,90.0,50000,58945.0
buy,2015/7/8,9300,1,0,call,84.0,50000,58745.0
buy,2015/7/13,9000,5.0,0,call,115.0,50000,33625.0
buy,2015/7/14,9100,6.0,0,call,94.0,50000,31025.0
buy,2015/7/15,9100,1,0,call,73.0,50000,52580.0
buy,2015/7/17,9000,4.0,0,call,113.0,50000,33140.0
buy,2015/7/20,9100,6.0,0,call,80.0,50000,29230.0
buy,2015/7/21,9000,5.0,0,call,93.0,50000,27305.0
buy,2015/7/22,9000,5.0,0,call,90.0,50000,25480.0
buy,2015/7/23,8900,5.0,0,call,84.0,50000,24480.0
buy,2015/7/24,8800,4.0,0,call,91.0,50000,24955.0
buy,2015/7/29,8600,4.0,0,call,102.0,50000,20735.0
buy,2015/7/31,8700,1,0,call,68.0,50000,35570.0
buy,2015/8/3,8600,1,0,call,129.0,50000,32130.0
buy,2015/8/4,8600,4.0,0,call,94.0,50000,19010.0
buy,2015/8/5,8600,3.0,0,call,101.0,50000,20605.0
buy,2015/8/6,8600,2.0,0,call,136.0,50000,20515.0
buy,2015/8/10,8500,3.0,0,call,104.0,50000,17030.0
buy,2015/8/11,8600,1,0,call,94.0,50000,26270.0
buy,2015/8/12,8500,3.0,0,call,80.0,50000,18400.0
buy,2015/8/13,8400,2.0,0,call,122.0,50000,16875.0
buy,2015/8/14,8400,3.0,0,call,88.0,50000,14530.0
buy,2015/8/20,8000,1,0,call,136.0,50000,19510.0
buy,2015/8/21,8000,2.0,0,call,100.0,50000,15555.0
buy,2015/8/24,7700,1,0,call,129.0,50000,18030.0
buy,2015/8/26,7600,1,0,call,190.0,50000,14285.0
buy,2015/8/27,7800,1,0,call,140.0,50000,15785.0
buy,2015/8/28,7900,1,0,call,126.0,50000,15735.0
buy,2015/9/10,8300,1,0,call,199.0,50000,17085.0
buy,2015/9/15,8400,1,0,call,175.0,50000,17240.0
buy,2015/9/22,8400,1,0,call,122.0,50000,18965.0
buy,2015/9/23,8300,1,0,call,139.0,50000,17455.0
buy,2015/9/30,8100,1,0,call,120.0,50000,17660.0
buy,2015/10/2,8400,2.0,0,call,158.0,50000,16035.0
buy,2015/10/8,8600,1,0,call,158.0,50000,24760.0
buy,2015/10/14,8600,1,0,call,120.0,50000,25820.0
buy,2015/10/23,8800,1,0,call,113.0,50000,28170.0
buy,2015/10/29,8800,1,0,call,54.0,50000,30505.0
buy,2015/11/2,8600,1,0,call,148.0,50000,25485.0
buy,2015/11/3,8800,1,0,call,90.0,50000,27595.0
buy,2015/11/9,8800,1,0,call,130.0,50000,32295.0
buy,2015/11/11,8600,2.0,0,call,148.0,50000,23270.0
buy,2015/11/13,8500,1,0,call,140.0,50000,29515.0
buy,2015/11/17,8500,1,0,call,121.0,50000,29715.0
buy,2015/11/20,8500,1,0,call,119.0,50000,29160.0
buy,2015/11/25,8500,1,0,call,89.0,50000,30015.0
buy,2015/11/26,8500,1,0,call,84.0,50000,29770.0
buy,2015/12/1,8500,1,0,call,175.0,50000,25070.0
buy,2015/12/2,8500,1,0,call,207.0,50000,25120.0
buy,2015/12/3,8500,1,0,call,183.0,50000,25235.0
buy,2015/12/4,8500,1,0,call,163.0,50000,25270.0
buy,2015/12/7,8600,1,0,call,160.0,50000,26920.0
buy,2015/12/9,8400,1,0,call,174.0,50000,25370.0
buy,2015/12/11,8300,1,0,call,178.0,50000,24250.0
buy,2015/12/15,8200,1,0,call,163.0,50000,24060.0
buy,2015/12/16,8300,2.0,0,call,140.0,50000,19985.0
buy,2015/12/18,8300,1,0,call,154.0,50000,24810.0
buy,2015/12/21,8300,1,0,call,117.0,50000,25840.0
buy,2015/12/22,8400,1,0,call,108.0,50000,28440.0
buy,2015/12/23,8400,1,0,call,124.0,50000,27050.0
buy,2015/12/24,8400,1,0,call,129.0,50000,26130.0
buy,2015/12/30,8400,1,0,call,117.0,50000,26035.0
buy,2015/12/31,8300,1,0,call,126.0,50000,24950.0
