date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2015/1/5,201501W1,TXO,8600,call,600,600,600,600,1
2015/1/5,201501W1,TXO,8600,put,0.5,0.5,0.2,0.2,501
2015/1/5,201501W1,TXO,8700,call,0,0,0,0,0
2015/1/5,201501W1,TXO,8700,put,0,0,0,0,1217
2015/1/5,201501W1,TXO,8800,call,0,0,0,0,0
2015/1/5,201501W1,TXO,8800,put,0.6,0.6,0.1,0.3,1451
2015/1/5,201501W1,TXO,8900,call,0,0,0,0,0
2015/1/5,201501W1,TXO,8900,put,0.9,1.4,0.2,0.4,4952
2015/1/5,201501W1,TXO,9000,call,210,276,188,263,195
2015/1/5,201501W1,TXO,9000,put,2.5,5.1,0.4,0.6,9152
2015/1/5,201501W1,TXO,9050,call,167,228,142,213,177
2015/1/5,201501W1,TXO,9050,put,4.5,10,0.6,1,14183
2015/1/5,201501W1,TXO,9100,call,125,180,96,162,1078
2015/1/5,201501W1,TXO,9100,put,10,20,1.8,2.3,17088
2015/1/5,201501W1,TXO,9150,call,110,134,61,118,3281
2015/1/5,201501W1,TXO,9150,put,18,38.5,5.6,6.7,13011
2015/1/5,201501W1,TXO,9200,call,66,92,36,76,9129
2015/1/5,201501W1,TXO,9200,put,40,63,12.5,17,13685
2015/1/5,201501W1,TXO,9250,call,37.5,56,17,43,8576
2015/1/5,201501W1,TXO,9250,put,55,93,27,33,8944
2015/1/5,201501W1,TXO,9300,call,14.5,28,7,20.5,13658
2015/1/5,201501W1,TXO,9300,put,92,134,49.5,60,4719
2015/1/5,201501W1,TXO,9350,call,8,11,1.6,7.2,16207
2015/1/5,201501W1,TXO,9350,put,149,178,82,97,1311
2015/1/5,201501W1,TXO,9400,call,4,4,0.5,1.5,12623
2015/1/5,201501W1,TXO,9400,put,171,216,126,143,121
2015/1/5,201501W1,TXO,9450,call,2,2,0.2,0.5,3481
2015/1/5,201501W1,TXO,9450,put,225,267,179,189,54
2015/1/5,201501W1,TXO,9500,call,0.5,0.5,0.2,0.4,3036
2015/1/5,201501W1,TXO,9500,put,285,319,229,238,36
2015/1/5,201501W1,TXO,9550,call,0,0,0,0,0
2015/1/5,201501W1,TXO,9550,put,0,0,0,0,0
2015/1/5,201501W1,TXO,9600,call,0,0,0,0,2352
2015/1/5,201501W1,TXO,9600,put,389,407,373,404,5
2015/1/5,201501W1,TXO,9700,call,0,0,0,0,1804
2015/1/5,201501W1,TXO,9700,put,0,0,0,0,0
2015/1/5,201501W1,TXO,9800,call,0.2,0.2,0.2,0.2,686
2015/1/5,201501W1,TXO,9800,put,0,0,0,0,0
2015/1/5,201501W1,TXO,9900,call,0.1,0.1,0.1,0.1,167
2015/1/5,201501W1,TXO,9900,put,0,0,0,0,0
2015/1/5,201501W1,TXO,10000,call,0.2,0.2,0.2,0.2,30
2015/1/5,201501W1,TXO,10000,put,0,0,0,0,0
2015/1/5,201501,TXO,7200,call,0,0,0,0,1
2015/1/5,201501,TXO,7200,put,0,0,0,0,737
2015/1/5,201501,TXO,7300,call,0,0,0,0,0
2015/1/5,201501,TXO,7300,put,0,0,0,0,542
2015/1/5,201501,TXO,7400,call,0,0,0,0,0
2015/1/5,201501,TXO,7400,put,0,0,0,0,396
2015/1/5,201501,TXO,7500,call,0,0,0,0,0
2015/1/5,201501,TXO,7500,put,0,0,0,0,766
2015/1/5,201501,TXO,7600,call,0,0,0,0,0
2015/1/5,201501,TXO,7600,put,0,0,0,0,794
2015/1/5,201501,TXO,7700,call,0,0,0,0,0
2015/1/5,201501,TXO,7700,put,0.5,0.5,0.5,0.5,1209
2015/1/5,201501,TXO,7800,call,0,0,0,0,0
2015/1/5,201501,TXO,7800,put,0.3,0.3,0.3,0.3,1918
2015/1/5,201501,TXO,7900,call,0,0,0,0,0
2015/1/5,201501,TXO,7900,put,0,0,0,0,3400
2015/1/5,201501,TXO,8000,call,0,0,0,0,0
2015/1/5,201501,TXO,8000,put,0.5,0.6,0.5,0.6,8075
2015/1/5,201501,TXO,8100,call,0,0,0,0,2
2015/1/5,201501,TXO,8100,put,0.9,1,0.8,0.9,8431
2015/1/5,201501,TXO,8200,call,0,0,0,0,4
2015/1/5,201501,TXO,8200,put,0.9,1.3,0.9,1.1,14651
2015/1/5,201501,TXO,8300,call,0,0,0,0,136
2015/1/5,201501,TXO,8300,put,1.4,1.8,1.3,1.4,13595
2015/1/5,201501,TXO,8400,call,0,0,0,0,279
2015/1/5,201501,TXO,8400,put,2,2.6,1.8,1.8,17919
2015/1/5,201501,TXO,8500,call,700,775,670,775,638
2015/1/5,201501,TXO,8500,put,3,3.8,2.4,2.5,26928
2015/1/5,201501,TXO,8600,call,615,665,570,655,2409
2015/1/5,201501,TXO,8600,put,3.7,5.6,3,3,23703
2015/1/5,201501,TXO,8700,call,540,565,475,560,1133
2015/1/5,201501,TXO,8700,put,5,9,4.1,4.7,24741
2015/1/5,201501,TXO,8800,call,415,481,375,460,1735
