buy_or_sell,sellday,id,number,buyday,buyprice,sellprice
sell,2015/1/6,0,1,2015/1/6,143.0,128.7
sell,2015/1/8,0,3.0,2015/1/7,146.0,254.0
sell,2015/1/12,0,1,2015/1/12,110.0,99.0
sell,2015/1/14,0,1,2015/1/14,136.0,122.4
sell,2015/1/15,0,1,2015/1/15,111.0,99.9
sell,2015/1/16,0,1,2015/1/16,105.0,94.5
sell,2015/1/19,0,5.0,2015/1/19,113.0,101.7
sell,2015/1/20,0,1,2015/1/20,117.0,105.3
sell,2015/1/30,0,1,2015/1/30,50.0,45.0
sell,2015/2/4,0,1,2015/2/3,136.0,169.0
sell,2015/2/12,0,1,2015/2/11,85.0,96.0
sell,2015/3/10,0,1,2015/3/10,72.0,64.8
sell,2015/3/13,0,1,2015/3/12,79.0,115.0
sell,2015/3/17,0,9.0,2015/3/17,62.0,55.8
sell,2015/3/19,0,1,2015/3/18,52.0,130.0
sell,2015/3/27,0,1,2015/3/27,41.0,36.9
sell,2015/3/31,0,1,2015/3/31,33.0,29.7
sell,2015/4/1,0,5.0,2015/4/1,122.0,109.8
sell,2015/4/7,0,1,2015/4/7,72.0,64.8
sell,2015/4/10,0,1,2015/4/10,93.0,83.7
sell,2015/4/17,0,1,2015/4/17,82.0,73.8
sell,2015/4/21,0,1,2015/4/20,86.0,97.0
sell,2015/4/21,0,1,2015/4/21,67.0,60.3
sell,2015/4/23,0,1,2015/4/22,56.0,140.0
sell,2015/4/23,0,1,2015/4/23,55.0,137.5
sell,2015/4/30,0,1,2015/4/30,75.0,67.5
sell,2015/5/4,0,1,2015/5/4,142.0,127.8
sell,2015/5/12,0,1,2015/5/12,124.0,111.6
sell,2015/5/14,0,5.0,2015/5/13,126.0,113.4
sell,2015/5/14,0,1,2015/5/14,113.0,101.7
sell,2015/5/18,0,5.0,2015/5/18,104.0,93.6
sell,2015/5/20,0,5.0,2015/5/19,110.0,129.0
sell,2015/5/20,0,1,2015/5/20,105.0,94.5
sell,2015/5/25,0,1,2015/5/25,88.0,79.2
sell,2015/5/28,0,1,2015/5/27,78.0,127.0
sell,2015/5/28,0,1,2015/5/28,79.0,71.1
sell,2015/6/1,0,1,2015/6/1,87.0,78.3
sell,2015/6/3,0,1,2015/6/3,90.0,81.0
sell,2015/6/9,0,9.0,2015/6/9,67.0,60.3
sell,2015/6/11,0,8.0,2015/6/11,70.0,63.0
sell,2015/6/12,0,9.0,2015/6/12,60.0,54.0
sell,2015/6/15,0,10.0,2015/6/15,48.5,43.65
sell,2015/6/17,0,9.0,2015/6/17,50.0,45.0
sell,2015/6/23,0,1,2015/6/23,80.0,72.0
sell,2015/6/24,0,1,2015/6/24,70.0,63.0
sell,2015/7/1,0,5.0,2015/6/30,84.0,158.0
sell,2015/7/2,0,1,2015/7/1,93.0,109.0
sell,2015/7/2,0,1,2015/7/2,90.0,81.0
sell,2015/7/3,0,1,2015/7/3,75.0,67.5
sell,2015/7/6,0,1,2015/7/6,90.0,81.0
sell,2015/7/8,0,1,2015/7/8,84.0,75.6
sell,2015/7/13,0,5.0,2015/7/13,115.0,103.5
sell,2015/7/14,0,6.0,2015/7/14,94.0,84.6
sell,2015/7/15,0,1,2015/7/15,73.0,65.7
sell,2015/7/17,0,4.0,2015/7/17,113.0,101.7
sell,2015/7/20,0,6.0,2015/7/20,80.0,72.0
sell,2015/7/21,0,5.0,2015/7/21,93.0,83.7
sell,2015/7/22,0,5.0,2015/7/22,90.0,81.0
sell,2015/7/23,0,5.0,2015/7/23,84.0,75.6
sell,2015/7/24,0,4.0,2015/7/24,91.0,81.9
sell,2015/7/29,0,4.0,2015/7/29,102.0,91.8
sell,2015/7/31,0,1,2015/7/31,68.0,61.2
sell,2015/8/3,0,1,2015/8/3,129.0,116.1
sell,2015/8/4,0,4.0,2015/8/4,94.0,84.6
sell,2015/8/6,0,3.0,2015/8/5,101.0,90.9
sell,2015/8/6,0,2.0,2015/8/6,136.0,122.4
sell,2015/8/10,0,3.0,2015/8/10,104.0,93.6
sell,2015/8/11,0,1,2015/8/11,94.0,84.6
sell,2015/8/12,0,3.0,2015/8/12,80.0,72.0
sell,2015/8/13,0,2.0,2015/8/13,122.0,109.8
sell,2015/8/17,0,3.0,2015/8/14,88.0,79.2
sell,2015/8/20,0,1,2015/8/20,136.0,122.4
sell,2015/8/21,0,2.0,2015/8/21,100.0,90.0
sell,2015/8/24,0,1,2015/8/24,129.0,116.1
sell,2015/8/26,0,1,2015/8/26,190.0,171.0
sell,2015/8/27,0,1,2015/8/27,140.0,126.0
sell,2015/8/31,0,1,2015/8/28,126.0,227.0
sell,2015/9/10,0,1,2015/9/10,199.0,179.1
sell,2015/9/15,0,1,2015/9/15,175.0,157.5
sell,2015/9/23,0,1,2015/9/22,122.0,109.8
sell,2015/9/23,0,1,2015/9/23,139.0,125.1
sell,2015/10/1,0,1,2015/9/30,120.0,285.0
sell,2015/10/5,0,2.0,2015/10/2,158.0,167.0
sell,2015/10/8,0,1,2015/10/8,158.0,142.2
sell,2015/10/15,0,1,2015/10/14,120.0,161.0
sell,2015/10/23,0,1,2015/10/23,113.0,101.7
sell,2015/10/29,0,1,2015/10/29,54.0,48.6
sell,2015/11/2,0,1,2015/11/2,148.0,133.2
sell,2015/11/4,0,1,2015/11/3,90.0,225.0
sell,2015/11/9,0,1,2015/11/9,130.0,117.0
sell,2015/11/11,0,2.0,2015/11/11,148.0,133.2
sell,2015/11/13,0,1,2015/11/13,140.0,126.0
sell,2015/11/18,0,1,2015/11/17,121.0,108.9
sell,2015/11/20,0,1,2015/11/20,119.0,107.1
sell,2015/11/25,0,1,2015/11/25,89.0,80.1
sell,2015/11/27,0,1,2015/11/26,84.0,82.0
sell,2015/12/2,0,1,2015/12/1,175.0,209.0
sell,2015/12/3,0,1,2015/12/2,207.0,186.3
sell,2015/12/4,0,1,2015/12/3,183.0,164.7
sell,2015/12/7,0,1,2015/12/4,163.0,194.0
sell,2015/12/8,0,1,2015/12/7,160.0,144.0
sell,2015/12/9,0,1,2015/12/9,174.0,156.6
sell,2015/12/11,0,1,2015/12/11,178.0,160.2
