date,callorput,open,high,close,buyprice,sellprice,profit,totalprofit,roi,outputmoney,walletmoney,number
2010/1/18,put,8290.38,8367.65,8337.82,8290.38,8337.82,-9688.0,-9688.0,-0.116722891566,-83000,73312.0,1.0
2010/1/19,put,8387.66,8395.39,8249.0,8387.66,8249.0,27532.0,17844.0,0.192516830658,-92688.0,110532.0,1.0
2010/1/20,put,8309.19,8309.19,8220.93,8309.19,8220.93,17452.0,35296.0,0.380804419127,-92688.0,127984.0,1.0
2010/1/21,put,8189.5,8208.21,8127.87,8189.5,8127.87,12126.0,47422.0,0.511630416019,-92688.0,140110.0,1.0
2010/1/22,put,7986.43,8015.95,7927.31,7986.43,7927.31,11624.0,59046.0,0.637040393578,-92688.0,151734.0,1.0
2010/1/25,put,7845.3,7938.14,7872.99,7845.3,7872.99,-5738.0,53308.0,0.575133782151,-92688.0,145996.0,1.0
2010/1/26,put,7903.03,7922.07,7598.81,7903.03,7598.81,60644.0,113952.0,1.22941481098,-92688.0,206640.0,1.0
2010/1/27,put,7639.72,7656.95,7560.03,7639.72,7560.03,31476.0,145428.0,1.56900569653,-92688.0,238116.0,2.0
2010/1/28,put,7630.16,7756.77,7694.58,7630.16,7694.58,-26168.0,119260.0,1.28668220266,-92688.0,211948.0,2.0
2010/1/29,put,7593.38,7649.73,7640.44,7593.38,7640.44,-19224.0,100036.0,1.07927671327,-92688.0,192724.0,2.0
2010/2/1,put,7653.89,7661.7,7524.67,7653.89,7524.67,51288.0,151324.0,1.63261695149,-92688.0,244012.0,2.0
2010/2/2,put,7633.74,7635.73,7429.61,7633.74,7429.61,81252.0,232576.0,2.50923528396,-92688.0,325264.0,2.0
2010/2/3,put,7523.79,7550.82,7547.98,7523.79,7547.98,-15114.0,217462.0,2.34617210426,-92688.0,310150.0,3.0
2010/2/4,put,7563.19,7578.18,7542.04,7563.19,7542.04,12090.0,229552.0,2.47660970136,-92688.0,322240.0,3.0
2010/2/5,put,7323.16,7352.98,7217.83,7323.16,7217.83,62598.0,292150.0,3.15197220784,-92688.0,384838.0,3.0
2010/2/6,put,7244.71,7249.19,7212.87,7244.71,7212.87,24672.0,316822.0,3.41815553254,-92688.0,409510.0,4.0
2010/2/8,put,7236.63,7253.24,7215.88,7236.63,7215.88,15800.0,332622.0,3.58861988607,-92688.0,425310.0,4.0
2010/2/9,put,7225.71,7381.82,7361.04,7225.71,7361.04,-136330.0,196292.0,2.1177714483,-92688.0,288980.0,5.0
2010/2/10,put,7438.12,7496.34,7441.84,7438.12,7441.84,-2832.0,193460.0,2.08721733126,-92688.0,286148.0,3.0
2010/2/22,put,7619.87,7619.87,7560.04,7619.87,7560.04,35298.0,228758.0,2.46804332815,-92688.0,321446.0,3.0
2010/2/23,put,7575.62,7597.44,7597.44,7575.62,7597.44,-13692.0,215066.0,2.32032194027,-92688.0,307754.0,3.0
2010/2/24,put,7516.47,7585.19,7529.67,7516.47,7529.67,-8520.0,206546.0,2.22840065596,-92688.0,299234.0,3.0
2010/2/25,put,7568.42,7568.42,7426.96,7568.42,7426.96,84276.0,290822.0,3.13764457103,-92688.0,383510.0,3.0
2010/2/26,put,7451.17,7479.28,7436.1,7451.17,7436.1,11256.0,302078.0,3.2590842396,-92688.0,394766.0,4.0
2010/3/1,put,7492.84,7620.56,7577.75,7492.84,7577.75,-68728.0,233350.0,2.51758587951,-92688.0,326038.0,4.0
2010/3/2,put,7649.62,7664.49,7597.62,7649.62,7597.62,30600.0,263950.0,2.84772570344,-92688.0,356638.0,3.0
2010/3/3,put,7628.78,7670.25,7629.52,7628.78,7629.52,-1392.0,262558.0,2.83270757811,-92688.0,355246.0,4.0
2010/3/4,put,7664.0,7664.0,7569.8,7664.0,7569.8,74560.0,337118.0,3.63712670464,-92688.0,429806.0,4.0
2010/3/5,put,7659.76,7694.89,7666.26,7659.76,7666.26,-7500.0,329618.0,3.55621008113,-92688.0,422306.0,5.0
