date,callorput,dateline,strike_price,buyprice,big_open,sellprice,big_close,big_hight,big_low,total_profit,outputmoney,roi
2010-01-18,put,201002,8300,200,8290.38,150,8337.82,8367.65,8290.38,-50,-200,-0.25
2010/1/19,put,201002,8400,197,8387.66,247,8249,8395.39,8227.3,0,-247,0
2010/1/20,put,201002,8300,165,8309.19,193,8220.93,8309.19,8191.44,28,-247,0.1133603239
2010/1/21,put,201002,8200,165,8189.5,177,8127.87,8208.21,8107.55,40,-247,0.1619433198
2010/1/22,put,201002,8000,130,7986.43,200,7927.31,8015.95,7912.85,180,-247,0.7287449393
2010/1/25,put,201002,7800,131,7845.3,120,7872.99,7938.14,7828.34,147,-247,0.5951417004
2010/1/26,put,201002,7900,172,7903.03,371,7598.81,7922.07,7572.58,545,-247,2.2064777328
2010/1/27,put,201002,7600,164,7639.72,177,7560.03,7656.95,7530.41,597,-247,2.4170040486
2010/1/28,put,201002,7600,168,7630.16,88,7694.58,7756.77,7607.56,197,-247,0.7975708502
2010/1/29,put,201002,7600,143,7593.38,144,7640.44,7649.73,7481.9,200,-247,0.8097165992
2010/2/1,put,201003,7700,280,7653.89,346,7524.67,7661.7,7493.81,266,-247,1.0769230769
2010/2/2,put,201003,7600,244,7633.74,374,7429.61,7635.73,7398.8,526,-247,2.1295546559
2010/2/3,put,201003,7500,241,7523.79,230,7547.98,7550.82,7441.92,493,-247,1.995951417
2010/2/4,put,201003,7600,283,7563.19,277,7542.04,7578.18,7504.96,481,-247,1.9473684211
2010/2/5,put,201003,7300,232,7323.16,311,7217.83,7352.98,7196.39,718,-247,2.9068825911
2010/2/6,put,201003,7200,258,7244.71,262,7212.87,7249.19,7080.9,730,-247,2.955465587
2010/2/8,put,201003,7200,257,7236.63,276,7215.88,7253.24,7173.18,787,-247,3.1862348178
2010/2/9,put,201003,7200,225,7225.71,189,7361.04,7381.82,7197.13,643,-247,2.6032388664
2010/2/10,put,201003,7400,244,7438.12,234,7441.84,7496.34,7404.97,613,-247,2.4817813765
2010/2/22,put,201003,7600,195,7619.87,201,7560.04,7619.87,7553.29,637,-247,2.5789473684
2010/2/23,put,201003,7600,200,7575.62,182,7597.44,7597.44,7502.45,565,-247,2.2874493927
2010/2/24,put,201003,7500,165,7516.47,164,7529.67,7585.19,7515.38,561,-247,2.2712550607
2010/2/25,put,201003,7600,192,7568.42,293,7426.96,7568.42,7400.42,965,-247,3.9068825911
2010/2/26,put,201003,7500,213,7451.17,214,7436.1,7479.28,7383.68,970,-247,3.9271255061
2010/3/1,put,201004,7500,297,7492.84,207,7577.75,7620.56,7451.09,610,-247,2.4696356275
2010/3/2,put,201004,7600,242,7649.62,239,7597.62,7664.49,7592.66,601,-247,2.4331983806
2010/3/3,put,201004,7600,220,7628.78,221,7629.52,7670.25,7604.86,604,-247,2.4453441296
2010/3/4,put,201004,7700,276,7664,331,7569.8,7664,7524.19,769,-247,3.1133603239
2010/3/5,put,201004,7700,262,7659.76,244,7666.26,7694.89,7618,715,-247,2.8947368421
2010/3/8,put,201004,7700,207,7741.8,187,7762.27,7763.76,7716.28,635,-247,2.5708502024
2010/3/9,put,201004,7800,234,7762.4,236,7770.59,7770.59,7737.65,641,-247,2.5951417004
2010/3/10,put,201004,7800,229,7797.7,227,7779.08,7803.27,7736.7,635,-247,2.5708502024
2010/3/11,put,201004,7800,219,7817.59,227,7749.66,7818.84,7749.4,667,-247,2.7004048583
2010/3/12,put,201004,7800,220,7773.52,231,7748.33,7773.52,7726.09,711,-247,2.8785425101
2010/3/15,put,201004,7800,220,7750.87,287,7634.92,7766.36,7634.92,979,-247,3.963562753
