Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,Openposition,ChangeOpenposition
1998/9/4,6254.83,6463.15,6254.83,6463.15,6414.28,6606.71,6934.59,7484.1,766.14,815.72,807.21,-310.89,-260.04,-50.85,0.184,0.1551,0.379,0.3117,1940,-135
1998/9/5,6507.97,6758.68,6507.97,6755.71,6455.4,6591.44,6904.8,7466.41,1116.09,910.34,839.44,-285.48,-265.13,-20.35,0.4199,0.2433,0.5592,0.4458,1827,-113
1998/9/7,6769.62,6822.97,6707.64,6800.73,6548.53,6590.08,6876.71,7451.54,895.19,895,849.44,-255.27,-263.16,7.89,0.601,0.3626,0.5816,0.4633,1946,119
1998/9/8,6820.19,6942.26,6820.19,6942.26,6642.65,6602.98,6856.42,7440.02,1160.87,949.84,876.73,-218.41,-254.21,35.8,0.734,0.4864,0.649,0.5159,2000,54
1998/9/9,7017.28,7017.28,6846.5,6894.57,6771.28,6620.06,6832.56,7427.08,1128.54,1013.37,900.47,-186.93,-240.75,53.82,0.7714,0.5814,0.6093,0.498,2075,75
1998/9/10,6803.26,6915.07,6780.78,6803.83,6839.42,6626.85,6809.06,7411.77,825.31,1025.2,920.46,-167.11,-226.02,58.92,0.7583,0.6404,0.5347,0.4645,1915,-160
1998/9/11,6745.52,6858.99,6682.91,6841.83,6856.64,6656.02,6792.07,7397.77,892.21,980.43,945.38,-151.22,-211.06,59.84,0.7636,0.6814,0.5617,0.4804,1676,-239
1998/9/14,6884.82,6922.96,6852.08,6860.17,6868.53,6708.53,6770.41,7386.51,707.95,942.98,918.99,-131.67,-195.19,63.51,0.775,0.7126,0.5759,0.4885,1479,-197
1998/9/15,6925.22,6925.22,6816.17,6857.96,6851.67,6747.16,6749.76,7375,688.69,848.54,899.19,-115.62,-179.27,63.66,0.7803,0.7352,0.5732,0.4875,1156,-323
1998/9/16,6877.9,6972.54,6851.3,6972.54,6867.27,6819.27,6737.72,7360.92,817.01,786.23,899.8,-95.51,-162.52,67.01,0.8243,0.7649,0.6694,0.5402,575,-581
1998/9/17,7036.87,7060.73,6998,7000.52,6906.6,6873.01,6739.86,7348.28,1118.61,844.89,935.05,-72.86,-144.59,71.73,0.8297,0.7865,0.6899,0.5525,2146,1571
1998/9/18,6929.24,7000.27,6929.24,6961.76,6930.59,6893.62,6742.53,7333.04,782.55,822.96,901.69,-58.41,-127.35,68.94,0.7992,0.7907,0.6255,0.5311,2608,462
1998/9/19,7069.6,7162.86,7046.57,7149.59,6988.47,6928.5,6759.29,7320.62,1129.7,907.31,925.14,-33.35,-108.55,75.2,0.8569,0.8128,0.7573,0.6109,2821,213
1998/9/21,7218.39,7218.39,6988.98,7029.4,7022.76,6937.22,6770.1,7307.01,1244.02,1018.38,933.46,-18.17,-90.47,72.31,0.787,0.8042,0.5962,0.546,2918,97
1998/9/22,7090.09,7090.09,6984.84,7033.99,7035.05,6951.16,6785.61,7291.96,786.32,1012.24,899.24,-8.53,-74.08,65.56,0.7432,0.7838,0.6001,0.548,3208,290
1998/9/23,7065.01,7086.78,6951.61,6962.17,7027.38,6966.99,6796.92,7275.54,851.03,958.72,901.81,-4.47,-60.16,55.69,0.6164,0.728,0.508,0.5097,3400,192
1998/9/24,7045.58,7045.58,6979.95,6979.95,7031.02,6980.81,6818.41,7260.49,764.58,955.13,889.05,-0.78,-48.29,47.5,0.5467,0.6676,0.5294,0.5188,3630,230
1998/9/25,6952.69,6979.89,6903.69,6979.89,6997.08,6992.78,6850.65,7246.56,581.67,845.53,876.42,-0.72,-38.77,38.05,0.4812,0.6055,0.5294,0.5188,3269,-361
1998/9/28,6958.17,6958.17,6905.45,6910.61,6973.32,6998.04,6872.6,7231.92,442.21,685.16,851.77,-3.83,-31.78,27.96,0.3281,0.513,0.4253,0.4777,3442,173
1998/9/29,6952.21,6952.21,6841,6884.5,6943.42,6989.24,6904.26,7215.39,587.27,645.35,828.8,-8.66,-27.16,18.5,0.2572,0.4277,0.3906,0.4627,3590,148
1998/9/30,6871.57,6906.46,6796.42,6833.95,6917.78,6972.58,6922.8,7197.21,557.07,586.56,772.64,-16.17,-24.96,8.79,0.2011,0.3522,0.3283,0.4338,3554,-36
1998/10/1,6760.41,6777.4,6702.06,6702.06,6862.2,6946.61,6920.11,7175.03,478.41,529.33,742.23,-31.58,-26.29,-5.3,0.1341,0.2795,0.219,0.3684,3384,-170
