buy_or_sell,sellday,id,number,buyday,buyprice,sellprice
sell,2017/1/4,0,1,2017/1/3,127.0,114.3
sell,2017/1/5,0,1,2017/1/4,115.0,103.5
sell,2017/1/23,0,1,2017/1/23,70.0,63.0
sell,2017/1/24,0,1,2017/1/24,57.0,51.3
sell,2017/2/2,0,1,2017/2/2,123.0,159.9
sell,2017/2/6,0,1,2017/2/3,102.0,91.8
sell,2017/2/6,0,1,2017/2/6,120.0,108.0
sell,2017/3/6,0,1,2017/3/6,109.0,98.1
sell,2017/3/7,0,1,2017/3/7,115.0,103.5
sell,2017/3/8,0,1,2017/3/8,89.0,80.1
sell,2017/3/9,0,1,2017/3/9,81.0,105.3
sell,2017/3/10,0,1,2017/3/10,84.0,109.2
sell,2017/3/13,0,1,2017/3/13,80.0,72.0
sell,2017/3/14,0,1,2017/3/14,82.0,73.8
sell,2017/3/16,0,1,2017/3/15,71.0,63.9
sell,2017/3/16,0,1,2017/3/16,76.0,68.4
sell,2017/3/17,0,1,2017/3/17,90.0,81.0
sell,2017/3/20,0,1,2017/3/20,80.0,72.0
sell,2017/4/5,0,1,2017/3/31,62.0,55.8
sell,2017/4/5,0,1,2017/4/5,93.0,83.7
sell,2017/4/7,0,1,2017/4/6,92.0,119.6
sell,2017/4/7,0,1,2017/4/7,103.0,133.9
sell,2017/4/11,0,1,2017/4/10,117.0,145.0
sell,2017/4/12,0,1,2017/4/11,115.0,149.5
sell,2017/4/13,0,1,2017/4/12,108.0,97.2
sell,2017/4/13,0,1,2017/4/13,110.0,99.0
sell,2017/4/14,0,1,2017/4/14,104.0,135.2
sell,2017/4/18,0,1,2017/4/17,92.0,82.8
sell,2017/4/19,0,1,2017/4/18,110.0,143.0
sell,2017/4/19,0,1,2017/4/19,97.0,126.1
sell,2017/4/20,0,1,2017/4/20,94.0,84.6
sell,2017/4/21,0,1,2017/4/21,94.0,84.6
sell,2017/4/24,0,1,2017/4/24,63.0,56.7
sell,2017/4/25,0,1,2017/4/25,48.0,43.2
sell,2017/4/26,0,1,2017/4/26,67.0,60.3
sell,2017/4/27,0,1,2017/4/27,45.0,40.5
sell,2017/4/28,0,1,2017/4/28,38.0,34.2
sell,2017/5/15,0,1,2017/5/12,97.0,87.3
sell,2017/5/15,0,1,2017/5/15,101.0,90.9
sell,2017/5/17,0,1,2017/5/16,46.0,59.8
sell,2017/5/17,0,1,2017/5/17,88.0,79.2
sell,2017/5/18,0,1,2017/5/18,86.0,77.4
sell,2017/5/22,0,1,2017/5/19,89.0,80.1
sell,2017/5/22,0,1,2017/5/22,85.0,76.5
sell,2017/5/23,0,1,2017/5/23,68.0,61.2
sell,2017/5/24,0,28.0,2017/5/24,34.0,30.6
sell,2017/5/25,0,33.0,2017/5/25,25.0,22.5
sell,2017/5/26,0,16.0,2017/5/26,43.5,56.55
sell,2017/5/31,0,50.0,2017/5/31,18.0,23.4
sell,2017/6/1,0,1,2017/6/1,127.0,114.3
sell,2017/6/3,0,1,2017/6/2,170.0,153.0
sell,2017/6/5,0,1,2017/6/3,147.0,132.3
sell,2017/6/5,0,1,2017/6/5,150.0,135.0
sell,2017/6/7,0,1,2017/6/6,120.0,108.0
sell,2017/6/7,0,1,2017/6/7,126.0,113.4
sell,2017/6/9,0,1,2017/6/8,115.0,103.5
sell,2017/6/12,0,1,2017/6/9,99.0,128.7
sell,2017/6/13,0,1,2017/6/13,151.0,135.9
