date,roi
2017/1/3,0.99975
2017/1/4,0.9929
2017/1/5,0.9869
2017/1/6,0.9869
2017/1/9,0.9869
2017/1/10,0.9869
2017/1/11,0.9869
2017/1/12,0.9869
2017/1/13,0.9869
2017/1/16,0.9869
2017/1/17,0.9869
2017/1/18,0.9869
2017/1/19,0.9869
2017/1/20,0.9869
2017/1/23,0.9829
2017/1/24,0.97955
2017/2/2,0.9975
2017/2/3,0.99725
2017/2/6,0.9854
2017/2/7,0.9854
2017/2/8,0.9854
2017/2/9,0.9854
2017/2/10,0.9854
2017/2/13,0.9854
2017/2/14,0.9854
2017/2/15,0.9854
2017/2/16,0.9854
2017/2/17,0.9854
2017/2/18,0.9854
2017/2/20,0.9854
2017/2/21,0.9854
2017/2/22,0.9854
2017/2/23,0.9854
2017/2/24,0.9854
2017/3/1,0.9854
2017/3/2,0.9854
2017/3/3,0.9854
2017/3/6,0.97945
2017/3/7,0.9732
2017/3/8,0.96825
2017/3/9,0.9799
2017/3/10,0.992
2017/3/13,0.9875
2017/3/14,0.9829
2017/3/15,0.98265
2017/3/16,0.97455
2017/3/17,0.96955
2017/3/20,0.96505
2017/3/21,0.96505
2017/3/22,0.96505
2017/3/23,0.96505
2017/3/24,0.96505
2017/3/27,0.96505
2017/3/28,0.96505
2017/3/29,0.96505
2017/3/30,0.96505
2017/3/31,0.9648
2017/4/5,0.9563
2017/4/6,0.95605
2017/4/7,0.98455
2017/4/10,0.9843
2017/4/11,0.9978
2017/4/12,1.01455
2017/4/13,1.0029
2017/4/14,1.018
2017/4/17,1.01775
2017/4/18,1.01265
2017/4/19,1.04295
2017/4/20,1.03775
2017/4/21,1.03255
2017/4/24,1.0289
2017/4/25,1.026
2017/4/26,1.02215
2017/4/27,1.0194
2017/4/28,1.017
2017/5/2,1.017
2017/5/3,1.017
2017/5/4,1.017
2017/5/5,1.017
2017/5/8,1.017
2017/5/9,1.017
2017/5/10,1.017
2017/5/11,1.017
2017/5/12,1.01675
2017/5/15,1.0061
2017/5/16,1.00585
2017/5/17,1.0076
2017/5/18,1.0028
2017/5/19,1.00255
2017/5/22,0.9931
2017/5/23,0.9892
2017/5/24,0.9276
2017/5/25,0.86985
2017/5/26,0.96625
2017/5/31,1.07625
2017/6/1,1.0694
2017/6/2,1.06915
2017/6/3,1.06015
2017/6/5,1.04455
2017/6/6,1.0443
2017/6/7,1.03125
2017/6/8,1.031
2017/6/9,1.02475
2017/6/12,1.03935
2017/6/13,1.0313
