date,callorput,open,high,close,buyprice,sellprice,profit,totalprofit,roi,outputmoney,walletmoney,number
2010/1/11,put,8291.52,8357.9,8323.82,8291.52,8323.82,-6660.0,-6660.0,-0.0802409638554,-83000,76340.0,1.0
2010/1/12,put,8343.73,8356.97,8309.37,8343.73,8309.37,6672.0,11.9999999999,0.000133838947132,-89660.0,89672.0,1.0
2010/1/13,put,8229.25,8257.83,8196.56,8229.25,8196.56,6338.0,6350.0,0.0708231095249,-89660.0,96010.0,1.0
2010/1/14,put,8245.86,8313.94,8289.98,8245.86,8289.98,-9024.0,-2674.0,-0.0298237787196,-89660.0,86986.0,1.0
2010/1/15,put,8340.6,8380.23,8356.89,8340.6,8356.89,-3458.0,-6132.0,-0.0683917019853,-89660.0,83528.0,1.0
2010/1/18,put,8290.38,8367.65,8337.82,8290.38,8337.82,-9688.0,-15820.0,-0.176444345304,-89660.0,73840.0,1.0
2010/1/19,put,8387.66,8395.39,8249.0,8387.66,8249.0,27532.0,11712.0,0.118518518519,-98820.0,110532.0,1.0
2010/1/20,put,8309.19,8309.19,8220.93,8309.19,8220.93,17452.0,29164.0,0.295122444849,-98820.0,127984.0,1.0
2010/1/21,put,8189.5,8208.21,8127.87,8189.5,8127.87,12126.0,41290.0,0.417830398705,-98820.0,140110.0,1.0
2010/1/22,put,7986.43,8015.95,7927.31,7986.43,7927.31,11624.0,52914.0,0.535458409229,-98820.0,151734.0,1.0
2010/1/25,put,7845.3,7938.14,7872.99,7845.3,7872.99,-5738.0,47176.0,0.477393240235,-98820.0,145996.0,1.0
2010/1/26,put,7903.03,7922.07,7598.81,7903.03,7598.81,60644.0,107820.0,1.09107468124,-98820.0,206640.0,1.0
2010/1/27,put,7639.72,7656.95,7560.03,7639.72,7560.03,31476.0,139296.0,1.40959319976,-98820.0,238116.0,2.0
2010/1/28,put,7630.16,7756.77,7694.58,7630.16,7694.58,-26168.0,113128.0,1.14478850435,-98820.0,211948.0,2.0
2010/1/29,put,7593.38,7649.73,7640.44,7593.38,7640.44,-19224.0,93904.0,0.950252985226,-98820.0,192724.0,2.0
