date,roi
2016/1/4,0.9919
2016/1/5,0.9744
2016/1/6,0.96465
2016/1/7,0.94335
2016/1/8,0.9426
2016/1/11,0.9012
2016/1/12,0.9012
2016/1/13,0.9012
2016/1/14,0.8827
2016/1/15,0.8827
2016/1/18,1.14445
2016/1/19,1.14445
2016/1/20,1.13845
2016/1/21,1.13845
2016/1/22,1.11085
2016/1/25,1.1106
2016/1/26,1.1014
2016/1/27,1.09825
2016/1/28,1.098
2016/1/29,1.209
2016/1/30,1.20875
2016/2/1,1.20575
2016/2/2,1.20575
2016/2/3,1.2055
2016/2/15,1.19775
2016/2/16,1.27175
2016/2/17,1.2922
2016/2/18,1.2922
2016/2/19,1.2922
2016/2/22,1.2922
2016/2/23,1.2922
2016/2/24,1.2922
2016/2/25,1.29195
2016/2/26,1.3137
2016/3/1,1.3137
2016/3/2,1.3137
2016/3/3,1.3137
2016/3/4,1.3137
2016/3/7,1.3137
2016/3/8,1.3137
2016/3/9,1.3137
2016/3/10,1.3137
2016/3/11,1.3137
2016/3/14,1.31195
2016/3/15,1.2731
2016/3/16,1.2731
2016/3/17,1.2731
2016/3/18,1.2731
2016/3/21,1.2731
2016/3/22,1.2731
2016/3/23,1.2731
2016/3/24,1.2731
2016/3/25,1.2678
2016/3/28,1.2678
2016/3/29,1.2678
2016/3/30,1.2678
2016/3/31,1.2678
2016/4/1,1.2678
2016/4/6,1.2279
2016/4/7,1.2279
2016/4/8,1.22765
2016/4/11,1.2529
2016/4/12,1.2529
2016/4/13,1.2529
2016/4/14,1.2529
2016/4/15,1.2529
2016/4/18,1.2529
2016/4/19,1.2529
2016/4/20,1.2529
2016/4/21,1.2529
2016/4/22,1.2129
2016/4/25,1.2129
2016/4/26,1.2129
2016/4/27,1.2095
2016/4/28,1.2095
2016/4/29,1.2095
2016/5/3,1.2095
2016/5/4,1.2095
2016/5/5,1.1711
2016/5/6,1.1711
2016/5/9,1.1711
2016/5/10,1.1711
2016/5/11,1.1663
2016/5/12,1.1313
2016/5/13,1.1313
2016/5/16,1.1313
2016/5/17,1.0969
2016/5/18,1.0647
2016/5/19,1.0647
2016/5/20,1.06445
2016/5/23,1.1158
2016/5/24,1.0864
2016/5/25,1.0864
2016/5/26,1.0864
2016/5/27,1.0864
2016/5/30,1.0864
2016/5/31,1.0864
2016/6/1,1.0864
2016/6/2,1.0864
2016/6/3,1.0864
2016/6/4,1.0864
2016/6/6,1.0864
2016/6/7,1.0864
2016/6/8,1.0864
2016/6/13,1.0864
2016/6/14,1.08615
2016/6/15,1.0975
2016/6/16,1.0975
2016/6/17,1.0975
2016/6/20,1.06825
2016/6/21,1.06825
2016/6/22,1.06825
2016/6/23,1.06825
2016/6/24,1.06825
2016/6/27,1.067
2016/6/28,1.14925
2016/6/29,1.28875
2016/6/30,1.28475
2016/7/1,1.28475
2016/7/4,1.28475
2016/7/5,1.28475
2016/7/6,1.28475
2016/7/7,1.2845
2016/7/11,1.327
2016/7/12,1.34375
2016/7/13,1.34375
2016/7/14,1.34375
2016/7/15,1.34375
2016/7/18,1.34375
2016/7/19,1.34375
2016/7/20,1.34375
2016/7/21,1.34375
2016/7/22,1.34375
2016/7/25,1.34375
2016/7/26,1.3435
2016/7/27,1.3613
2016/7/28,1.3613
2016/7/29,1.3613
2016/8/1,1.3613
2016/8/2,1.3613
2016/8/3,1.3613
2016/8/4,1.3613
2016/8/5,1.3613
2016/8/8,1.3613
2016/8/9,1.3613
2016/8/10,1.3613
2016/8/11,1.3613
2016/8/12,1.3613
2016/8/15,1.3613
2016/8/16,1.3613
2016/8/17,1.3572
2016/8/18,1.3572
2016/8/19,1.3572
2016/8/22,1.3572
2016/8/23,1.35495
2016/8/24,1.4157
2016/8/25,1.4157
2016/8/26,1.4157
2016/8/29,1.4157
2016/8/30,1.4157
2016/8/31,1.4116
2016/9/1,1.406
2016/9/2,1.3625
2016/9/5,1.3625
2016/9/6,1.3625
2016/9/7,1.3625
2016/9/8,1.3625
2016/9/9,1.3625
2016/9/10,1.36225
2016/9/12,1.3635
2016/9/13,1.3635
2016/9/14,1.3615
2016/9/19,1.83275
2016/9/20,2.369
2016/9/21,2.369
2016/9/22,2.369
2016/9/23,2.369
2016/9/26,2.369
2016/9/29,2.369
2016/9/30,2.369
2016/10/3,2.36875
2016/10/4,2.3815
2016/10/5,2.3815
2016/10/6,2.3815
2016/10/7,2.3815
2016/10/11,2.3815
2016/10/12,2.38125
2016/10/13,2.3839
2016/10/14,2.3839
2016/10/17,2.37905
2016/10/18,2.37355
2016/10/19,2.6538
2016/10/20,2.66405
2016/10/21,2.66405
2016/10/24,2.66405
2016/10/25,2.66405
2016/10/26,2.66405
2016/10/27,2.66405
2016/10/28,2.66095
2016/10/31,2.66095
2016/11/1,2.6607
2016/11/2,2.6553
2016/11/3,2.6553
2016/11/4,2.6553
2016/11/7,2.6553
2016/11/8,2.6553
2016/11/9,2.6478
2016/11/10,2.6478
2016/11/11,2.53455
2016/11/14,2.52865
2016/11/15,2.5284
2016/11/16,2.53215
2016/11/17,2.53215
2016/11/18,2.53215
2016/11/21,2.53215
2016/11/22,2.53215
2016/11/23,2.53215
2016/11/24,2.53215
2016/11/25,2.53215
2016/11/28,2.53215
2016/11/29,2.53215
2016/11/30,2.53215
2016/12/1,2.53215
2016/12/2,2.53215
2016/12/5,2.5319
2016/12/6,2.54715
2016/12/7,2.54715
2016/12/8,2.54715
2016/12/9,2.54715
2016/12/12,2.54715
2016/12/13,2.54715
2016/12/14,2.54715
2016/12/15,2.54715
2016/12/16,2.54715
2016/12/19,2.54715
2016/12/20,2.54715
2016/12/21,2.54715
2016/12/22,2.54715
2016/12/23,2.54715
2016/12/26,2.54715
2016/12/27,2.54715
2016/12/28,2.54715
2016/12/29,2.5469
2016/12/30,2.5609
