buy_or_sell,sellday,id,number,buyday,buyprice,sellprice
sell,2016/1/4,0,1,2016/1/4,152.0,136.8
sell,2016/1/5,0,2.0,2016/1/5,165.0,148.5
sell,2016/1/6,0,1,2016/1/6,185.0,166.5
sell,2016/1/7,0,3.0,2016/1/7,132.0,118.8
sell,2016/1/11,0,3.0,2016/1/8,141.0,126.9
sell,2016/1/11,0,2.0,2016/1/11,185.0,166.5
sell,2016/1/14,0,2.0,2016/1/14,175.0,157.5
sell,2016/1/18,0,3.0,2016/1/18,117.0,292.5
sell,2016/1/20,0,1,2016/1/20,110.0,99.0
sell,2016/1/22,0,4.0,2016/1/22,128.0,115.2
sell,2016/1/26,0,1,2016/1/25,90.0,81.0
sell,2016/1/26,0,1,2016/1/26,79.0,71.1
sell,2016/1/27,0,1,2016/1/27,53.0,47.7
sell,2016/1/29,0,1,2016/1/28,66.0,165.0
sell,2016/1/29,0,1,2016/1/29,83.0,207.5
sell,2016/2/1,0,1,2016/1/30,55.0,49.5
sell,2016/2/15,0,1,2016/2/3,145.0,130.5
sell,2016/2/16,0,1,2016/2/15,151.0,300.0
sell,2016/2/17,0,1,2016/2/16,99.0,153.0
sell,2016/2/17,0,1,2016/2/17,116.0,104.4
sell,2016/2/26,0,1,2016/2/25,66.0,110.0
sell,2016/3/15,0,7.0,2016/3/14,106.0,95.4
sell,2016/3/25,0,1,2016/3/25,96.0,86.4
sell,2016/4/6,0,6.0,2016/4/6,123.0,110.7
sell,2016/4/11,0,1,2016/4/8,116.0,167.0
sell,2016/4/22,0,8.0,2016/4/22,90.0,81.0
sell,2016/4/27,0,1,2016/4/27,58.0,52.2
sell,2016/5/5,0,8.0,2016/5/5,86.0,77.4
sell,2016/5/11,0,1,2016/5/11,86.0,77.4
sell,2016/5/12,0,7.0,2016/5/12,90.0,81.0
sell,2016/5/17,0,8.0,2016/5/17,76.0,68.4
sell,2016/5/18,0,7.0,2016/5/18,82.0,73.8
sell,2016/5/23,0,1,2016/5/20,115.0,287.5
sell,2016/5/23,0,7.0,2016/5/23,89.0,80.1
sell,2016/5/24,0,6.0,2016/5/24,88.0,79.2
sell,2016/6/15,0,1,2016/6/14,55.0,84.0
sell,2016/6/15,0,1,2016/6/15,48.0,43.2
sell,2016/6/20,0,5.0,2016/6/20,107.0,96.3
sell,2016/6/28,0,5.0,2016/6/27,101.0,135.0
sell,2016/6/29,0,6.0,2016/6/28,101.0,148.0
sell,2016/6/30,0,1,2016/6/30,70.0,63.0
sell,2016/7/11,0,1,2016/7/7,72.0,158.0
sell,2016/7/12,0,1,2016/7/11,45.0,79.0
sell,2016/7/27,0,1,2016/7/26,74.0,120.0
sell,2016/7/27,0,1,2016/7/27,89.0,80.1
sell,2016/8/17,0,1,2016/8/17,72.0,64.8
sell,2016/8/24,0,9.0,2016/8/23,86.0,100.0
sell,2016/8/31,0,1,2016/8/31,72.0,64.8
sell,2016/9/1,0,1,2016/9/1,102.0,91.8
sell,2016/9/2,0,6.0,2016/9/2,135.0,121.5
sell,2016/9/12,0,1,2016/9/10,117.0,120.0
sell,2016/9/19,0,8.0,2016/9/14,105.0,224.0
sell,2016/9/20,0,11.0,2016/9/19,113.0,211.0
sell,2016/10/4,0,1,2016/10/3,121.0,147.0
sell,2016/10/13,0,1,2016/10/12,85.0,100.0
sell,2016/10/13,0,1,2016/10/13,82.0,73.8
sell,2016/10/17,0,1,2016/10/17,87.0,78.3
sell,2016/10/19,0,22.0,2016/10/18,83.0,109.0
sell,2016/10/20,0,1,2016/10/19,100.0,121.0
sell,2016/10/28,0,1,2016/10/28,52.0,46.8
sell,2016/11/2,0,1,2016/11/1,103.0,92.7
sell,2016/11/9,0,1,2016/11/9,140.0,126.0
sell,2016/11/11,0,15.0,2016/11/11,141.0,126.9
sell,2016/11/14,0,1,2016/11/14,108.0,97.2
sell,2016/11/16,0,1,2016/11/15,130.0,138.0
sell,2016/12/6,0,1,2016/12/5,84.0,115.0
sell,2016/12/30,0,1,2016/12/29,45.5,74.0
