date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2016/1/4,201601W1,TXO,7700,call,435,435,396,396,44
2016/1/4,201601W1,TXO,7700,put,0.4,2,0.3,1.5,3925
2016/1/4,201601W1,TXO,7800,call,430,430,285,289,26
2016/1/4,201601W1,TXO,7800,put,0.4,5.6,0.4,3,7488
2016/1/4,201601W1,TXO,7900,call,349,349,173,208,190
2016/1/4,201601W1,TXO,7900,put,0.9,15.5,0.9,7.6,16401
2016/1/4,201601W1,TXO,8000,call,194,199,101,117,804
2016/1/4,201601W1,TXO,8000,put,2.3,40,1.8,21.5,16363
2016/1/4,201601W1,TXO,8050,call,248,248,70,83,1960
2016/1/4,201601W1,TXO,8050,put,4,61,2.7,34,10248
2016/1/4,201601W1,TXO,8100,call,200,204,45,50,5809
2016/1/4,201601W1,TXO,8100,put,8,87,5,53,9275
2016/1/4,201601W1,TXO,8150,call,144,169,23.5,27.5,10870
2016/1/4,201601W1,TXO,8150,put,14,120,9.5,80,7532
2016/1/4,201601W1,TXO,8200,call,101,129,10.5,13.5,12145
2016/1/4,201601W1,TXO,8200,put,23,158,18,115,4584
2016/1/4,201601W1,TXO,8250,call,69,93,4.5,5.3,18982
2016/1/4,201601W1,TXO,8250,put,40.5,200,30,155,4605
2016/1/4,201601W1,TXO,8300,call,40.5,62,1.3,1.7,17786
2016/1/4,201601W1,TXO,8300,put,65,244,49,201,3671
2016/1/4,201601W1,TXO,8350,call,21,37,0.7,1.1,12789
2016/1/4,201601W1,TXO,8350,put,97,288,76,251,2076
2016/1/4,201601W1,TXO,8400,call,9.9,19,0.2,0.6,13832
2016/1/4,201601W1,TXO,8400,put,135,341,110,300,632
2016/1/4,201601W1,TXO,8450,call,3.9,8.9,0.2,0.5,8024
2016/1/4,201601W1,TXO,8450,put,166,369,150,344,217
2016/1/4,201601W1,TXO,8500,call,0.8,3.3,0.1,0.4,7434
2016/1/4,201601W1,TXO,8500,put,225,421,201,396,69
2016/1/4,201601W1,TXO,8550,call,0.7,1.1,0.2,0.2,215
2016/1/4,201601W1,TXO,8550,put,0,0,0,0,0
2016/1/4,201601W1,TXO,8600,call,0.4,0.4,0.1,0.3,3442
2016/1/4,201601W1,TXO,8600,put,305,480,305,480,8
2016/1/4,201601W1,TXO,8700,call,0.3,0.3,0.3,0.3,732
2016/1/4,201601W1,TXO,8700,put,0,0,0,0,0
2016/1/4,201601W1,TXO,8800,call,0,0,0,0,31
2016/1/4,201601W1,TXO,8800,put,0,0,0,0,20
2016/1/4,201601W1,TXO,8900,call,0,0,0,0,0
2016/1/4,201601W1,TXO,8900,put,0,0,0,0,20
2016/1/4,201601W1,TXO,9000,call,0,0,0,0,0
2016/1/4,201601W1,TXO,9000,put,0,0,0,0,0
2016/1/4,201601,TXO,6800,call,1340,1340,1340,1340,5
2016/1/4,201601,TXO,6800,put,1.2,3.5,1.2,2.5,6592
2016/1/4,201601,TXO,6900,call,0,0,0,0,0
2016/1/4,201601,TXO,6900,put,1.7,4.6,1.6,3.5,5813
2016/1/4,201601,TXO,7000,call,0,0,0,0,0
2016/1/4,201601,TXO,7000,put,1.7,6.1,1.6,4.8,10926
2016/1/4,201601,TXO,7100,call,0,0,0,0,0
2016/1/4,201601,TXO,7100,put,2.2,9,2.1,6.8,9363
2016/1/4,201601,TXO,7200,call,0,0,0,0,50
2016/1/4,201601,TXO,7200,put,3.2,14,3,10,13538
2016/1/4,201601,TXO,7300,call,0,0,0,0,21
2016/1/4,201601,TXO,7300,put,5.5,20.5,5.2,16,16076
2016/1/4,201601,TXO,7400,call,0,0,0,0,54
2016/1/4,201601,TXO,7400,put,8,30,7.9,23,17593
2016/1/4,201601,TXO,7500,call,680,680,680,680,66
2016/1/4,201601,TXO,7500,put,13,42,12,32.5,20824
2016/1/4,201601,TXO,7600,call,500,525,500,525,62
2016/1/4,201601,TXO,7600,put,17,58,17,46.5,17205
2016/1/4,201601,TXO,7700,call,535,535,430,430,89
2016/1/4,201601,TXO,7700,put,26,77,26,62,19532
2016/1/4,201601,TXO,7800,call,515,520,337,350,779
2016/1/4,201601,TXO,7800,put,40,102,38,80,21027
2016/1/4,201601,TXO,7900,call,360,360,270,276,788
2016/1/4,201601,TXO,7900,put,55,134,52,106,15485
2016/1/4,201601,TXO,8000,call,337,359,203,210,2389
2016/1/4,201601,TXO,8000,put,77,171,71,136,24196
2016/1/4,201601,TXO,8100,call,268,289,142,147,3442
2016/1/4,201601,TXO,8100,put,106,217,96,174,9839
2016/1/4,201601,TXO,8200,call,197,218,94,96,7406
2016/1/4,201601,TXO,8200,put,140,270,126,222,11238
2016/1/4,201601,TXO,8300,call,138,156,57,58,17335
2016/1/4,201601,TXO,8300,put,174,334,163,286,10689
2016/1/4,201601,TXO,8400,call,89,104,30.5,31.5,20016
