date,dateline,strike_price,callorput,open,high,close
2016/1/4,201602,7300,put,28,61,56
2016/1/4,201602,7400,call,0,0,0
2016/1/4,201602,7400,put,36.5,75,70
2016/1/4,201602,7500,call,700,700,640
2016/1/4,201602,7500,put,52,92,85
2016/1/4,201602,7600,call,555,580,560
2016/1/4,201602,7600,put,62,112,103
2016/1/4,201602,7700,call,475,505,478
2016/1/4,201602,7700,put,71,138,127
2016/1/4,201602,7800,call,500,500,404
2016/1/4,201602,7800,put,91,166,153
2016/1/4,201602,7900,call,345,359,342
2016/1/4,201602,7900,put,112,202,183
2016/1/4,201602,8000,call,399,399,271
2016/1/4,201602,8000,put,138,242,217
2016/1/4,201602,8100,call,286,286,215
2016/1/4,201602,8100,put,167,280,260
2016/1/4,201602,8200,call,271,275,165
2016/1/4,201602,8200,put,200,330,310
2016/1/4,201602,8300,call,213,213,122
2016/1/4,201602,8300,put,243,399,369
2016/1/4,201602,8400,call,152,165,83
2016/1/4,201602,8400,put,296,463,432
2016/1/4,201602,8500,call,118,120,55
2016/1/4,201602,8500,put,425,505,500
2016/1/4,201602,8600,call,82,85,35.5
2016/1/4,201602,8600,put,500,530,530
2016/1/4,201602,8700,call,54,55,22
2016/1/4,201602,8700,put,0,0,0
2016/1/4,201602,8800,call,33,34.5,12.5
2016/1/4,201602,8800,put,0,0,0
2016/1/4,201602,8900,call,17.5,19.5,6.9
2016/1/4,201602,8900,put,735,735,735
2016/1/4,201602,9000,call,10.5,10.5,4.6
2016/1/4,201602,9000,put,0,0,0
2016/1/4,201602,9100,call,5.7,5.7,2.7
2016/1/4,201602,9100,put,0,0,0
2016/1/4,201602,9200,call,3,3.2,2.2
2016/1/4,201602,9200,put,0,0,0
2016/1/4,201602,9300,call,1,1,1
2016/1/4,201602,9300,put,0,0,0
2016/1/4,201602,9400,call,1.4,1.8,1.8
2016/1/4,201602,9400,put,0,0,0
2016/1/4,201602,9500,call,1,1,1
2016/1/4,201602,9500,put,0,0,0
2016/1/4,201602,9600,call,1,1,1
2016/1/4,201602,9600,put,0,0,0
2016/1/4,201602,9700,call,1,1,1
2016/1/4,201602,9700,put,0,0,0
2016/1/4,201602,9800,call,1,1,1
2016/1/4,201602,9800,put,0,0,0
2016/1/4,201603,5800,call,0,0,0
2016/1/4,201603,5800,put,6.1,11.5,11.5
2016/1/4,201603,5900,call,0,0,0
2016/1/4,201603,5900,put,6.9,11,11
2016/1/4,201603,6000,call,0,0,0
2016/1/4,201603,6000,put,8.3,14,14
2016/1/4,201603,6100,call,0,0,0
2016/1/4,201603,6100,put,9.1,14.5,13
2016/1/4,201603,6200,call,0,0,0
2016/1/4,201603,6200,put,13.5,18.5,18.5
2016/1/4,201603,6300,call,0,0,0
2016/1/4,201603,6300,put,14,20,19
2016/1/4,201603,6400,call,0,0,0
2016/1/4,201603,6400,put,17.5,24,24
2016/1/4,201603,6500,call,0,0,0
2016/1/4,201603,6500,put,17.5,27,27
2016/1/4,201603,6600,call,0,0,0
2016/1/4,201603,6600,put,20,32.5,32.5
2016/1/4,201603,6700,call,0,0,0
2016/1/4,201603,6700,put,27,37,32.5
2016/1/4,201603,6800,call,0,0,0
2016/1/4,201603,6800,put,27.5,45,44
2016/1/4,201603,6900,call,0,0,0
2016/1/4,201603,6900,put,36,53,53
2016/1/4,201603,7000,call,0,0,0
2016/1/4,201603,7000,put,37,63,63
2016/1/4,201603,7100,call,0,0,0
2016/1/4,201603,7100,put,56,72,70
2016/1/4,201603,7200,call,0,0,0
2016/1/4,201603,7200,put,51,85,85
2016/1/4,201603,7300,call,0,0,0
2016/1/4,201603,7300,put,62,99,96
2016/1/4,201603,7400,call,0,0,0
2016/1/4,201603,7400,put,73,118,112
2016/1/4,201603,7500,call,850,850,705
2016/1/4,201603,7500,put,84,137,132
2016/1/4,201603,7600,call,0,0,0
2016/1/4,201603,7600,put,102,164,153
2016/1/4,201603,7700,call,0,0,0
2016/1/4,201603,7700,put,114,184,174
2016/1/4,201603,7800,call,0,0,0
2016/1/4,201603,7800,put,137,223,206
2016/1/4,201603,7900,call,0,0,0
2016/1/4,201603,7900,put,162,238,238
2016/1/4,201603,8000,call,345,345,345
2016/1/4,201603,8000,put,227,295,275
2016/1/4,201603,8100,call,343,343,267
2016/1/4,201603,8100,put,227,342,312
2016/1/4,201603,8200,call,317,317,215
2016/1/4,201603,8200,put,315,392,371
2016/1/4,201603,8300,call,206,206,170
2016/1/4,201603,8300,put,328,450,429
2016/1/4,201603,8400,call,216,216,129
2016/1/4,201603,8400,put,350,500,486
2016/1/4,201603,8500,call,156,156,95
2016/1/4,201603,8500,put,545,545,545
2016/1/4,201603,8600,call,108,108,74
2016/1/4,201603,8600,put,645,645,595
2016/1/4,201603,8700,call,94,94,53
2016/1/4,201603,8700,put,0,0,0
2016/1/4,201603,8800,call,71,71,36.5
2016/1/4,201603,8800,put,790,820,820
2016/1/4,201603,8900,call,44,44,26
2016/1/4,201603,8900,put,0,0,0
2016/1/4,201603,9000,call,37.5,37.5,18.5
2016/1/4,201603,9000,put,0,0,0
2016/1/4,201603,9100,call,26,26,13
2016/1/4,201603,9100,put,0,0,0
2016/1/4,201603,9200,call,17.5,18,10
2016/1/4,201603,9200,put,1140,1150,1140
2016/1/4,201603,9300,call,11,12,7.3
2016/1/4,201603,9300,put,0,0,0
2016/1/4,201603,9400,call,8.2,8.3,5.5
2016/1/4,201603,9400,put,1150,1330,1330
2016/1/4,201603,9500,call,5.7,5.7,3.5
2016/1/4,201603,9500,put,0,0,0
2016/1/4,201603,9600,call,4.2,4.3,3
2016/1/4,201603,9600,put,0,0,0
2016/1/4,201603,9700,call,3.2,3.2,3.2
2016/1/4,201603,9700,put,0,0,0
2016/1/4,201603,9800,call,2.5,2.5,2
2016/1/4,201603,9800,put,0,0,0
2016/1/4,201603,9900,call,0,0,0
2016/1/4,201603,9900,put,0,0,0
2016/1/4,201603,10000,call,1.6,1.6,1.3
2016/1/4,201603,10000,put,0,0,0
2016/1/4,201603,10200,call,0,0,0
2016/1/4,201603,10200,put,0,0,0
2016/1/4,201603,10400,call,0.4,0.4,0.4
2016/1/4,201603,10400,put,0,0,0
2016/1/4,201603,10600,call,0,0,0
2016/1/4,201603,10600,put,0,0,0
2016/1/4,201603,10800,call,0,0,0
2016/1/4,201603,10800,put,0,0,0
2016/1/4,201603,11000,call,0,0,0
2016/1/4,201603,11000,put,0,0,0
2016/1/4,201603,11200,call,0,0,0
2016/1/4,201603,11200,put,0,0,0
2016/1/4,201603,11400,call,1.5,1.5,0.2
2016/1/4,201603,11400,put,0,0,0
2016/1/4,201603,11600,call,0,0,0
2016/1/4,201603,11600,put,0,0,0
2016/1/4,201606,6400,call,0,0,0
2016/1/4,201606,6400,put,52,68,67
2016/1/4,201606,6600,call,0,0,0
2016/1/4,201606,6600,put,65,85,85
2016/1/4,201606,6800,call,0,0,0
2016/1/4,201606,6800,put,76,112,112
2016/1/4,201606,7000,call,0,0,0
2016/1/4,201606,7000,put,100,138,135
2016/1/4,201606,7200,call,0,0,0
2016/1/4,201606,7200,put,135,172,159
2016/1/4,201606,7400,call,0,0,0
2016/1/4,201606,7400,put,190,217,205
2016/1/4,201606,7600,call,695,695,690
2016/1/4,201606,7600,put,251,271,262
2016/1/4,201606,7800,call,0,0,0
2016/1/4,201606,7800,put,287,335,328
2016/1/4,201606,8000,call,535,535,430
2016/1/4,201606,8000,put,315,395,395
2016/1/4,201606,8200,call,350,350,310
2016/1/4,201606,8200,put,427,485,485
2016/1/4,201606,8400,call,335,335,240
2016/1/4,201606,8400,put,540,635,600
2016/1/4,201606,8600,call,215,215,173
2016/1/4,201606,8600,put,650,750,715
2016/1/4,201606,8800,call,140,144,113
2016/1/4,201606,8800,put,750,895,870
2016/1/4,201606,9000,call,119,119,78
2016/1/4,201606,9000,put,1000,1000,1000
2016/1/4,201606,9200,call,81,81,50
2016/1/4,201606,9200,put,1230,1230,1210
2016/1/4,201606,9400,call,51,51,33.5
2016/1/4,201606,9400,put,0,0,0
2016/1/4,201606,9600,call,32,32,21.5
2016/1/4,201606,9600,put,0,0,0
2016/1/4,201606,9800,call,20.5,20.5,15.5
2016/1/4,201606,9800,put,0,0,0
2016/1/4,201606,10000,call,14,14.5,11
2016/1/4,201606,10000,put,0,0,0
2016/1/4,201606,10400,call,7,7,5.6
2016/1/4,201606,10400,put,0,0,0
2016/1/4,201606,10800,call,0,0,0
2016/1/4,201606,10800,put,0,0,0
2016/1/4,201609,6400,call,0,0,0
2016/1/4,201609,6400,put,101,131,128
2016/1/4,201609,6600,call,0,0,0
2016/1/4,201609,6600,put,149,160,159
2016/1/4,201609,6800,call,0,0,0
2016/1/4,201609,6800,put,188,198,198
2016/1/4,201609,7000,call,0,0,0
2016/1/4,201609,7000,put,240,245,245
2016/1/4,201609,7200,call,0,0,0
2016/1/4,201609,7200,put,265,303,303
2016/1/4,201609,7400,call,0,0,0
