Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12
2013/6/4,15255.22,15304.98,15100.78,15177.54,15234.89,15287.62,15237.21,14832.68,134,145,141,110.85,144.87,-34.02,0.2733 ,0.3850 ,0.4269 ,0.5098 
2015/10/29,17771.5,17786,17684.72,17755.8,17677.3,17470.79,17203.73,16818.16,90.3,119,123,281,219.69,61.31,0.9400 ,0.9216 ,0.7930 ,0.7264 
2015/7/1,17638.12,17801.83,17638.12,17757.91,17762.16,17917.25,17901.41,18013.57,87.01,113,118,-65.71,-35.18,-30.53,0.2744 ,0.3825 ,0.4232 ,0.4325 
2014/10/16,16137.14,16211.12,15935.22,16117.24,16287.87,16581.38,16815.55,16869.02,132,129,108,-202.6,-104.26,-98.35,0.1695 ,0.1785 ,0.2013 ,0.2833 
2017/3/10,20919.01,20940.29,20827.66,20902.98,20899.2,20926.99,20773.11,20204.25,315,286,299,210.37,235.25,-24.88,0.3809 ,0.5193 ,0.5738 ,0.6612 
2015/10/28,17586.69,17779.95,17556.71,17779.52,17623.97,17409.38,17129.54,16814.57,116,132,126,270.05,204.36,65.69,0.9331 ,0.9124 ,0.8257 ,0.7394 
2014/5/28,16674.98,16674.98,16620.22,16633.18,16598.22,16542.94,16553.86,16419.99,62.48,68.13,79.85,44.89,41.84,3.05,0.7060 ,0.5909 ,0.5900 ,0.5629 
2015/6/15,17890.76,17890.76,17698.42,17791.17,17898.76,17910.36,18044.99,18002.26,91.92,90.57,87.25,-54.63,-30.75,-23.88,0.3474 ,0.3392 ,0.3547 ,0.3998 
2015/9/9,16505.04,16664.65,16220.1,16253.57,16314.95,16374.44,16671.3,17411.2,119,123,144,-321.44,-332.54,11.1,0.5538 ,0.5495 ,0.4400 ,0.4146 
2013/9/18,15533.03,15709.58,15470.16,15676.94,15475.63,15281.89,15082.7,15251.18,145,109,105,79.91,-8.93,88.84,0.9418 ,0.8854 ,0.9110 ,0.7681 
2014/10/30,16968.14,17223.96,16920.76,17195.42,16959.77,16733.29,16657.34,16869.27,80.21,80.71,93.34,14.13,-74.01,88.15,0.9203 ,0.8328 ,0.7818 ,0.6446 
2016/1/13,16526.63,16593.51,16123.2,16151.41,16385.35,16816.98,17157.05,17478.58,154,143,124,-301.85,-182.8,-119.04,0.1104 ,0.1798 ,0.1946 ,0.2700 
2015/9/25,16205.07,16465.23,16205.07,16314.67,16327.31,16440.66,16398.71,17113.82,131,110,131,-159.21,-182.12,22.91,0.2919 ,0.3706 ,0.4496 ,0.4459 
2014/11/4,17368.81,17397.23,17278.36,17383.84,17262.07,17007.87,16728.32,16913.41,81.4,87.94,87.91,121.2,9.01,112.19,0.9535 ,0.9153 ,0.8087 ,0.6791 
2013/11/21,15908.07,16016.04,15908.07,16009.99,15963.11,15880.9,15750.34,15395.41,79,93.86,92.6,157.58,143.52,14.05,0.8717 ,0.8708 ,0.7209 ,0.6862 
2016/5/12,17722.01,17798.19,17625.38,17720.5,17761.3,17753.42,17870.59,17455.6,88.56,83.47,90.78,30.61,69.36,-38.75,0.3999 ,0.3674 ,0.4408 ,0.4754 
2014/4/2,16532.8,16588.19,16506.6,16573,16430.11,16369.79,16333.14,16176.32,78.12,90.15,119,75.68,57.33,18.35,0.8316 ,0.7186 ,0.7527 ,0.6483 
