Date,Open,High,Low,Close,BBandMA2,Di2add,Di2minus,ADX2,RSI6,RSI12,three_openposition,openposition,SMA5,SMA10,Volume,MA5,MA10,DIF12,MACD9,OSC,K,D,AR10,RSV5
2011/2/9,9071,9109,8975,9012,9055.5,18.52,37.68,60.41,0.48,0.54,-8941,11441,9080.2,9030.8,128818,93933,88696,73.09,71.95,1.14,0.68,0.72,0.92,0.19
2011/2/10,8971,8983,8817,8823,8917.5,6.94,64.78,70.52,0.29,0.41,-17263,8434,9034.6,9004.8,139784,103021,96704,54.81,68.52,-13.72,0.46,0.63,0.54,0.02
2011/2/11,8818,8827,8523,8564,8693.5,2.35,85.88,82.59,0.17,0.3,-11960,7268,8926.8,8960.5,194117,125138,109637,20.55,58.93,-38.37,0.32,0.53,0.36,0.06
2011/2/14,8625,8693,8601,8645,8604.5,1.51,55.02,88.63,0.28,0.36,-10786,4879,8828.6,8934.4,97013,131697,105382,-4.4,46.26,-50.66,0.28,0.45,0.49,0.18
2011/2/15,8625,8733,8531,8697,8671,0.71,44.24,92.74,0.35,0.39,-8520,2959,8748.2,8909.7,126055,137157,110751,-22.43,32.52,-54.95,0.27,0.39,0.53,0.3
2011/2/16,8718,8757,8695,8719,8708,10.03,33.38,73.26,0.37,0.41,-9505,2201,8689.6,8884.9,57818,122957,108445,-31.67,19.69,-51.35,0.28,0.35,0.54,0.43
2011/2/17,8651,8675,8589,8625,8672,4.94,57.8,78.75,0.31,0.37,-5418,2033,8650,8842.3,119729,118946,110984,-46.04,6.54,-52.58,0.24,0.31,0.41,0.34
2011/2/18,8678,8845,8675,8809,8717,50.64,21.28,59.79,0.51,0.48,-4629,3231,8699,8812.9,119059,103935,114536,-44.34,-3.64,-40.7,0.3,0.31,0.56,0.89
2011/2/21,8814,8815,8732,8809,8809,34.29,14.41,50.31,0.51,0.48,-4931,2348,8731.8,8780.2,83847,101302,116499,-41.96,-11.3,-30.66,0.36,0.33,0.5,0.89
2011/2/22,8713,8722,8562,8620,8714.5,11.74,50.2,56.2,0.36,0.39,-5102,-299,8716.4,8732.3,144975,105086,121122,-52.4,-19.52,-32.88,0.31,0.32,0.48,0.2
2011/2/23,8588,8637,8480,8521,8570.5,6.39,51.12,66.99,0.3,0.36,-4432,1241,8676.8,8683.2,139573,121437,122197,-67.26,-29.07,-38.19,0.25,0.3,0.49,0.11
2011/2/24,8502,8610,8502,8531,8526,3.93,31.43,72.38,0.31,0.36,-3490,943,8658,8654,118501,121191,120069,-77.84,-38.82,-39.02,0.21,0.27,0.69,0.14
2011/2/25,8560,8630,8433,8615,8573,1.63,33.53,81.54,0.42,0.42,-116,5440,8619.2,8659.1,185984,134576,119255,-82.87,-47.63,-35.24,0.29,0.27,0.95,0.48
2011/3/1,8695,8710,8634,8690,8652.5,31.39,21.45,50.18,0.51,0.46,566,4396,8595.4,8663.6,84818,134770,118036,-77.27,-53.56,-23.71,0.4,0.32,0.83,0.89
2011/3/2,8610,8674,8582,8601,8645.5,17.26,33.47,41.08,0.42,0.42,688,1288,8591.6,8654,126553,131086,118086,-77.31,-58.31,-19,0.4,0.34,0.85,0.61
2011/3/3,8660,8755,8630,8739,8670,37.13,14.65,42.24,0.56,0.5,4122,3709,8635.2,8656,122389,127649,124543,-68.38,-60.32,-8.05,0.52,0.4,0.92,0.95
2011/3/4,8796,8800,8753,8761,8750,48.42,10.14,53.81,0.58,0.51,4037,2375,8681.2,8669.6,83710,120691,120941,-56.37,-59.53,3.16,0.63,0.48,0.92,0.89
2011/3/7,8743,8762,8677,8721,8741,26.05,46.76,41.13,0.53,0.49,2919,2124,8702.4,8660.8,108307,105155,119866,-50.2,-57.67,7.47,0.68,0.55,0.62,0.64
2011/3/8,8704,8758,8701,8740,8730.5,16.08,28.87,34.79,0.55,0.5,1936,2242,8712.4,8653.9,77886,103769,119270,-43.63,-54.86,11.23,0.73,0.61,0.79,0.72
2011/3/9,8793,8798,8698,8758,8749,29.79,12.33,38.13,0.58,0.51,4156,1982,8743.8,8667.7,101336,98726,114906,-36.53,-51.19,14.66,0.78,0.67,0.86,0.75
2011/3/10,8763,8763,8608,8623,8690.5,10.73,41.59,48.56,0.39,0.43,-3698,-969,8720.6,8677.9,140889,102426,115037,-38.43,-48.64,10.21,0.7,0.68,0.71,0.08
2011/3/11,8550,8574,8480,8559,8591,4.92,67.54,67.49,0.33,0.4,-3129,-2067,8680.2,8680.7,129493,111582,116137,-48.35,-48.58,0.23,0.55,0.63,0.52,0.25
2011/3/14,8531,8568,8366,8504,8531.5,1.95,60.82,80.65,0.29,0.38,-1389,-2141,8636.8,8669.6,171744,124270,114713,-60.16,-50.9,-9.27,0.47,0.58,0.44,0.32
2011/3/15,8531,8532,8026,8257,8380.5,0.48,65.61,89.59,0.17,0.29,-565,-13792,8540.2,8626.3,278523,164397,134083,-86.08,-57.93,-28.15,0.41,0.52,0.26,0.3
