buy_or_sell,day,strike_price,number,id,PutorCall,buyprice,output_money,money_canbuy
buy,2017/1/12,9500,19.0,0,call,51.0,50000,1075.0
buy,2017/1/16,9300,12.0,0,put,96.0,50000,650.0
buy,2017/1/23,9400,17.0,0,call,72.0,50000,1125.0
buy,2017/2/2,9400,16.0,0,put,123.0,50000,3900.0
buy,2017/3/1,9700,15.0,0,put,145.0,50000,775.0
buy,2017/3/2,9700,18.0,0,put,137.0,50000,4150.0
buy,2017/3/3,9500,32.0,0,put,113.0,50000,2100.0
buy,2017/3/7,9800,34.0,0,call,84.0,50000,2290.0
buy,2017/3/8,9800,34.0,0,call,97.0,50000,3990.0
buy,2017/3/9,9600,33.0,0,put,81.0,50000,585.0
buy,2017/3/10,9500,1,0,put,84.0,50000,198485.0
buy,2017/3/16,9900,55.0,0,call,72.0,50000,2445.0
buy,2017/3/31,9800,91.0,0,put,62.0,50000,2695.0
buy,2017/4/5,9900,37.0,0,call,120.0,50000,3175.0
buy,2017/4/7,9800,49.0,0,put,103.0,50000,275.0
buy,2017/4/11,9800,1,0,put,115.0,50000,267675.0
buy,2017/4/13,9900,60.0,0,call,90.0,50000,3400.0
buy,2017/4/14,9700,41.0,0,put,104.0,50000,3675.0
buy,2017/4/19,9600,55.0,0,put,97.0,50000,3075.0
buy,2017/4/25,9800,89.0,0,call,71.0,50000,2525.0
buy,2017/5/25,10200,200,0,call,32.0,50000,178150.0
buy,2017/5/31,9800,200,0,put,18.0,50000,448150.0
buy,2017/6/2,10400,200,0,call,16.0,50000,428150.0
buy,2017/6/5,10400,200,0,call,16.0,50000,423150.0
buy,2017/6/9,10000,117.0,0,put,99.0,50000,1075.0
buy,2017/6/12,10000,118.0,0,put,149.0,50000,5300.0
