date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2017/1/3,201701W1,TXO,8400,call,735,855,735,855,60
2017/1/3,201701W1,TXO,8400,put,-,-,-,-,108
2017/1/3,201701W1,TXO,8500,call,-,-,-,-,0
2017/1/3,201701W1,TXO,8500,put,0.1,0.1,0.1,0.1,59
2017/1/3,201701W1,TXO,8600,call,-,-,-,-,0
2017/1/3,201701W1,TXO,8600,put,-,-,-,-,423
2017/1/3,201701W1,TXO,8700,call,-,-,-,-,11
2017/1/3,201701W1,TXO,8700,put,-,-,-,-,648
2017/1/3,201701W1,TXO,8800,call,-,-,-,-,3
2017/1/3,201701W1,TXO,8800,put,0.2,0.2,0.1,0.2,1141
2017/1/3,201701W1,TXO,8850,call,-,-,-,-,0
2017/1/3,201701W1,TXO,8850,put,0.1,0.2,0.1,0.1,2095
2017/1/3,201701W1,TXO,8900,call,-,-,-,-,11
2017/1/3,201701W1,TXO,8900,put,0.3,0.3,0.1,0.1,13484
2017/1/3,201701W1,TXO,8950,call,330,330,330,330,39
2017/1/3,201701W1,TXO,8950,put,0.4,0.4,0.1,0.1,16704
2017/1/3,201701W1,TXO,9000,call,266,281,235,281,154
2017/1/3,201701W1,TXO,9000,put,0.5,0.6,0.2,0.2,16592
2017/1/3,201701W1,TXO,9050,call,207,238,187,237,397
2017/1/3,201701W1,TXO,9050,put,1,1,0.3,0.4,21938
2017/1/3,201701W1,TXO,9100,call,178,189,138,187,1047
2017/1/3,201701W1,TXO,9100,put,2,2.8,0.6,0.7,18309
2017/1/3,201701W1,TXO,9150,call,121,141,92,140,3675
2017/1/3,201701W1,TXO,9150,put,5.4,7.1,1.3,1.4,22453
2017/1/3,201701W1,TXO,9200,call,79,93,52,92,17774
2017/1/3,201701W1,TXO,9200,put,12,18,3.7,3.8,26723
2017/1/3,201701W1,TXO,9250,call,41.5,50,22.5,49.5,21378
2017/1/3,201701W1,TXO,9250,put,28,38.5,10.5,10.5,24965
2017/1/3,201701W1,TXO,9300,call,19,22.5,6.6,17.5,29356
2017/1/3,201701W1,TXO,9300,put,53,72,28,28,9861
2017/1/3,201701W1,TXO,9350,call,5.5,7,1,3.6,32092
2017/1/3,201701W1,TXO,9350,put,90,115,64,64,1698
2017/1/3,201701W1,TXO,9400,call,1,1,0.1,0.5,28155
2017/1/3,201701W1,TXO,9400,put,137,162,111,112,266
2017/1/3,201701W1,TXO,9450,call,0.6,0.6,0.1,0.1,17733
2017/1/3,201701W1,TXO,9450,put,185,185,176,176,48
2017/1/3,201701W1,TXO,9500,call,0.1,0.3,0.1,0.1,2833
2017/1/3,201701W1,TXO,9500,put,226,226,223,223,20
2017/1/3,201701W1,TXO,9600,call,0.1,0.3,0.1,0.2,233
2017/1/3,201701W1,TXO,9600,put,-,-,-,-,0
2017/1/3,201701W1,TXO,9700,call,-,-,-,-,19
2017/1/3,201701W1,TXO,9700,put,-,-,-,-,0
2017/1/3,201701W1,TXO,9800,call,-,-,-,-,3
2017/1/3,201701W1,TXO,9800,put,-,-,-,-,0
2017/1/3,201701W1,TXO,9900,call,-,-,-,-,3
2017/1/3,201701W1,TXO,9900,put,-,-,-,-,0
2017/1/3,201701W1,TXO,10000,call,-,-,-,-,0
2017/1/3,201701W1,TXO,10000,put,-,-,-,-,0
2017/1/3,201701,TXO,7500,call,-,-,-,-,0
2017/1/3,201701,TXO,7500,put,0.5,0.5,0.1,0.1,2622
