buy_or_sell,sellday,id,number,buyday,buyprice,sellprice
sell,2017/1/13,0,19.0,2017/1/12,51.0,61.0
sell,2017/1/17,0,12.0,2017/1/16,96.0,104.0
sell,2017/1/24,0,17.0,2017/1/23,72.0,120.0
sell,2017/2/3,0,16.0,2017/2/2,123.0,133.0
sell,2017/3/2,0,15.0,2017/3/1,145.0,170.0
sell,2017/3/3,0,18.0,2017/3/2,137.0,200.0
sell,2017/3/6,0,32.0,2017/3/3,113.0,90.4
sell,2017/3/8,0,34.0,2017/3/7,84.0,99.0
sell,2017/3/9,0,34.0,2017/3/8,97.0,77.6
sell,2017/3/10,0,33.0,2017/3/9,81.0,123.0
sell,2017/3/13,0,1,2017/3/10,84.0,67.2
sell,2017/3/17,0,55.0,2017/3/16,72.0,104.0
sell,2017/4/5,0,91.0,2017/3/31,62.0,49.6
sell,2017/4/6,0,37.0,2017/4/5,120.0,136.0
sell,2017/4/10,0,49.0,2017/4/7,103.0,112.0
sell,2017/4/12,0,1,2017/4/11,115.0,145.0
sell,2017/4/14,0,60.0,2017/4/13,90.0,72.0
sell,2017/4/17,0,41.0,2017/4/14,104.0,131.0
sell,2017/4/20,0,55.0,2017/4/19,97.0,116.0
sell,2017/4/26,0,89.0,2017/4/25,71.0,113.0
sell,2017/5/26,0,200,2017/5/25,32.0,46.0
sell,2017/6/1,0,200,2017/5/31,18.0,15.0
sell,2017/6/3,0,200,2017/6/2,16.0,16.5
sell,2017/6/6,0,200,2017/6/5,16.0,16.5
sell,2017/6/12,0,117.0,2017/6/9,99.0,152.0
sell,2017/6/13,0,118.0,2017/6/12,149.0,136.0
