date,roi
2017/1/3,1.0
2017/1/4,1.0
2017/1/5,1.0
2017/1/6,1.0
2017/1/9,1.0
2017/1/10,1.0
2017/1/11,1.0
2017/1/12,0.99525
2017/1/13,1.0855
2017/1/16,1.0825
2017/1/17,1.1275
2017/1/18,1.1275
2017/1/19,1.1275
2017/1/20,1.1275
2017/1/23,1.12325
2017/1/24,1.527
2017/2/2,1.523
2017/2/3,1.599
2017/2/6,1.599
2017/2/7,1.599
2017/2/8,1.599
2017/2/9,1.599
2017/2/10,1.599
2017/2/13,1.599
2017/2/14,1.599
2017/2/15,1.599
2017/2/16,1.599
2017/2/17,1.599
2017/2/18,1.599
2017/2/20,1.599
2017/2/21,1.599
2017/2/22,1.599
2017/2/23,1.599
2017/2/24,1.599
2017/3/1,1.59525
2017/3/2,1.7745
2017/3/3,2.329
2017/3/6,1.9594
2017/3/7,1.9509
2017/3/8,2.1889
2017/3/9,1.84235
2017/3/10,2.52685
2017/3/13,2.5182
2017/3/14,2.5182
2017/3/15,2.5182
2017/3/16,2.50445
2017/3/17,3.3707
2017/3/20,3.3707
2017/3/21,3.3707
2017/3/22,3.3707
2017/3/23,3.3707
2017/3/24,3.3707
2017/3/27,3.3707
2017/3/28,3.3707
2017/3/29,3.3707
2017/3/30,3.3707
2017/3/31,3.34795
2017/4/5,2.75175
2017/4/6,3.0385
2017/4/7,3.02625
2017/4/10,3.2345
2017/4/11,3.23425
2017/4/12,3.249
2017/4/13,3.234
2017/4/14,2.66875
2017/4/17,3.212
2017/4/18,3.212
2017/4/19,3.19825
2017/4/20,3.707
2017/4/21,3.707
2017/4/24,3.707
2017/4/25,3.68475
2017/4/26,5.5315
2017/4/27,5.5315
2017/4/28,5.5315
2017/5/2,5.5315
2017/5/3,5.5315
2017/5/4,5.5315
2017/5/5,5.5315
2017/5/8,5.5315
2017/5/9,5.5315
2017/5/10,5.5315
2017/5/11,5.5315
2017/5/12,5.5315
2017/5/15,5.5315
2017/5/16,5.5315
2017/5/17,5.5315
2017/5/18,5.5315
2017/5/19,5.5315
2017/5/22,5.5315
2017/5/23,5.5315
2017/5/24,5.5315
2017/5/25,5.4815
2017/5/26,6.8315
2017/5/31,6.7815
2017/6/1,6.4315
2017/6/2,6.3815
2017/6/3,6.3815
2017/6/5,6.3315
2017/6/6,6.3315
2017/6/7,6.3315
2017/6/8,6.3315
2017/6/9,6.30225
2017/6/12,9.344
2017/6/13,8.5475
