buy_or_sell,day,strike_price,number,id,PutorCall,buyprice,output_money,money_canbuy
buy,2012/1/3,7100,1,0,call,143.0,50000,42825.0
buy,2012/1/5,7200,1,0,call,115.0,50000,45175.0
buy,2012/1/17,7300,1,0,call,10.0,50000,50325.0
buy,2012/1/18,7100,1,0,put,3.0,50000,50500.0
buy,2012/2/3,7700,1,0,call,73.0,50000,46912.5
buy,2012/2/4,7800,1,0,call,60.0,50000,49462.5
buy,2012/2/6,7800,1,0,call,57.0,50000,48812.5
buy,2012/2/9,8000,17.0,0,call,28.0,50000,26700.0
buy,2012/2/10,8000,1,0,call,39.0,50000,42150.0
buy,2012/2/13,7800,1,0,put,29.0,50000,42112.5
buy,2012/2/14,8000,1,0,call,14.5,50000,42425.0
buy,2012/2/15,8000,1,0,call,5.0,50000,42668.75
buy,2012/3/2,8100,1,0,put,104.0,50000,37606.25
buy,2012/3/5,8000,1,0,put,88.0,50000,38956.25
buy,2012/3/6,7900,1,0,put,76.0,50000,43026.25
buy,2012/3/7,8000,1,0,call,60.0,50000,46816.25
buy,2012/3/8,7800,7.0,0,put,70.0,50000,27516.25
buy,2012/3/9,7900,1,0,put,71.0,50000,42141.25
buy,2012/3/12,8100,1,0,call,49.5,50000,43866.25
buy,2012/3/13,7900,6.0,0,put,65.0,50000,26047.5
buy,2012/3/14,8300,1,0,call,20.0,50000,39497.5
buy,2012/3/16,8000,1,0,put,26.0,50000,39947.5
buy,2012/3/19,8000,1,0,put,24.0,50000,41037.5
buy,2012/3/21,8100,1,0,call,2.0,50000,43047.5
buy,2012/4/2,8000,5.0,0,call,73.0,50000,24722.5
buy,2012/4/3,7800,1,0,put,86.0,50000,33960.0
buy,2012/4/5,7800,1,0,call,51.0,50000,39100.0
buy,2012/4/6,7700,5.0,0,call,76.0,50000,21862.5
buy,2012/4/9,7700,1,0,call,49.0,50000,33512.5
buy,2012/4/10,7700,1,0,call,52.0,50000,32700.0
buy,2012/4/11,7600,8.0,0,call,40.0,50000,18425.0
buy,2012/4/12,7700,1,0,call,39.0,50000,45050.0
buy,2012/4/13,7800,1,0,call,24.5,50000,45237.5
buy,2012/4/17,7800,1,0,call,12.0,50000,45506.25
buy,2012/4/18,7800,1,0,call,1.0,50000,45856.25
buy,2012/5/2,7600,8.0,0,call,51.0,50000,25268.75
buy,2012/5/8,7600,1,0,call,47.0,50000,59413.75
buy,2012/5/9,7600,1,0,call,23.5,50000,59951.25
buy,2012/5/10,7500,1,0,call,43.0,50000,58632.5
buy,2012/5/11,7600,1,0,call,15.0,50000,59445.0
buy,2012/5/14,7300,21.0,0,put,27.0,50000,31107.5
buy,2012/5/15,7400,49.0,0,call,10.0,50000,26120.0
buy,2012/5/16,7300,1,0,put,7.6,50000,68590.0
buy,2012/6/1,7100,6.0,0,put,106.0,50000,37299.0
buy,2012/6/4,7000,8.0,0,call,115.0,50000,48189.0
buy,2012/6/5,6800,9.0,0,put,110.0,50000,53064.0
buy,2012/6/6,7100,9.0,0,call,90.0,50000,49239.0
buy,2012/6/7,7000,1,0,put,91.0,50000,117339.0
buy,2012/6/8,7100,1,0,call,91.0,50000,120489.0
buy,2012/6/11,7200,19.0,0,call,63.0,50000,63551.5
buy,2012/6/13,6900,1,0,put,50.0,50000,105439.0
buy,2012/6/18,7400,50.0,0,call,21.0,50000,54214.0
buy,2012/6/20,7200,1,0,put,3.0,50000,92164.0
buy,2012/7/12,7300,1,0,call,18.0,50000,91326.5
buy,2012/7/13,7000,1,0,put,25.0,50000,90701.5
buy,2012/7/16,7000,1,0,put,14.0,50000,90889.0
buy,2012/7/17,6900,200,0,put,2.4,50000,63124.0
buy,2012/8/8,7400,1,0,call,26.0,50000,99999.0
buy,2012/8/10,7600,1,0,call,10.0,50000,100424.0
buy,2012/9/3,7500,18.0,0,call,55.0,50000,50824.0
buy,2012/9/6,7200,1,0,put,45.5,50000,113774.0
buy,2012/9/7,7600,37.0,0,call,30.0,50000,59030.25
buy,2012/9/18,7800,115.0,0,call,8.1,50000,50280.25
buy,2012/10/2,7800,1,0,call,52.0,50000,128615.25
buy,2012/10/4,7800,1,0,call,48.0,50000,128340.25
buy,2012/10/9,7500,51.0,0,put,25.0,50000,65090.25
buy,2012/10/11,7400,1,0,put,23.0,50000,110452.75
buy,2012/10/12,7300,1,0,put,12.0,50000,111872.75
buy,2012/10/16,7600,1,0,call,2.1,50000,112167.75
buy,2012/10/17,7600,1,0,call,1.8,50000,112106.5
buy,2012/11/1,7200,16.0,0,call,66.0,50000,58949.0
buy,2012/11/2,7300,1,0,call,65.0,50000,94874.0
buy,2012/11/5,7300,1,0,call,52.0,50000,94661.5
buy,2012/11/6,7100,1,0,put,70.0,50000,95011.5
buy,2012/11/7,7300,1,0,call,72.0,50000,93986.5
buy,2012/11/9,7000,1,0,put,40.0,50000,94636.5
buy,2012/11/13,7300,1,0,call,43.5,50000,93911.5
buy,2012/11/14,7000,1,0,put,37.5,50000,93617.75
buy,2012/11/15,7200,46.0,0,call,20.0,50000,47849.0
buy,2012/11/16,7000,1,0,put,20.0,50000,128474.0
buy,2012/11/19,7200,52.0,0,call,24.0,50000,65499.0
buy,2012/11/20,7300,1,0,call,3.3,50000,110809.0
buy,2012/11/21,7300,1,0,call,0.4,50000,110862.75
buy,2012/12/19,7800,1,0,call,1.0,50000,110777.75
