date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2012/1/2,201202,TXO,6700,put,145,176,136,170,1618
2012/1/2,201202,TXO,6800,call,391,393,334,334,615
2012/1/2,201202,TXO,6800,put,170,211,162,206,1755
2012/1/2,201202,TXO,6900,call,321,335,280,280,800
2012/1/2,201202,TXO,6900,put,206,252,200,246,1236
2012/1/2,201202,TXO,7000,call,261,274,223,228,989
2012/1/2,201202,TXO,7000,put,257,299,239,295,1070
2012/1/2,201202,TXO,7100,call,230,230,180,180,2244
2012/1/2,201202,TXO,7100,put,285,339,285,334,1084
2012/1/2,201202,TXO,7200,call,176,176,140,144,2736
2012/1/2,201202,TXO,7200,put,359,415,341,405,1644
2012/1/2,201202,TXO,7300,call,130,139,106,111,2028
2012/1/2,201202,TXO,7300,put,404,480,401,475,209
2012/1/2,201202,TXO,7400,call,101,109,80,84,1782
2012/1/2,201202,TXO,7400,put,485,535,478,520,48
2012/1/2,201202,TXO,7500,call,89,89,58,63,3967
2012/1/2,201202,TXO,7500,put,545,585,545,585,9
2012/1/2,201202,TXO,7600,call,66,66,44.5,45,3299
2012/1/2,201202,TXO,7600,put,645,645,640,640,9
2012/1/2,201202,TXO,7700,call,42,45,30,32.5,3717
2012/1/2,201202,TXO,7700,put,0,0,0,0,0
2012/1/2,201202,TXO,7800,call,32,33,22,23.5,1584
2012/1/2,201202,TXO,7800,put,0,0,0,0,0
2012/1/2,201202,TXO,7900,call,22,24,14.5,14.5,4979
2012/1/2,201202,TXO,7900,put,0,0,0,0,0
2012/1/2,201202,TXO,8000,call,16,16,10.5,10.5,1850
2012/1/2,201202,TXO,8000,put,0,0,0,0,3
2012/1/2,201202,TXO,8100,call,11,11,7.3,7.6,1612
2012/1/2,201202,TXO,8100,put,0,0,0,0,0
2012/1/2,201202,TXO,8200,call,6.9,6.9,4.8,4.8,644
2012/1/2,201202,TXO,8200,put,0,0,0,0,0
2012/1/2,201202,TXO,8300,call,4.5,4.7,3.3,3.3,438
2012/1/2,201202,TXO,8300,put,0,0,0,0,0
2012/1/2,201202,TXO,8400,call,3,3,2.3,2.3,703
2012/1/2,201202,TXO,8400,put,0,0,0,0,10
2012/1/2,201202,TXO,8500,call,3.5,3.5,1.6,1.6,952
2012/1/2,201202,TXO,8500,put,0,0,0,0,1
2012/1/2,201203,TXO,5200,call,0,0,0,0,0
2012/1/2,201203,TXO,5200,put,16,25,16,22.5,454
2012/1/2,201203,TXO,5300,call,0,0,0,0,0
2012/1/2,201203,TXO,5300,put,24.5,26,24.5,26,43
2012/1/2,201203,TXO,5400,call,0,0,0,0,121
2012/1/2,201203,TXO,5400,put,25,35.5,25,34,1640
2012/1/2,201203,TXO,5500,call,0,0,0,0,0
2012/1/2,201203,TXO,5500,put,38.5,39,38.5,39,14
2012/1/2,201203,TXO,5600,call,0,0,0,0,20
2012/1/2,201203,TXO,5600,put,39,45,39,43.5,801
2012/1/2,201203,TXO,5700,call,0,0,0,0,0
2012/1/2,201203,TXO,5700,put,48,52,48,51,43
2012/1/2,201203,TXO,5800,call,0,0,0,0,0
2012/1/2,201203,TXO,5800,put,51,67,51,67,2502
2012/1/2,201203,TXO,5900,call,0,0,0,0,1
2012/1/2,201203,TXO,5900,put,59,74,59,74,195
2012/1/2,201203,TXO,6000,call,0,0,0,0,0
2012/1/2,201203,TXO,6000,put,70,89,65,85,1194
2012/1/2,201203,TXO,6100,call,0,0,0,0,0
2012/1/2,201203,TXO,6100,put,81,100,81,95,279
2012/1/2,201203,TXO,6200,call,0,0,0,0,0
2012/1/2,201203,TXO,6200,put,96,118,96,112,2479
2012/1/2,201203,TXO,6300,call,0,0,0,0,0
2012/1/2,201203,TXO,6300,put,51,134,51,134,654
2012/1/2,201203,TXO,6400,call,0,0,0,0,7
2012/1/2,201203,TXO,6400,put,146,160,146,160,1827
2012/1/2,201203,TXO,6500,call,0,0,0,0,0
2012/1/2,201203,TXO,6500,put,166,190,166,188,365
2012/1/2,201203,TXO,6600,call,0,0,0,0,1970
2012/1/2,201203,TXO,6600,put,190,218,190,208,3749
2012/1/2,201203,TXO,6700,call,0,0,0,0,0
2012/1/2,201203,TXO,6700,put,241,241,231,231,171
2012/1/2,201203,TXO,6800,call,0,0,0,0,3259
2012/1/2,201203,TXO,6800,put,242,274,242,273,2338
2012/1/2,201203,TXO,6900,call,363,363,361,362,215
2012/1/2,201203,TXO,6900,put,320,320,320,320,127
2012/1/2,201203,TXO,7000,call,337,337,295,296,2225
2012/1/2,201203,TXO,7000,put,330,380,330,380,3365
2012/1/2,201203,TXO,7100,call,270,270,254,254,148
2012/1/2,201203,TXO,7100,put,0,0,0,0,16
2012/1/2,201203,TXO,7200,call,236,243,213,214,1225
2012/1/2,201203,TXO,7200,put,465,470,465,470,2093
2012/1/2,201203,TXO,7300,call,200,200,188,188,26
2012/1/2,201203,TXO,7300,put,0,0,0,0,0
2012/1/2,201203,TXO,7400,call,166,166,140,140,894
2012/1/2,201203,TXO,7400,put,0,0,0,0,1152
2012/1/2,201203,TXO,7500,call,130,130,110,110,216
2012/1/2,201203,TXO,7500,put,0,0,0,0,0
2012/1/2,201203,TXO,7600,call,104,104,90,90,1456
2012/1/2,201203,TXO,7600,put,0,0,0,0,507
2012/1/2,201203,TXO,7700,call,74,80,67,67,286
2012/1/2,201203,TXO,7700,put,0,0,0,0,0
2012/1/2,201203,TXO,7800,call,65,65,53,57,909
2012/1/2,201203,TXO,7800,put,0,0,0,0,450
2012/1/2,201203,TXO,7900,call,51,51,51,51,45
2012/1/2,201203,TXO,7900,put,0,0,0,0,0
2012/1/2,201203,TXO,8000,call,39,39,31,33,798
2012/1/2,201203,TXO,8000,put,0,0,0,0,117
2012/1/2,201203,TXO,8100,call,0,0,0,0,33
2012/1/2,201203,TXO,8100,put,0,0,0,0,0
2012/1/2,201203,TXO,8200,call,21,22,19,21,1828
2012/1/2,201203,TXO,8200,put,0,0,0,0,100
2012/1/2,201203,TXO,8300,call,13,13,13,13,34
2012/1/2,201203,TXO,8300,put,0,0,0,0,0
2012/1/2,201203,TXO,8400,call,8.1,12,8.1,11,1234
2012/1/2,201203,TXO,8400,put,0,0,0,0,128
2012/1/2,201203,TXO,8500,call,10,10,9.6,9.6,33
2012/1/2,201203,TXO,8500,put,0,0,0,0,0
2012/1/2,201203,TXO,8600,call,0,0,0,0,1601
2012/1/2,201203,TXO,8600,put,0,0,0,0,68
2012/1/2,201203,TXO,8700,call,0,0,0,0,2
2012/1/2,201203,TXO,8700,put,0,0,0,0,0
2012/1/2,201203,TXO,8800,call,3.1,3.1,3,3,1131
2012/1/2,201203,TXO,8800,put,0,0,0,0,28
2012/1/2,201203,TXO,8900,call,0,0,0,0,0
2012/1/2,201203,TXO,8900,put,0,0,0,0,0
2012/1/2,201203,TXO,9000,call,4,4,4,4,1197
2012/1/2,201203,TXO,9000,put,0,0,0,0,34
2012/1/2,201203,TXO,9100,call,0,0,0,0,0
2012/1/2,201203,TXO,9100,put,0,0,0,0,0
2012/1/2,201203,TXO,9200,call,2.5,2.5,1,1.5,1255
2012/1/2,201203,TXO,9200,put,0,0,0,0,5
2012/1/2,201203,TXO,9300,call,0,0,0,0,0
2012/1/2,201203,TXO,9300,put,0,0,0,0,0
2012/1/2,201203,TXO,9400,call,0,0,0,0,824
2012/1/2,201203,TXO,9400,put,0,0,0,0,1
2012/1/2,201203,TXO,9500,call,0,0,0,0,0
2012/1/2,201203,TXO,9500,put,0,0,0,0,0
2012/1/2,201203,TXO,9600,call,0,0,0,0,996
2012/1/2,201203,TXO,9600,put,0,0,0,0,50
2012/1/2,201203,TXO,9700,call,0,0,0,0,0
2012/1/2,201203,TXO,9700,put,0,0,0,0,0
2012/1/2,201203,TXO,9800,call,0,0,0,0,695
2012/1/2,201203,TXO,9800,put,0,0,0,0,0
2012/1/2,201203,TXO,9900,call,0,0,0,0,0
2012/1/2,201203,TXO,9900,put,0,0,0,0,0
2012/1/2,201203,TXO,10000,call,0,0,0,0,6223
2012/1/2,201203,TXO,10000,put,0,0,0,0,120
2012/1/2,201203,TXO,10200,call,0,0,0,0,0
2012/1/2,201203,TXO,10200,put,0,0,0,0,0
2012/1/2,201203,TXO,10400,call,0,0,0,0,1135
2012/1/2,201203,TXO,10400,put,0,0,0,0,545
2012/1/2,201203,TXO,10600,call,0,0,0,0,0
2012/1/2,201203,TXO,10600,put,0,0,0,0,0
2012/1/2,201203,TXO,10800,call,0,0,0,0,3214
2012/1/2,201203,TXO,10800,put,3880,3880,3880,3880,7098
2012/1/2,201206,TXO,5200,call,0,0,0,0,0
2012/1/2,201206,TXO,5200,put,65,77,64,77,679
2012/1/2,201206,TXO,5400,call,0,0,0,0,0
2012/1/2,201206,TXO,5400,put,96,105,93,105,2837
2012/1/2,201206,TXO,5600,call,0,0,0,0,1
2012/1/2,201206,TXO,5600,put,0,0,0,0,1096
2012/1/2,201206,TXO,5800,call,0,0,0,0,0
2012/1/2,201206,TXO,5800,put,150,155,150,155,529
2012/1/2,201206,TXO,6000,call,0,0,0,0,0
2012/1/2,201206,TXO,6000,put,188,190,188,190,727
2012/1/2,201206,TXO,6200,call,0,0,0,0,0
2012/1/2,201206,TXO,6200,put,230,240,230,240,629
2012/1/2,201206,TXO,6400,call,0,0,0,0,0
2012/1/2,201206,TXO,6400,put,294,294,294,294,390
2012/1/2,201206,TXO,6600,call,0,0,0,0,39
2012/1/2,201206,TXO,6600,put,351,351,350,350,202
2012/1/2,201206,TXO,6800,call,550,550,550,550,48
2012/1/2,201206,TXO,6800,put,407,425,407,425,280
2012/1/2,201206,TXO,7000,call,453,453,453,453,799
2012/1/2,201206,TXO,7000,put,480,525,476,520,320
2012/1/2,201206,TXO,7200,call,350,355,345,350,128
2012/1/2,201206,TXO,7200,put,0,0,0,0,58
2012/1/2,201206,TXO,7400,call,291,291,263,264,512
2012/1/2,201206,TXO,7400,put,0,0,0,0,132
2012/1/2,201206,TXO,7600,call,210,210,196,205,562
2012/1/2,201206,TXO,7600,put,0,0,0,0,10
2012/1/2,201206,TXO,7800,call,159,160,142,143,677
2012/1/2,201206,TXO,7800,put,0,0,0,0,0
2012/1/2,201206,TXO,8000,call,111,117,105,105,430
2012/1/2,201206,TXO,8000,put,0,0,0,0,0
2012/1/2,201206,TXO,8200,call,75,77,75,77,743
2012/1/2,201206,TXO,8200,put,0,0,0,0,0
2012/1/2,201206,TXO,8400,call,57,58,52,52,776
2012/1/2,201206,TXO,8400,put,0,0,0,0,0
2012/1/2,201206,TXO,8600,call,39.5,39.5,37.5,37.5,477
2012/1/2,201206,TXO,8600,put,0,0,0,0,0
2012/1/2,201206,TXO,8800,call,29.5,29.5,25,25,352
2012/1/2,201206,TXO,8800,put,0,0,0,0,0
2012/1/2,201206,TXO,9000,call,18,19,17,18,626
2012/1/2,201206,TXO,9000,put,0,0,0,0,0
2012/1/2,201206,TXO,9200,call,12,13,11,12,1120
2012/1/2,201206,TXO,9200,put,0,0,0,0,0
2012/1/2,201209,TXO,5400,call,0,0,0,0,0
2012/1/2,201209,TXO,5400,put,170,203,170,201,1376
2012/1/2,201209,TXO,5600,call,0,0,0,0,2
2012/1/2,201209,TXO,5600,put,217,241,217,241,148
2012/1/2,201209,TXO,5800,call,0,0,0,0,7
2012/1/2,201209,TXO,5800,put,279,285,279,285,64
2012/1/2,201209,TXO,6000,call,0,0,0,0,25
2012/1/2,201209,TXO,6000,put,339,345,337,344,55
2012/1/2,201209,TXO,6200,call,0,0,0,0,3
2012/1/2,201209,TXO,6200,put,0,0,0,0,7
2012/1/2,201209,TXO,6400,call,0,0,0,0,3
2012/1/2,201209,TXO,6400,put,485,485,485,485,158
2012/1/2,201209,TXO,6600,call,615,615,570,570,117
2012/1/2,201209,TXO,6600,put,540,570,540,565,247
2012/1/2,201209,TXO,6800,call,505,505,474,474,216
2012/1/2,201209,TXO,6800,put,0,0,0,0,6
2012/1/2,201209,TXO,7000,call,0,0,0,0,275
2012/1/2,201209,TXO,7000,put,0,0,0,0,23
2012/1/2,201209,TXO,7200,call,322,322,322,322,139
2012/1/2,201209,TXO,7200,put,880,925,880,925,8
2012/1/2,201209,TXO,7400,call,256,256,256,256,87
2012/1/2,201209,TXO,7400,put,1000,1000,1000,1000,17
2012/1/2,201209,TXO,7600,call,191,191,191,191,43
2012/1/2,201209,TXO,7600,put,0,0,0,0,4
2012/1/2,201209,TXO,7800,call,154,154,154,154,15
2012/1/2,201209,TXO,7800,put,0,0,0,0,0
2012/1/2,201209,TXO,8000,call,121,121,111,111,253
