buy_or_sell,sellday,id,number,buyday,buyprice,sellprice
sell,2012/1/4,0,1,2012/1/3,143.0,163.0
sell,2012/1/6,0,1,2012/1/5,115.0,114.0
sell,2012/1/17,0,1,2012/1/17,10.0,7.5
sell,2012/1/18,0,1,2012/1/18,3.0,2.25
sell,2012/2/4,0,1,2012/2/3,73.0,112.0
sell,2012/2/6,0,1,2012/2/4,60.0,45.0
sell,2012/2/6,0,1,2012/2/6,57.0,42.75
sell,2012/2/9,0,17.0,2012/2/9,28.0,21.0
sell,2012/2/10,0,1,2012/2/10,39.0,29.25
sell,2012/2/13,0,1,2012/2/13,29.0,21.75
sell,2012/2/14,0,1,2012/2/14,14.5,10.875
sell,2012/2/15,0,1,2012/2/15,5.0,3.75
sell,2012/3/3,0,1,2012/3/2,104.0,116.0
sell,2012/3/6,0,1,2012/3/5,88.0,158.4
sell,2012/3/6,0,1,2012/3/6,76.0,136.8
sell,2012/3/8,0,1,2012/3/7,60.0,108.0
sell,2012/3/8,0,7.0,2012/3/8,70.0,52.5
sell,2012/3/12,0,1,2012/3/9,71.0,85.0
sell,2012/3/12,0,1,2012/3/12,49.5,37.125
sell,2012/3/13,0,6.0,2012/3/13,65.0,48.75
sell,2012/3/14,0,1,2012/3/14,20.0,36.0
sell,2012/3/19,0,1,2012/3/16,26.0,46.8
sell,2012/3/19,0,1,2012/3/19,24.0,43.2
sell,2012/3/21,0,1,2012/3/21,2.0,1.5
sell,2012/4/2,0,5.0,2012/4/2,73.0,54.75
sell,2012/4/5,0,1,2012/4/3,86.0,154.8
sell,2012/4/5,0,1,2012/4/5,51.0,38.25
sell,2012/4/9,0,5.0,2012/4/6,76.0,57.0
sell,2012/4/9,0,1,2012/4/9,49.0,36.75
sell,2012/4/10,0,1,2012/4/10,52.0,39.0
sell,2012/4/11,0,8.0,2012/4/11,40.0,72.0
sell,2012/4/12,0,1,2012/4/12,39.0,29.25
sell,2012/4/16,0,1,2012/4/13,24.5,18.375
sell,2012/4/17,0,1,2012/4/17,12.0,9.0
sell,2012/4/18,0,1,2012/4/18,1.0,0.75
sell,2012/5/2,0,8.0,2012/5/2,51.0,91.8
sell,2012/5/8,0,1,2012/5/8,47.0,35.25
sell,2012/5/9,0,1,2012/5/9,23.5,17.625
sell,2012/5/11,0,1,2012/5/10,43.0,32.25
sell,2012/5/11,0,1,2012/5/11,15.0,11.25
sell,2012/5/14,0,21.0,2012/5/14,27.0,20.25
sell,2012/5/15,0,49.0,2012/5/15,10.0,18.0
sell,2012/5/16,0,1,2012/5/16,7.6,13.68
sell,2012/6/4,0,6.0,2012/6/1,106.0,190.8
sell,2012/6/5,0,8.0,2012/6/4,115.0,137.0
sell,2012/6/5,0,9.0,2012/6/5,110.0,82.5
sell,2012/6/7,0,9.0,2012/6/6,90.0,162.0
sell,2012/6/8,0,1,2012/6/7,91.0,155.0
sell,2012/6/8,0,1,2012/6/8,91.0,68.25
sell,2012/6/12,0,19.0,2012/6/11,63.0,47.25
sell,2012/6/14,0,1,2012/6/13,50.0,51.0
sell,2012/6/18,0,50.0,2012/6/18,21.0,15.75
sell,2012/6/20,0,1,2012/6/20,3.0,2.25
sell,2012/7/12,0,1,2012/7/12,18.0,13.5
sell,2012/7/16,0,1,2012/7/13,25.0,18.75
sell,2012/7/16,0,1,2012/7/16,14.0,25.2
sell,2012/7/17,0,200,2012/7/17,2.4,4.32
sell,2012/8/8,0,1,2012/8/8,26.0,19.5
sell,2012/8/10,0,1,2012/8/10,10.0,7.5
sell,2012/9/4,0,18.0,2012/9/3,55.0,73.0
sell,2012/9/7,0,1,2012/9/6,45.5,34.125
sell,2012/9/7,0,37.0,2012/9/7,30.0,22.5
sell,2012/9/18,0,115.0,2012/9/18,8.1,14.58
sell,2012/10/3,0,1,2012/10/2,52.0,43.5
sell,2012/10/4,0,1,2012/10/4,48.0,36.0
sell,2012/10/9,0,51.0,2012/10/9,25.0,18.75
sell,2012/10/12,0,1,2012/10/11,23.0,41.4
sell,2012/10/12,0,1,2012/10/12,12.0,9.0
sell,2012/10/16,0,1,2012/10/16,2.1,1.575
sell,2012/10/17,0,1,2012/10/17,1.8,1.35
sell,2012/11/1,0,16.0,2012/11/1,66.0,49.5
sell,2012/11/5,0,1,2012/11/2,65.0,48.75
sell,2012/11/6,0,1,2012/11/5,52.0,78.0
sell,2012/11/6,0,1,2012/11/6,70.0,52.5
sell,2012/11/7,0,1,2012/11/7,72.0,54.0
sell,2012/11/9,0,1,2012/11/9,40.0,30.0
sell,2012/11/13,0,1,2012/11/13,43.5,32.625
sell,2012/11/14,0,1,2012/11/14,37.5,28.125
sell,2012/11/15,0,46.0,2012/11/15,20.0,36.0
sell,2012/11/16,0,1,2012/11/16,20.0,15.0
sell,2012/11/19,0,52.0,2012/11/19,24.0,18.0
sell,2012/11/20,0,1,2012/11/20,3.3,2.475
sell,2012/11/21,0,1,2012/11/21,0.4,0.3
sell,2012/12/19,0,1,2012/12/19,1.0,0.75
