date,callorput,open,high,close,buyprice,sellprice,profit,totalprofit,roi,outputmoney,walletmoney,number
2010/1/18,put,8300.0,7774.0,7764.0,8300.0,7764.0,107000.0,107000.0,1.28915662651,-83000,136500.0,1.0
2010/1/19,put,8370.0,7792.0,7769.0,8370.0,7769.0,120000.0,227000.0,2.73493975904,-83000,196500.0,1.0
2010/1/20,put,8306.0,7808.0,7758.0,8306.0,7758.0,218800.0,445800.0,5.37108433735,-83000,305900.0,2.0
2010/1/21,put,8185.0,7788.0,7752.0,8185.0,7752.0,259200.0,705000.0,8.49397590361,-83000,435500.0,3.0
2010/1/22,put,8019.0,7758.0,7655.0,8019.0,7655.0,363000.0,1068000.0,12.8674698795,-83000,617000.0,5.0
2010/1/25,put,7822.0,7707.0,7704.0,7822.0,7704.0,163800.0,1231800.0,14.8409638554,-83000,698900.0,7.0
2010/1/26,put,7832.0,7844.0,7842.0,7832.0,7842.0,-17600.0,1214200.0,14.6289156627,-83000,681300.0,8.0
2010/1/27,put,7574.0,7922.0,7849.0,7574.0,7829.0,-408000.0,806200.0,9.71325301205,-83000,273300.0,8.0
2010/1/28,put,7579.0,7884.0,7867.0,7579.0,7834.0,-153000.0,653200.0,7.86987951807,-83000,120300.0,3.0
2010/1/29,put,7552.0,7840.0,7803.0,7552.0,7807.0,-51000.0,602200.0,7.25542168675,-83000,69300.0,1.0
2010/2/1,put,7569.0,7863.0,7805.0,7569.0,7824.0,-51000.0,551200.0,5.70010341262,-96700.0,32000.0,1.0
2010/2/2,put,7580.0,7876.0,7814.0,7580.0,7835.0,-51000.0,500200.0,3.38659444821,-147700.0,32000.0,1.0
2010/2/3,put,7456.0,7858.0,7809.0,7456.0,7711.0,-51000.0,449200.0,2.26069451434,-198700.0,32000.0,1.0
2010/2/4,put,7503.0,7917.0,7883.0,7503.0,7758.0,-51000.0,398200.0,1.59471365639,-249700.0,32000.0,1.0
2010/2/5,put,7300.0,7966.0,7956.0,7300.0,7555.0,-51000.0,347200.0,1.15463917526,-300700.0,32000.0,1.0
2010/2/6,put,7229.0,7991.0,7959.0,7229.0,7484.0,-51000.0,296200.0,0.842195052602,-351700.0,32000.0,1.0
2010/2/8,put,7155.0,7970.0,7908.0,7155.0,7410.0,-51000.0,245200.0,0.60888999255,-402700.0,32000.0,1.0
2010/2/9,put,7171.0,8041.0,8024.0,7171.0,7426.0,-51000.0,194200.0,0.428036147234,-453700.0,32000.0,1.0
2010/2/10,put,7350.0,8047.0,8037.0,7350.0,7605.0,-51000.0,143200.0,0.28373291064,-504700.0,32000.0,1.0
2010/2/22,put,7708.0,8142.0,8095.0,7708.0,7963.0,-51000.0,92200.0,0.165916861616,-555700.0,32000.0,1.0
2010/2/23,put,7534.0,8140.0,8124.0,7534.0,7789.0,-51000.0,41200.0,0.0679083566837,-606700.0,32000.0,1.0
