date,callorput,dateline,strike_price,buyprice,big_open,sellprice,big_close,big_hight,big_low,total_profit,outputmoney,roi
2014/1/10,put,201402,8600,170,8559.18,152,8529.35,8559.18,8521.5,-18,-170,-0.1058823529
2014/1/13,call,201402,8600,90,8587.49,93,8566.2,8607.23,8558.96,2748,-83018,0.0331012551
2014/1/15,call,201402,8600,90,8567.81,114,8602.55,8619.56,8567.81,25596,-83018,0.3083186779
2014/1/16,call,201402,8700,80,8653.54,63,8612.11,8668.95,8610.24,2527,-83018,0.0304391819
2014/1/20,put,201402,8600,106,8595.59,80,8621.56,8636.21,8584.5,-18455,-83018,-0.2223011877
2014/1/22,put,201402,8600,85,8598.98,75,8625.3,8633.57,8596.99,-26045,-83018,-0.3137271435
2014/1/23,put,201402,8600,72,8644.56,88,8595.1,8647.87,8595.1,-13389,-83018,-0.161278277
2014/1/24,put,201402,8600,103,8581.49,76,8598.31,8608.64,8577.14,-31641,-83018,-0.3811342119
2014/1/27,put,201402,8500,80,8519.48,126,8462.57,8519.48,8442.19,-2109,-83018,-0.0254041292
2014/2/5,put,201403,8300,180,8290.17,194,8264.48,8313.83,8230.46,4177,-83018,0.0503143897
2014/2/6,put,201403,8300,160,8286.16,171,8311.01,8333.56,8284.77,10161,-83018,0.1223951432
2014/2/7,put,201403,8400,208,8383.99,172,8387.35,8409.03,8356.93,-5931,-83018,-0.0714423378
2014/2/10,put,201403,8400,148,8416.42,160,8391.95,8447.02,8391.95,309,-83018,0.0037220844
2014/2/11,call,201403,8400,92,8413.86,110,8430.56,8439.33,8401.54,16599,-83018,0.1999445903
2014/2/12,call,201403,8500,78,8471.51,93,8510.87,8510.87,8471.51,35754,-83018,0.4306776844
2014/2/13,call,201403,8500,90,8506.22,72,8467.7,8511.02,8467.7,12012,-83018,0.1446915127
2014/2/14,put,201403,8500,138,8524.54,115,8513.68,8566.99,8508.24,-3812,-83018,-0.0459177528
2014/2/17,call,201403,8500,125,8537.83,113,8519.55,8558.5,8512.6,-11780,-86812,-0.135695526
2014/2/18,put,201403,8500,97,8530.81,82,8556.23,8556.23,8506.06,-23375,-86812,-0.2692600101
2014/2/21,put,201403,8600,131,8571.29,100,8601.86,8612.08,8571.29,-38379,-86812,-0.442093259
2014/2/25,put,201403,8600,95,8581.14,102,8575.62,8598.73,8564.51,-34816,-86812,-0.401050546
2014/2/26,put,201403,8600,110,8569.04,79,8600.86,8626.68,8563.87,-49448,-86812,-0.569598673
2014/3/4,put,201404,8600,160,8583.58,162,8554.54,8595.59,8554.54,-48982,-86812,-0.5642307515
2014/3/5,put,201404,8600,116,8622.19,121,8632.93,8652.22,8622.19,-47352,-86812,-0.5454545455
2014/3/6,put,201404,8700,171,8660.29,129,8713.79,8719.17,8660.29,-57012,-86812,-0.6567294844
2014/3/10,put,201404,8700,131,8706.43,137,8665.24,8712.88,8651.54,-55650,-86812,-0.6410404092
2014/3/11,put,201404,8700,125,8694.96,117,8702.33,8716.31,8684.63,-57642,-86812,-0.6639865456
2014/3/12,put,201404,8700,141,8671.4,146,8684.73,8684.73,8651.99,-56612,-86812,-0.6521218265
2014/3/13,put,201404,8700,122,8737.81,103,8747.79,8768.66,8732.15,-61305,-86812,-0.7061811731
2014/3/14,put,201404,8700,125,8697.73,130,8687.63,8709.56,8677.81,-60285,-86812,-0.6944316454
2014/3/17,put,201404,8700,129,8697.26,122,8700.1,8708.4,8662.49,-61720,-86812,-0.7109616182
2014/3/18,put,201404,8700,91,8747.38,100,8731.94,8759.55,8713.51,-59245,-86812,-0.6824517348
2014/3/19,put,201404,8700,95,8745.02,120,8689.46,8749.8,8682.75,-51995,-86812,-0.5989379348
2014/3/20,put,201404,8600,90,8638.59,121,8597.33,8638.59,8580.4,-40029,-86812,-0.4610998479
2014/3/21,put,201404,8600,107,8642.82,118,8577.17,8642.82,8562.57,-35222,-86812,-0.4057273188
2014/3/24,put,201404,8500,77,8540.27,60,8605.38,8605.38,8508.01,-46612,-86812,-0.5369303783
2014/3/25,put,201404,8600,110,8589.19,66,8689.3,8689.3,8589.19,-62672,-86812,-0.7219278441
2014/3/26,call,201404,8700,82,8741.03,88,8737.27,8746.71,8717.79,-56600,-145672,-0.3885441265
2014/3/27,call,201404,8700,88,8737.56,115,8779.57,8780.42,8723.82,-29276,-145672,-0.2009720468
2014/4/8,put,201405,8900,156,8878.88,142,8888.25,8899.12,8860.7,-39720,-145672,-0.2726673623
2014/4/9,put,201405,8900,133,8912.39,128,8930.57,8936.57,8912.39,-43700,-145672,-0.2999890164
2014/4/10,put,201405,9000,154,8964.34,175,8948.1,8978.52,8898.3,-29798,-145672,-0.2045554396
2014/4/11,put,201405,8900,152,8900.13,139,8908.05,8909.97,8848.24,-39704,-145672,-0.2725575265
2014/4/14,put,201405,8900,165,8897.23,146,8857.42,8899.51,8852.66,-51902,-145672,-0.3562935911
2014/4/15,put,201405,8900,129,8898.65,128,8916.71,8918.94,8889.44,-52628,-145672,-0.3612773903
2014/4/16,put,201405,8900,124,8921.07,129,8923.82,8968.56,8894.29,-48878,-145672,-0.3355346257
2014/4/17,put,201405,8900,123,8942.23,116,8944.16,8962.66,8921.56,-54380,-145672,-0.3733044099
2014/4/18,put,201405,9000,145,8994.77,152,8966.66,9002.7,8945.56,-49977,-145672,-0.3430789719
2014/4/22,put,201405,9000,147,8956.22,125,8974.71,8989.06,8955.19,-64277,-145672,-0.4412447142
2014/4/24,put,201405,9000,137,8968.82,124,8945.45,8971.94,8926.55,-71999,-145672,-0.4942542149
2014/4/25,put,201405,8900,85,8945.81,188,8774.12,8951.06,8749.51,17199,-145672,0.1180666154
2014/4/28,put,201405,8700,96,8680.14,50,8809.71,8825.93,8671.65,-60817,-145672,-0.4174927234
2014/4/29,put,201405,8800,84,8845.6,72,8872.11,8884.48,8833.37,-72937,-145672,-0.5006933385
2014/4/30,put,201405,8900,110,8885.7,181,8791.44,8890.09,8791.44,-26006,-145672,-0.1785243561
2014/5/2,put,201406,8800,180,8846.86,135,8867.32,8875.9,8839.92,-55886,-145672,-0.3836427042
2014/5/5,call,201406,8900,101,8895.87,88,8870.43,8911.08,8844.45,-67430,-145672,-0.4628892306
2014/5/6,put,201406,8900,172,8888.45,154,8912.39,8927.39,8853.72,-75602,-145672,-0.5189878631
2014/5/7,put,201406,8900,176,8903.72,178,8893.22,8911.03,8856.98,-74806,-145672,-0.5135235323
2014/5/8,put,201406,8900,170,8925.21,151,8930.9,8941.46,8891.74,-82710,-145672,-0.5677824153
2014/5/9,put,201406,8900,149,8943.14,172,8889.69,8945.63,8878.32,-73004,-145672,-0.5011532759
2014/5/12,put,201406,8900,170,8893.72,180,8808.61,8898.31,8803.43,-68734,-145672,-0.4718408479
2014/5/13,put,201406,8900,159,8865.61,166,8817.94,8886.66,8809.06,-65353,-145672,-0.4486311714
2014/5/14,put,201406,8800,100,8842.05,86,8875.16,8875.16,8812.19,-76595,-145672,-0.5258045472
2014/5/15,put,201406,8900,137,8852.92,128,8880.65,8880.65,8839.44,-81131,-145672,-0.5569429952
2014/5/16,put,201406,8900,148,8857.12,126,8888.45,8896.72,8816.92,-90723,-145672,-0.6227895546
2014/5/19,call,201406,8900,85,8901.54,88,8899.9,8912.35,8877.46,-87795,-173723,-0.5053734969
2014/5/20,put,201406,8900,123,8922.08,108,8887.79,8930.79,8887.79,-98265,-173723,-0.5656418551
2014/5/21,put,201406,8900,109,8894.16,126,8862.42,8905.04,8848.53,-86501,-173723,-0.4979248574
2014/5/22,put,201406,8900,109,8899.82,63,8969.63,8969.63,8899.82,-123301,-173723,-0.7097563362
2014/6/3,put,201407,9100,163,9106.61,163,9123.46,9128.34,9070.45,-123301,-173723,-0.7097563362
2014/6/4,put,201407,9100,159,9135.01,164,9119.96,9140.55,9114.18,-121716,-173723,-0.7006326163
2014/6/5,put,201407,9100,145,9127.56,152,9140.72,9140.72,9094.13,-119210,-173723,-0.6862073531
2014/6/6,put,201407,9200,210,9167.83,213,9134.46,9174.77,9122.56,-118433,-173723,-0.6817347156
2014/6/9,put,201407,9200,188,9153.93,190,9162.74,9166.58,9138.93,-117845,-173723,-0.678350017
2014/6/10,put,201407,9200,183,9181.9,162,9222.37,9222.37,9171.75,-124250,-173723,-0.7152190556
2014/6/11,put,201407,9200,158,9218.5,146,9229.8,9229.8,9204.76,-128006,-173723,-0.7368396816
2014/6/12,put,201407,9200,161,9209.99,150,9204.65,9220.89,9186.79,-131119,-173723,-0.7547590129
2014/6/13,put,201407,9200,162,9192.73,150,9196.39,9207.74,9171.51,-134263,-173723,-0.7728567893
2014/6/16,put,201407,9200,162,9196.23,134,9202.93,9214.19,9179.56,-141067,-173723,-0.8120225877
2014/6/17,put,201407,9200,133,9223.02,100,9240.6,9249.87,9200.86,-149152,-173723,-0.8585621938
2014/6/18,put,201407,9300,165,9257.65,156,9279.93,9316.64,9204.35,-150484,-173723,-0.8662295724
2014/6/19,put,201407,9300,148,9288.69,117,9316.81,9324.4,9283.38,-155351,-173723,-0.8942454367
2014/6/20,put,201407,9300,117,9330.35,149,9273.79,9339.83,9273.79,-150327,-173723,-0.8653258348
2014/6/23,put,201407,9300,150,9293.06,156,9228.35,9302.65,9225.73,-149397,-173723,-0.8599724849
2014/6/24,put,201407,9200,92,9232.35,84,9246.2,9276.24,9232.35,-151509,-173723,-0.8721297698
2014/6/25,put,201407,9300,164,9250.13,160,9242.16,9255.87,9229.8,-152049,-173723,-0.8752381665
2014/6/26,put,201407,9300,148,9273.36,100,9320.94,9320.94,9271.35,-159057,-173723,-0.9155782481
2014/6/27,put,201407,9300,101,9316.89,117,9306.83,9330.95,9303.57,-156737,-173723,-0.9022236549
2014/6/30,put,201407,9300,106,9332.44,60,9393.07,9393.07,9327.89,-164097,-173723,-0.9445899507
2014/7/1,put,201408,9400,240,9393.07,178,9441.92,9463.06,9374.28,-166577,-173723,-0.9588655503
2014/7/2,put,201408,9500,227,9482,254,9484.96,9547.05,9421.87,-165740,-173723,-0.9540475354
2014/7/3,put,201408,9500,268,9468.78,220,9526.23,9538.65,9449.78,-167132,-173723,-0.9620602914
2014/7/4,put,201408,9500,196,9525.93,219,9510.05,9550.11,9482.94,-166373,-173723,-0.9576912671
2014/7/7,put,201408,9500,233,9497.27,219,9520.2,9520.2,9454.67,-166807,-173723,-0.9601894971
2014/7/8,put,201408,9500,220,9515.18,195,9530.98,9540.57,9499.17,-167582,-173723,-0.964650622
2014/7/9,put,201408,9500,209,9510,199,9489.98,9522.99,9478.76,-167872,-173723,-0.9663199461
2014/7/10,put,201408,9500,200,9512.89,141,9565.12,9568.75,9512.89,-169583,-173723,-0.9761689586
2014/7/11,put,201408,9600,207,9561.71,249,9495.84,9591.27,9478.07,-168743,-173723,-0.9713336749
2014/7/14,put,201408,9500,180,9497.81,145,9520.3,9545.99,9488.12,-169688,-173723,-0.9767733691
2014/7/15,put,201408,9600,180,9558.42,187,9569.17,9593.68,9547.94,-169534,-173723,-0.9758869004
2014/7/16,put,201408,9600,198,9570.33,225,9484.73,9574.13,9471.65,-168967,-173723,-0.9726230839
2014/7/17,put,201408,9400,108,9420.11,131,9408.24,9461.86,9373.87,-167955,-173723,-0.9667977182
2014/7/18,put,201408,9300,128,9335.38,92,9400.97,9421.34,9335.38,-169575,-173723,-0.9761229083
2014/7/21,put,201408,9500,184,9453.78,181,9440.97,9480.14,9426.3,-169641,-173723,-0.9765028235
2014/7/22,put,201408,9500,172,9453.23,129,9499.36,9499.36,9418.74,-170630,-173723,-0.9821957945
2014/7/24,put,201408,9500,115,9508.26,107,9527.54,9538.07,9483.52,-170838,-173723,-0.9833931028
2014/7/25,put,201408,9500,108,9519.99,153,9439.29,9528.7,9412.48,-169668,-173723,-0.9766582433
2014/7/28,put,201408,9400,108,9415.9,96,9420.18,9460.43,9385.56,-170112,-173723,-0.9792140361
2014/7/29,put,201408,9500,129,9457.8,173,9391.88,9483.75,9357.32,-168924,-173723,-0.9723755634
2014/7/30,put,201408,9400,105,9409.62,76,9447.02,9456.03,9398.82,-170229,-173723,-0.9798875221
2014/7/31,put,201408,9400,69,9436.04,153,9315.85,9438.97,9313.87,-166029,-173723,-0.9557111033
2014/8/1,put,201409,9200,141,9223.75,133,9266.51,9274.64,9201.83,-166461,-173723,-0.9581978207
2014/8/4,call,201409,9300,113,9280.29,123,9330.19,9330.19,9258.18,-159121,-249461,-0.6378592245
2014/8/5,put,201409,9300,175,9316.82,292,9141.44,9316.82,9141.44,-98749,-249461,-0.3958494514
2014/8/6,put,201409,9100,180,9148.36,161,9143.97,9163.81,9070.09,-114652,-249461,-0.4595988952
2014/8/7,call,201409,9200,92,9162.65,79,9131.44,9172.88,9108.85,-133697,-249461,-0.5359434942
2014/8/8,call,201409,9100,100,9120.2,116,9085.96,9120.2,9014.89,-115185,-249461,-0.4617355017
2014/8/11,call,201409,9100,136,9109.83,140,9172.91,9184.96,9107.21,-111237,-249461,-0.4459093806
2014/8/12,call,201409,9200,98,9188.85,83,9163.12,9198.1,9146.98,-132387,-249461,-0.5306921723
2014/8/13,call,201409,9200,84,9155.02,109,9231.31,9231.66,9147.14,-97562,-249461,-0.3910911926
2014/8/14,call,201409,9300,79,9276.41,71,9230.61,9282.01,9218.55,-112938,-249461,-0.4527280817
2014/8/15,call,201409,9200,116,9243.67,105,9206.81,9243.67,9172.91,-125874,-249461,-0.5045838829
2014/8/18,call,201409,9200,106,9222.73,82,9141.31,9222.73,9128.66,-153834,-249461,-0.6166655309
2014/8/19,put,201409,9200,147,9188.63,103,9243.78,9255.09,9188.63,-182434,-249461,-0.7313127102
2014/8/20,put,201409,9300,140,9278.15,128,9288.05,9294.49,9249.31,-188170,-249461,-0.7543062843
2014/8/21,put,201409,9300,128,9286.82,143,9253.38,9289.02,9217.97,-181000,-249461,-0.7255643167
2014/8/22,put,201409,9300,136,9273.07,67,9380.1,9380.6,9271.87,-215707,-249461,-0.8646922765
2014/8/25,put,201409,9400,101,9393.24,104,9390.62,9409.35,9369.24,-214705,-249461,-0.8606756166
2014/8/26,put,201409,9400,106,9394.28,100,9393.96,9418.77,9386.49,-216667,-249461,-0.8685405735
2014/8/27,put,201409,9400,87,9426.29,59,9485.59,9491.75,9426.29,-227195,-249461,-0.9107435631
2014/8/28,put,201409,9500,93,9499.22,99,9478.37,9502.42,9453.49,-225761,-249461,-0.9049951696
2014/8/29,put,201409,9500,108,9459.81,98,9436.27,9470.15,9425.35,-227951,-249461,-0.913774097
2014/9/1,put,201410,9500,144,9474.41,122,9513.06,9532.66,9472.96,-231229,-249461,-0.9269144275
2014/9/2,put,201410,9500,127,9503.65,186,9399.72,9503.65,9388.13,-222792,-249461,-0.8930935096
2014/9/3,put,201410,9400,131,9434.88,116,9450.35,9455.78,9396.79,-225837,-249461,-0.9052998264
2014/9/4,put,201410,9400,127,9439.76,127,9428.89,9439.76,9389.29,-225837,-249461,-0.9052998264
2014/9/5,put,201410,9400,112,9446.45,134,9407.94,9451.39,9365.7,-221217,-249461,-0.8867798975
2014/9/9,put,201410,9500,152,9452.14,170,9434.77,9465.93,9426.99,-217887,-249461,-0.8734311175
2014/9/10,put,201410,9400,135,9410.62,164,9357.61,9410.62,9309.05,-211130,-249461,-0.8463447192
2014/9/11,put,201410,9400,146,9376.38,190,9322.95,9381.05,9322.95,-199602,-249461,-0.8001330869
2014/9/12,call,201410,9300,138,9324.74,101,9223.18,9333.28,9223.18,-221839,-282602,-0.7849873674
2014/9/15,call,201410,9200,133,9206.41,142,9217.46,9242.23,9175.61,-216223,-304839,-0.7093022874
2014/9/16,call,201410,9200,143,9218.85,107,9133.4,9219.42,9133.4,-238507,-304839,-0.7824031702
2014/9/17,call,201410,9200,127,9171.04,146,9195.17,9252.38,9159.85,-226100,-321507,-0.7032506291
2014/9/18,call,201410,9200,145,9211.8,137,9237.03,9237.88,9201.91,-231356,-321507,-0.7195986402
2014/9/19,call,201410,9300,110,9268.44,94,9240.45,9289.22,9235.44,-244460,-321507,-0.7603566952
2014/9/22,call,201410,9200,115,9220.54,74,9134.65,9220.54,9106.27,-274021,-327460,-0.836807549
2014/9/23,call,201410,9100,103,9134.29,112,9084.9,9147.21,9084.9,-266776,-357021,-0.7472277541
2014/9/24,call,201410,9100,104,9071.8,115,9098.49,9123.11,9071.8,-257239,-357021,-0.7205150397
2014/9/25,call,201410,9100,136,9126.76,65,9011.59,9149.41,8982.51,-309282,-357021,-0.8662851765
2014/9/26,call,201410,9000,73,8957.56,81,8989.82,9001.98,8913.51,-300194,-392282,-0.7652505086
2014/9/29,call,201410,9000,82,9018.46,80,8960.76,9018.46,8948.09,-302440,-392282,-0.7709759816
2014/9/30,call,201410,9000,72,8954.58,79,8966.92,8998.83,8860.17,-293711,-392282,-0.7487241321
2014/10/1,call,201411,9000,130,8958.87,150,8990.26,9014.26,8918.96,-278551,-392282,-0.710078464
2014/10/2,call,201411,9000,112,8959.37,156,8975.19,9010.27,8913.01,-233891,-392282,-0.5962317924
