date,callorput,dateline,strike_price,buyprice,big_open,sellprice,big_close,big_hight,big_low,total_profit,outputmoney,roi
2010/1/12,put,201002,8300,199,8343.73,197,8309.37,8356.97,8262.58,-2,-199,-0.0100502513
2010/1/13,put,201002,8200,171,8229.25,194,8196.56,8257.83,8194.81,21,-199,0.1055276382
2010/1/14,put,201002,8200,172,8245.86,148,8289.98,8313.94,8237.67,-3,-199,-0.0150753769
2010/1/15,put,201002,8300,215,8340.6,161,8356.89,8380.23,8325.82,-57,-218,-0.2614678899
2010/1/18,put,201002,8300,200,8290.38,150,8337.82,8367.65,8290.38,-107,-257,-0.4163424125
2010/1/19,put,201002,8400,197,8387.66,247,8249,8395.39,8227.3,-57,-304,-0.1875
2010/1/20,put,201002,8300,165,8309.19,193,8220.93,8309.19,8191.44,-29,-304,-0.0953947368
2010/1/21,put,201002,8200,165,8189.5,177,8127.87,8208.21,8107.55,-17,-304,-0.0559210526
2010/1/22,put,201002,8000,130,7986.43,200,7927.31,8015.95,7912.85,123,-304,0.4046052632
2010/1/25,put,201002,7800,131,7845.3,120,7872.99,7938.14,7828.34,90,-304,0.2960526316
2010/1/26,put,201002,7900,172,7903.03,371,7598.81,7922.07,7572.58,488,-304,1.6052631579
2010/1/27,put,201002,7600,164,7639.72,177,7560.03,7656.95,7530.41,540,-304,1.7763157895
2010/1/28,put,201002,7600,168,7630.16,88,7694.58,7756.77,7607.56,140,-304,0.4605263158
2010/1/29,put,201002,7600,143,7593.38,144,7640.44,7649.73,7481.9,143,-304,0.4703947368
2010/2/1,put,201003,7700,280,7653.89,346,7524.67,7661.7,7493.81,209,-304,0.6875
2010/2/2,call,201003,7600,207,7633.74,115,7429.61,7635.73,7398.8,-36591,-82791,-0.4419683299
2010/2/3,call,201003,7500,174,7523.79,202,7547.98,7550.82,7441.92,-23235,-119591,-0.1942871955
2010/2/4,put,201003,7600,283,7563.19,277,7542.04,7578.18,7504.96,-25275,-119591,-0.2113453354
2010/2/5,put,201003,7300,232,7323.16,311,7217.83,7352.98,7196.39,6799,-119591,0.0568521043
2010/2/6,call,201003,7200,240,7244.71,192,7212.87,7249.19,7080.9,-18449,-119591,-0.1542674616
2010/2/8,call,201003,7200,193,7236.63,203,7215.88,7253.24,7173.18,-13209,-119591,-0.1104514554
2010/2/9,call,201003,7200,210,7225.71,267,7361.04,7381.82,7197.13,15633,-119591,0.1307205392
2010/2/10,call,201003,7400,176,7438.12,202,7441.84,7496.34,7404.97,35601,-119591,0.2976896255
2010/2/22,call,201003,7600,191,7619.87,135,7560.04,7619.87,7553.29,-9871,-119591,-0.082539656
2010/2/23,put,201003,7600,200,7575.62,182,7597.44,7597.44,7502.45,-19735,-119591,-0.1650207792
2010/2/24,put,201003,7500,165,7516.47,164,7529.67,7585.19,7515.38,-20340,-119591,-0.1700796883
