date,callorput,dateline,strike_price,buyprice,big_open,sellprice,big_close,big_hight,big_low,total_profit,outputmoney,roi
2011/1/10,put,201102,8800,218,8798.05,188,8817.88,8817.88,8762.5,-30,-218,-0.1376146789
2011/1/11,put,201102,8800,197,8810.77,112,8931.36,8935.27,8794.77,-115,-227,-0.5066079295
2011/1/12,put,201102,9000,203,8992.01,184,8965,9000.78,8955.47,-134,-318,-0.4213836478
2011/1/13,put,201102,9000,160,9034.17,182,8975.58,9034.17,8948.23,-112,-318,-0.3522012579
2011/1/14,put,201102,9000,192,8985.34,181,8972.51,8998.14,8937.5,-123,-318,-0.3867924528
2011/1/17,put,201102,9000,161,8998.89,199,8925.09,9006.36,8921.19,-85,-318,-0.2672955975
2011/1/18,put,201102,8900,148,8889.84,112,8988,9003.45,8887.03,-121,-318,-0.3805031447
2011/1/19,put,201102,9000,153,9023.3,109,9086.02,9092.28,9005.77,-165,-318,-0.5188679245
2011/1/20,put,201102,9100,168,9059.8,174,9022.17,9063.52,9017.8,-159,-333,-0.4774774775
2011/1/21,put,201102,8900,92,8935.29,125,8954.38,8980.54,8892.27,-126,-333,-0.3783783784
2011/1/24,put,201102,9000,170,8983.59,149,8947.79,8993.56,8927.49,-147,-333,-0.4414414414
2011/1/25,put,201102,9000,126,9001.74,125,8991.39,9032.3,8991.39,-148,-333,-0.4444444444
2011/1/26,put,201102,9000,126,9010.41,79,9055.59,9072.76,9009.18,-195,-333,-0.5855855856
2011/1/27,put,201102,9100,115,9093.54,101,9102.33,9126.93,9092.97,-209,-333,-0.6276276276
2011/1/28,put,201102,9100,100,9122.16,79,9145.35,9154.93,9095.71,-230,-333,-0.6906906907
2011/2/8,put,201103,9200,200,9220.69,234,9111.46,9220.69,9085.41,-196,-430,-0.4558139535
2011/2/9,put,201103,9100,181,9107.96,214,9006.82,9129.88,8992.64,-163,-430,-0.3790697674
2011/2/10,put,201103,9000,171,8962.07,279,8836.56,8979.35,8836.56,-55,-430,-0.1279069767
2011/2/11,put,201103,8800,162,8842.41,328,8609.86,8842.41,8574.65,277,-430,0.6441860465
2011/2/14,put,201103,8700,258,8666.61,192,8685.47,8715.97,8626.66,145,-430,0.3372093023
2011/2/15,put,201103,8700,183,8679.12,165,8721.93,8753.05,8565.05,91,-430,0.211627907
2011/2/16,put,201103,8700,157,8740.32,184,8712.96,8767.09,8702.81,172,-430,0.4
2011/2/17,put,201103,8700,154,8738.71,183,8683.88,8745.65,8669.77,259,-430,0.6023255814
2011/2/18,put,201103,8800,217,8763.69,128,8843.84,8874.5,8763.69,-8,-430,-0.0186046512
2011/2/21,put,201103,8900,190,8867.16,176,8839.22,8867.16,8797.25,-36,-430,-0.0837209302
2011/2/22,put,201103,8700,113,8744.81,182,8673.67,8744.81,8613.34,171,-430,0.3976744186
2011/2/23,put,201103,8600,133,8604.32,182,8528.94,8673.2,8521.25,367,-430,0.8534883721
2011/2/24,put,201103,8600,188,8561.16,171,8541.64,8633.24,8541.64,299,-430,0.6953488372
2011/2/25,put,201103,8600,163,8597.87,119,8599.65,8635.04,8470.09,123,-430,0.2860465116
2011/3/1,put,201104,8600,188,8611.79,175,8727.56,8734.24,8611.79,97,-430,0.2255813953
2011/3/2,put,201104,8700,262,8675.37,282,8619.9,8709.57,8619.9,137,-430,0.3186046512
2011/3/3,put,201104,8700,260,8661.63,195,8738.37,8758.89,8661.63,7,-430,0.0162790698
2011/3/4,put,201104,8800,228,8815.52,233,8784.4,8829.23,8771.89,12,-430,0.0279069767
2011/3/7,put,201104,8800,231,8769.87,257,8713.79,8769.87,8706.38,38,-430,0.088372093
2011/3/8,put,201104,8700,220,8692.1,199,8747.75,8768.31,8692.1,-4,-430,-0.0093023256
2011/3/9,put,201104,8800,181,8810.35,227,8750.02,8824.41,8730.74,88,-430,0.2046511628
2011/3/10,put,201104,8800,230,8754.41,304,8642.9,8754.41,8635.75,236,-430,0.5488372093
2011/3/11,put,201104,8600,246,8566.91,220,8567.82,8593.71,8513.51,184,-430,0.4279069767
2011/3/14,put,201104,8600,285,8616.29,254,8520.02,8616.29,8395.11,122,-430,0.2837209302
2011/3/15,put,201104,8500,200,8493.83,599,8234.78,8519.9,8070.52,920,-430,2.1395348837
2011/3/16,put,201104,8300,215,8317.38,221,8324.58,8372.02,8257.08,956,-430,2.223255814
2011/3/17,put,201104,8200,226,8190.5,197,8282.69,8282.69,8150.73,782,-430,1.8186046512
2011/3/18,put,201104,8300,189,8343.79,190,8394.75,8399.17,8312.88,788,-430,1.8325581395
2011/3/21,put,201104,8400,209,8421.66,176,8467.71,8508.2,8394.22,623,-430,1.4488372093
2011/3/22,put,201104,8500,202,8523.27,198,8508.04,8552.82,8508.04,603,-430,1.4023255814
2011/3/23,put,201104,8500,210,8529.93,177,8545.08,8551.12,8481.96,471,-430,1.0953488372
2011/3/24,put,201104,8600,210,8589.71,177,8576.4,8603.43,8550.6,339,-430,0.788372093
2011/3/25,put,201104,8600,144,8645.37,145,8610.39,8658.05,8587.84,344,-430,0.8
2011/3/28,put,201104,8600,132,8587.99,177,8553.06,8604.24,8549.26,569,-430,1.323255814
2011/3/29,put,201104,8500,128,8538.44,102,8596.57,8596.57,8522.57,387,-430,0.9
2011/3/30,put,201104,8600,128,8605.83,127,8646.31,8671.59,8605.83,381,-430,0.8860465116
2011/3/31,put,201104,8700,160,8683.69,147,8683.3,8685.44,8608.05,316,-430,0.7348837209
2011/4/1,put,201105,8700,246,8697.84,210,8705.13,8705.13,8654.4,208,-430,0.4837209302
2011/4/15,put,201105,8800,196,8828.63,241,8718.12,8834.07,8716.7,343,-430,0.7976744186
2011/4/18,put,201105,8800,230,8752.56,232,8714.48,8764.65,8703.11,349,-430,0.811627907
2011/4/19,put,201105,8600,155,8643.4,173,8638.55,8658.97,8592.23,439,-430,1.0209302326
2011/4/20,put,201105,8700,167,8704.48,110,8813.28,8813.28,8698.97,154,-430,0.3581395349
2011/4/21,put,201105,8900,150,8893.07,110,8957.65,8992.08,8892.06,34,-430,0.0790697674
2011/4/22,put,201105,9000,204,8980.43,143,8969.43,8992.67,8956.07,-88,-430,-0.2046511628
2011/4/25,put,201105,9000,141,9015.91,152,8950.75,9037.09,8950.75,-66,-430,-0.1534883721
2011/4/26,put,201105,8900,121,8894.01,109,8948.14,8966.86,8866.74,-102,-430,-0.2372093023
2011/4/27,put,201105,9000,110,9012.28,110,9049.25,9060.5,9012.28,-102,-430,-0.2372093023
2011/5/4,put,201106,8900,211,8937.3,187,8947.35,8947.35,8864.55,-126,-430,-0.2930232558
2011/5/5,put,201106,8900,206,8930.24,139,9018.61,9029.58,8907.97,-193,-430,-0.4488372093
2011/5/6,put,201106,9000,217,8997.73,199,8977.23,9018.4,8954.81,-211,-430,-0.4906976744
2011/5/9,put,201106,9000,181,9001.8,168,9035.48,9081.26,8984.43,-224,-430,-0.5209302326
2011/5/10,put,201106,9000,163,9048.25,175,9023.28,9055.91,9007.93,-212,-430,-0.4930232558
2011/5/11,put,201106,9100,209,9073.88,238,9020.4,9082.01,9014.36,-183,-430,-0.4255813953
2011/5/12,put,201106,9000,207,8977.77,178,9033.68,9052.98,8963.24,-212,-430,-0.4930232558
2011/5/13,put,201106,9000,170,9039.55,174,9006.61,9059.46,8986.18,-208,-430,-0.4837209302
2011/5/16,put,201106,9000,193,8996.7,219,8911.71,8996.7,8911.71,-182,-430,-0.423255814
2011/5/17,put,201106,8900,205,8917.25,167,8884.09,8928.99,8854.14,-220,-430,-0.511627907
2011/5/18,put,201106,8900,163,8885.4,130,8944.84,8946.99,8885.4,-253,-430,-0.588372093
2011/5/19,put,201106,9000,170,8952.25,241,8892.88,9026.18,8888.21,-182,-430,-0.423255814
2011/5/20,put,201106,8900,157,8944.38,187,8837.03,8944.38,8822.75,-152,-430,-0.3534883721
2011/5/23,put,201106,8800,165,8767.3,170,8747.51,8776.46,8695.34,-147,-430,-0.3418604651
2011/5/24,put,201106,8700,128,8730.23,100,8756.61,8756.9,8673.38,-203,-430,-0.4720930233
2011/5/25,put,201106,8700,101,8732.3,138,8727.09,8763.64,8682.49,-129,-430,-0.3
2011/5/26,put,201106,8800,155,8797.29,123,8788.4,8807.08,8751.52,-161,-430,-0.3744186047
2011/5/27,put,201106,8800,124,8806.29,122,8810,8860.03,8803.59,-165,-430,-0.3837209302
2011/5/30,put,201106,8800,123,8757.66,97,8823.68,8844.03,8748.13,-217,-430,-0.5046511628
2011/5/31,put,201106,8900,124,8860.58,53,8988.84,9003.6,8860.58,-288,-430,-0.6697674419
2011/6/1,put,201107,9000,270,8999.84,219,9062.35,9089.47,8999.84,-339,-558,-0.6075268817
2011/6/3,put,201107,9000,234,9024.54,222,9046.28,9052.18,8997.35,-351,-573,-0.612565445
2011/6/9,put,201107,9000,260,9020.6,245,9000.94,9045.44,8996.08,-366,-611,-0.5990180033
2011/6/13,put,201107,8800,260,8791.67,291,8712.95,8811.97,8703.52,-335,-626,-0.53514377
2011/6/14,put,201107,8700,225,8737.24,170,8829.21,8836.51,8737.24,-390,-626,-0.6230031949
2011/6/15,put,201107,8800,205,8833.86,261,8831.45,8876.14,8733.6,-334,-626,-0.5335463259
2011/6/16,put,201107,8700,250,8739.84,291,8654.43,8739.84,8654.43,-293,-626,-0.4680511182
2011/6/17,put,201107,8700,300,8671.45,315,8636.1,8702,8618.85,-278,-626,-0.4440894569
2011/6/20,put,201107,8700,301,8679.15,354,8530.68,8685.33,8518.66,-225,-626,-0.3594249201
2011/6/21,put,201107,8600,235,8571.93,231,8597.62,8617.96,8523.04,-229,-626,-0.3658146965
