Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9
2008/12/23,4507,4524,4290,4350,4584.2,4589.8,4458.2,4643.38,104865,91255,97134,19.85,-2.32,22.17,0.52,0.69,0.34,0.44,0.13
2008/12/24,4310,4399,4241,4377,4526.2,4558.6,4466.75,4623.9,103165,100870,96087,4.17,-1.02,5.19,0.43,0.6,0.37,0.45,0.26
2008/12/25,4380,4405,4330,4396,4466,4531.3,4465.15,4602.57,43402,92097,90839,-5.51,-1.92,-3.59,0.39,0.53,0.4,0.46,0.3
2008/12/26,4372,4445,4339,4377,4405.4,4526.7,4461.05,4581.85,68148,83942,85673,-12.81,-4.1,-8.72,0.35,0.47,0.38,0.45,0.26
2008/12/29,4366,4399,4316,4388,4377.6,4504.8,4455.4,4560.93,47046,73325,79618,-19.33,-7.14,-12.18,0.33,0.42,0.4,0.46,0.29
2008/12/30,4429,4605,4422,4562,4420,4502.1,4472,4547.15,71659,66684,78970,-11.05,-7.92,-3.12,0.43,0.42,0.61,0.54,0.62
2008/12/31,4605,4614,4485,4548,4454.2,4490.2,4489.95,4532.25,68206,59692,80281,-3.56,-7.05,3.49,0.48,0.44,0.59,0.54,0.6
2009/1/5,4722,4797,4634,4669,4508.8,4487.4,4516.3,4524.8,97869,70586,81341,13.8,-2.88,16.68,0.58,0.49,0.7,0.59,0.77
2009/1/6,4699,4735,4638,4704,4574.2,4489.8,4542.55,4518.83,90227,75001,79472,27.48,3.19,24.29,0.66,0.55,0.72,0.6,0.83
2009/1/7,4758,4802,4711,4755,4647.6,4512.6,4556.75,4515.72,90777,83748,78536,42.71,11.1,31.62,0.75,0.61,0.76,0.62,0.92
2009/1/8,4650,4650,4434,4455,4626.2,4523.1,4556.45,4501.85,95219,88460,77572,33.64,15.6,18.03,0.59,0.61,0.4,0.47,0.29
2009/1/9,4447,4495,4405,4422,4601,4527.6,4543.1,4488.13,90292,92877,76285,21.16,16.72,4.44,0.47,0.56,0.38,0.45,0.22
2009/1/10,4362,4425,4344,4376,4542.4,4525.6,4528.45,4478.1,56091,84521,77553,6.69,14.71,-8.02,0.35,0.49,0.34,0.44,0.12
2009/1/12,4386,4472,4350,4423,4486.2,4530.2,4528.45,4471.75,93169,85110,80056,-1.79,11.41,-13.2,0.29,0.43,0.41,0.46,0.17
2009/1/13,4361,4524,4360,4517,4438.6,4543.1,4523.95,4466.68,93060,85566,84657,-3.42,8.44,-11.87,0.32,0.39,0.52,0.51,0.38
2009/1/14,4490,4552,4478,4509,4449.4,4537.8,4519.95,4461.53,81258,82774,85617,-2.07,6.34,-8.41,0.33,0.37,0.51,0.5,0.36
2009/1/15,4222,4300,4222,4235,4412,4506.5,4498.35,4454.52,74394,79594,86236,-22.05,0.66,-22.71,0.23,0.32,0.29,0.39,0.02
2009/1/16,4277,4329,4250,4324,4401.6,4472,4479.7,4451.68,76692,83715,84118,-32.77,-6.02,-26.74,0.21,0.29,0.39,0.43,0.18
2009/1/17,4330,4358,4306,4345,4386,4436.1,4462.95,4451.82,38280,72737,78923,-38.25,-12.47,-25.79,0.24,0.27,0.42,0.44,0.29
2009/1/19,4378,4394,4325,4359,4354.4,4396.5,4454.55,4457.23,48529,63831,74698,-40.46,-18.07,-22.4,0.3,0.28,0.43,0.45,0.42
2009/1/20,4266,4269,4205,4242,4301,4375.2,4449.15,4456,43414,56262,69518,-51.29,-24.71,-26.57,0.23,0.26,0.33,0.4,0.11
2009/1/21,4114,4265,4113,4258,4305.6,4358.8,4443.2,4455.4,35521,48487,64041,-60.46,-31.86,-28.6,0.27,0.26,0.36,0.41,0.33
