buy_or_sell,sellday,id,number,buyday,buyprice,sellprice
sell,2013/1/15,0,62.0,2013/1/15,80.0,72.0
sell,2013/1/16,0,141.0,2013/1/16,53.0,47.7
sell,2013/1/17,0,53.0,2013/1/17,79.0,102.7
sell,2013/1/22,0,55.0,2013/1/22,78.0,70.2
sell,2013/1/28,0,126.0,2013/1/28,64.0,83.2
sell,2013/1/29,0,155.0,2013/1/29,26.5,34.45
sell,2013/1/30,0,83.0,2013/1/30,50.0,45.0
sell,2013/2/18,0,43.0,2013/2/4,90.0,81.0
sell,2013/2/20,1,22.0,2013/2/5,89.0,115.7
sell,2013/2/21,0,42.0,2013/2/20,65.0,58.5
sell,2013/2/25,0,125.0,2013/2/23,57.0,51.3
sell,2013/2/25,1,1,2013/2/25,63.0,56.7
sell,2013/2/26,0,105.0,2013/2/26,60.0,54.0
sell,2013/2/27,0,72.0,2013/2/27,62.0,55.8
sell,2013/3/4,0,21.0,2013/3/1,119.0,107.1
sell,2013/3/4,1,11.0,2013/3/4,110.0,99.0
sell,2013/3/6,0,49.0,2013/3/5,76.0,98.8
sell,2013/3/6,1,14.0,2013/3/6,68.0,61.2
sell,2013/3/8,0,24.0,2013/3/7,97.0,126.1
sell,2013/3/8,1,20.0,2013/3/8,57.0,74.1
sell,2013/3/11,0,48.0,2013/3/11,80.0,104.0
sell,2013/3/12,0,27.0,2013/3/12,90.0,81.0
sell,2013/3/13,0,33.0,2013/3/13,70.0,63.0
sell,2013/3/14,0,32.0,2013/3/14,67.0,60.3
sell,2013/3/15,0,33.0,2013/3/15,61.0,54.9
sell,2013/3/18,0,33.0,2013/3/18,58.0,52.2
sell,2013/3/22,0,38.0,2013/3/22,48.0,43.2
sell,2013/3/26,0,29.0,2013/3/26,58.0,52.2
sell,2013/3/27,0,27.0,2013/3/27,60.0,54.0
sell,2013/3/28,0,105.0,2013/3/28,29.0,26.1
sell,2013/3/29,0,42.0,2013/3/29,31.5,40.95
sell,2013/4/2,0,34.0,2013/4/1,79.0,71.1
sell,2013/4/2,1,1.0,2013/4/2,72.0,64.8
sell,2013/4/3,0,31.0,2013/4/3,78.0,70.2
sell,2013/4/8,0,34.0,2013/4/8,63.0,56.7
sell,2013/4/9,0,21.0,2013/4/9,90.0,81.0
sell,2013/4/11,0,22.0,2013/4/10,76.0,98.8
sell,2013/4/12,0,15.0,2013/4/12,58.0,52.2
sell,2013/4/15,0,22.0,2013/4/15,37.0,33.3
sell,2013/4/16,0,15.0,2013/4/16,52.0,67.6
sell,2013/4/22,0,21.0,2013/4/22,36.5,32.85
sell,2013/4/24,0,23.0,2013/4/24,32.0,41.6
