date,callorput,open,high,close,buyprice,sellprice,totalprofit,roi
2016/1/18,call,7678.67,7834.25,7811.18,7678.67,7811.18,132.51,0.0172568947487
2016/1/19,call,7816.45,7854.88,7854.88,7816.45,7854.88,170.94,0.0222463996335
2016/1/20,call,7835.17,7835.17,7699.12,7835.17,7699.12,34.89,0.00454063930744
2016/1/21,call,7713.17,7748.37,7664.01,7713.17,7664.01,-14.27,-0.00185712017533
2016/1/22,call,7729.01,7774.12,7756.18,7729.01,7756.18,12.9,0.00166596067816
2016/1/25,call,7813.73,7899.66,7894.15,7813.73,7894.15,93.32,0.0119628295963
2016/1/26,call,7832.1,7848.63,7828.67,7832.1,7828.67,89.89,0.0115231327948
2016/1/27,call,7863.66,7888.63,7849.83,7863.66,7849.83,76.06,0.00975024452526
2016/1/28,call,7825.22,7921.06,7905.1,7825.22,7905.1,155.94,0.0199901805321
2016/1/29,call,7880.78,8080.6,8080.6,7880.78,8080.6,355.76,0.0456054035276
2016/1/30,call,8107.23,8149.5,8145.21,8107.23,8145.21,393.74,0.0504741162158
2016/2/1,call,8164.24,8166.8,8156.96,8164.24,8156.96,386.46,0.0495408821882
2016/2/2,call,8141.52,8156.25,8131.24,8141.52,8131.24,376.18,0.0482230736986
2016/2/3,call,8117.22,8117.22,8063.0,8117.22,8063.0,321.96,0.0412725312563
2016/2/15,call,7976.65,8074.8,8066.51,7976.65,8066.51,411.82,0.0527918183065
2016/2/16,call,8090.91,8227.19,8212.07,8090.91,8212.07,532.98,0.0683234989097
2016/2/17,call,8240.73,8253.8,8214.25,8240.73,8214.25,506.5,0.0649289883256
2016/2/18,call,8261.74,8337.97,8314.67,8261.74,8314.67,559.43,0.0717141637492
2016/2/19,call,8291.83,8325.04,8325.04,8291.83,8325.04,592.64,0.075971403043
2016/2/22,call,8315.79,8396.62,8326.68,8315.79,8326.68,603.53,0.0773674083399
2016/2/23,call,8333.59,8361.79,8334.64,8333.59,8334.64,604.58,0.0775020094016
2016/2/24,call,8332.66,8382.25,8282.86,8332.66,8282.86,554.78,0.0711180733332
2016/2/25,call,8304.18,8388.63,8365.86,8304.18,8365.86,616.46,0.0790249242709
2016/2/26,call,8380.53,8432.74,8411.16,8380.53,8411.16,647.09,0.0829514295274
2016/3/1,call,8381.38,8489.01,8485.69,8381.38,8485.69,751.4,0.0963230835693
2016/3/2,call,8544.66,8586.25,8544.05,8544.66,8544.05,750.79,0.096244886762
2016/3/3,call,8569.05,8630.77,8611.79,8569.05,8611.79,793.53,0.101497008286
2016/3/4,call,8611.37,8648.94,8643.55,8611.37,8643.55,825.71,0.105613013637
2016/3/7,call,8656.74,8727.88,8659.55,8656.74,8659.55,828.52,0.105799620229
2016/3/8,call,8655.86,8668.51,8664.31,8655.86,8664.31,836.97,0.106878660917
2016/3/9,call,8649.1,8657.17,8634.11,8649.1,8634.11,821.98,0.104964481045
2016/3/10,call,8633.66,8680.43,8660.7,8633.66,8660.7,849.02,0.108417411247
2016/3/11,call,8663.29,8707.97,8706.14,8663.29,8706.14,891.87,0.113889232962
2016/3/14,call,8746.48,8777.05,8747.9,8746.48,8747.9,893.29,0.113728116355
2016/3/15,put,8745.57,8759.94,8611.18,8745.57,8879.96,1027.68,0.130837813717
2016/3/16,put,8637.63,8699.14,8699.14,8637.63,8576.12,966.17,0.12300674381
2016/3/17,put,8763.51,8826.84,8734.54,8763.51,8792.48,995.14,0.126695023687
2016/3/18,put,8747.05,8810.71,8810.71,8747.05,8683.39,931.48,0.118590229178
2016/3/21,put,8826.16,8840.75,8812.7,8826.16,8839.62,944.94,0.119693261791
2016/3/22,put,8806.02,8814.37,8785.68,8806.02,8826.36,965.28,0.122269680342
2016/3/23,put,8777.88,8814.5,8766.09,8777.88,8789.67,977.07,0.123763091094
2016/3/24,put,8745.42,8765.96,8743.38,8745.42,8747.46,979.11,0.124021492955
2016/3/25,put,8758.14,8765.62,8704.97,8758.14,8811.31,1032.28,0.130756408113
2016/3/28,put,8713.72,8737.86,8690.45,8713.72,8736.99,1055.55,0.133703962669
2016/3/29,call,8687.06,8711.11,8617.35,8687.06,8617.35,985.84,0.124873965759
2016/3/30,call,8624.93,8744.47,8737.04,8624.93,8737.04,1097.95,0.139074668004
2016/3/31,call,8757.22,8803.91,8744.83,8757.22,8744.83,1085.56,0.137505256705
2016/4/1,call,8700.38,8704.53,8657.55,8700.38,8657.55,1042.73,0.13208008431
2016/4/6,call,8605.16,8605.16,8513.3,8605.16,8513.3,950.87,0.120444400533
2016/4/7,call,8523.25,8529.44,8490.25,8523.25,8490.25,917.87,0.116264370437
2016/4/8,call,8464.78,8546.31,8541.5,8464.78,8541.5,994.59,0.125982307073
2016/4/11,call,8518.96,8568.44,8562.59,8518.96,8562.59,1038.22,0.13150881353
2016/4/12,call,8561.21,8613.56,8531.18,8561.21,8531.18,1008.19,0.127704986143
2016/4/13,call,8562.79,8653.08,8652.08,8562.79,8652.08,1097.48,0.139015134242
2016/4/14,call,8684.93,8719.15,8667.71,8684.93,8667.71,1080.26,0.136833918538
2016/4/15,call,8634.23,8700.39,8700.39,8634.23,8700.39,1146.42,0.145214245543
2016/4/18,call,8681.8,8686.98,8666.01,8681.8,8666.01,1130.63,0.143214164475
2016/4/19,call,8701.75,8743.35,8633.72,8701.75,8633.72,1062.6,0.134596969098
2016/4/20,call,8649.09,8695.22,8514.48,8649.09,8514.48,927.99,0.117546246333
2016/4/21,call,8549.14,8568.65,8568.65,8549.14,8568.65,947.5,0.120017530793
