交易日期,契約,到期月份(週別),履約價,買賣權,開盤價,最高價,最低價,收盤價,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易
2017/5/2,TXO,201705,8600,賣權,1,1,0.7,0.7,263,0.7,7685,0.5,0.7,24,0.7,
2017/5/2,TXO,201705,8700,買權,0,0,0,0,0,1230,12,740,1580,1220,880,
2017/5/2,TXO,201705,8700,賣權,1.2,1.3,1,1,1014,1,24151,0.9,1,30.5,1,
2017/5/2,TXO,201705,8800,買權,0,0,0,0,0,1130,61,94,1430,1120,825,
2017/5/2,TXO,201705,8800,賣權,1.6,1.7,1.2,1.2,1113,1.2,21709,1.2,1.3,38,1.2,
2017/5/2,TXO,201705,8900,買權,0,0,0,0,0,1030,13,71,1430,1020,675,
2017/5/2,TXO,201705,8900,賣權,2,2,1.3,1.3,1702,1.3,9652,1.3,1.4,48,1.3,
2017/5/2,TXO,201705,9000,買權,0,0,0,0,0,930,21,71,1310,915,620,
2017/5/2,TXO,201705,9000,賣權,2.1,2.1,1.6,1.7,1956,1.7,12591,1.6,1.7,61,1.6,
2017/5/2,TXO,201705,9100,買權,0,0,0,0,0,830,56,459,1140,755,515,
2017/5/2,TXO,201705,9100,賣權,2.4,2.6,1.9,2,2360,2,13204,1.9,2,77,1.9,
2017/5/2,TXO,201705,9200,買權,715,745,625,735,37,735,91,450,1030,775,420,
2017/5/2,TXO,201705,9200,賣權,2.8,2.9,2.3,2.4,2892,2.4,17456,2.2,2.4,97,2.3,
2017/5/2,TXO,201705,9300,買權,605,930,605,645,24,635,239,625,650,930,332,
2017/5/2,TXO,201705,9300,賣權,4,4,2.9,2.9,5441,2.9,19617,2.9,3,122,2.9,
2017/5/2,TXO,201705,9400,買權,525,550,525,535,15,535,816,515,570,575,254,
2017/5/2,TXO,201705,9400,賣權,5.5,5.5,3.8,3.9,6280,3.9,24213,3.9,4,152,3.8,
2017/5/2,TXO,201705,9500,買權,403,454,403,437,408,437,1377,434,439,487,183,
2017/5/2,TXO,201705,9500,賣權,7.7,7.7,5,5.6,9636,5.6,28548,5.4,5.6,190,5,
2017/5/2,TXO,201705,9600,買權,308,357,308,339,609,339,2959,339,341,411,122,
2017/5/2,TXO,201705,9600,賣權,13,13,8,8.6,15353,8.6,28874,8.5,8.8,231,8,
2017/5/2,TXO,201705,9700,買權,219,264,219,247,2134,247,11587,245,248,330,73,
2017/5/2,TXO,201705,9700,賣權,23,23,14,15.5,14250,15.5,25711,15,15.5,278,14,
2017/5/2,TXO,201705,9800,買權,138,176,138,160,8617,160,18534,159,160,260,39,
2017/5/2,TXO,201705,9800,賣權,42.5,42.5,26,28.5,18115,28.5,26252,28.5,29,347,26,
2017/5/2,TXO,201705,9900,買權,74,102,74,87,17092,87,27669,87,88,199,17.5,
2017/5/2,TXO,201705,9900,賣權,79,79,52,58,14189,58,12136,57,58,390,52,
2017/5/2,TXO,201705,10000,買權,34,51,34,41.5,37692,41.5,46801,41.5,42,145,7.1,
2017/5/2,TXO,201705,10000,賣權,138,138,100,110,9148,110,5567,110,111,482,100,
2017/5/2,TXO,201705,10200,買權,5.3,7.9,5.2,5.9,18594,5.9,39372,5.9,6.1,88,1.8,
2017/5/2,TXO,201705,10200,賣權,293,296,259,275,334,275,527,273,276,605,259,
2017/5/2,TXO,201705,10400,買權,1,1.4,1,1,1883,1,17849,1,1.1,48,0.6,
2017/5/2,TXO,201705,10400,賣權,477,477,456,469,19,470,74,467,473,780,456,
