Date,Open,High,Low,Close,SMA5,SMA10,SMA20,SMA60,Volume,MA5,MA10,DIF,ACD9,OSC,K,D,RSI6,RSI12,RSV9,Open1,High1,Low1,Close1,SMA51,SMA101,SMA201,SMA601,Volume1,MA51,MA101,DIF1,ACD91,OSC1,K1,D1,RSI61,RSI121,RSV91,Open2,High2,Low2,Close2,SMA52,SMA102,SMA202,SMA602,Volume2,MA52,MA102,DIF2,ACD92,OSC2,K2,D2,RSI62,RSI122,RSV92
2006/1/25,6471,6532,6453,6532,6469.4,6567.2,6617.25,6341.72,30132,32229,31740,15.48,59.83,-44.36,0.24,0.27,0.48,0.49,0.4,212,216,210.5,215,210.2,212.95,202.68,180.57,11906,12060,16600,8.78,9.12,-0.34,0.47,0.54,0.65,0.66,0.52,63,63.5,62.3,63.5,62.34,63.18,63.73,60.94,39855,38756,43027,0.18,0.61,-0.43,0.29,0.27,0.54,0.52,0.55
2006/2/3,6568,6614,6545,6585,6483.8,6555.2,6616.25,6354.1,31029,30083,31462,17.06,51.28,-34.22,0.34,0.29,0.55,0.53,0.53,218.5,220,208,210.5,210.7,212.85,203.97,181.53,18035,13144,15369,8.45,8.99,-0.54,0.43,0.5,0.53,0.59,0.35,64,64.5,62.3,63.4,62.62,62.97,63.76,61.1,79437,44267,46321,0.19,0.53,-0.34,0.37,0.3,0.53,0.51,0.53
2006/2/6,6555,6722,6500,6700,6529.4,6554,6621.5,6367.68,39983,30822,32223,23.95,45.81,-21.86,0.5,0.36,0.67,0.6,0.83,209,211.5,204,211.5,211.1,212.9,205.55,182.46,17399,14631,15406,7.88,8.77,-0.88,0.42,0.48,0.55,0.6,0.39,63,66.5,61.6,66.5,63.42,63.17,63.95,61.31,52337,47670,47858,0.34,0.49,-0.15,0.58,0.39,0.73,0.63,1
2006/2/7,6700,6742,6678,6705,6594.4,6551.6,6632.85,6382.23,35636,32300,32365,33.22,43.29,-10.07,0.63,0.45,0.68,0.6,0.9,210.5,213.5,207,213,211.8,211.7,207.13,183.43,13541,14780,14530,7.51,8.51,-1,0.49,0.48,0.59,0.62,0.63,64,65.3,64,65,64.06,63.28,64.16,61.49,40155,50085,48274,0.42,0.48,-0.06,0.62,0.47,0.59,0.56,0.71
2006/2/8,6702,6703,6607,6619,6628.2,6544.6,6631.75,6395.22,32331,33822,32794,34.48,41.53,-7.05,0.64,0.52,0.53,0.53,0.66,213.5,214,210,212,212.4,210.8,208.43,184.37,9269,14030,13736,7.16,8.24,-1.08,0.52,0.49,0.55,0.6,0.58,65,65,63,63.1,64.3,63.13,64.17,61.63,34913,49339,47977,0.38,0.46,-0.08,0.53,0.49,0.45,0.48,0.35
2006/2/9,6679,6699,6572,6593,6640.4,6554.9,6628.65,6405.55,38601,35516,33873,33.26,39.88,-6.61,0.63,0.55,0.49,0.51,0.59,215,216,211,214,212.2,211.2,209.32,185.32,12817,14212,13136,6.95,7.98,-1.04,0.57,0.52,0.61,0.62,0.68,64,64.2,62.6,63,64.2,63.27,64.14,61.76,37009,48770,43763,0.31,0.43,-0.12,0.46,0.48,0.44,0.48,0.31
2006/2/10,6596,6620,6542,6563,6636,6559.9,6620.65,6414.93,36182,36547,33315,28.56,37.61,-9.05,0.59,0.56,0.44,0.49,0.51,214,214,207,208,211.7,211.2,209.57,186.18,9947,12595,12869,6.34,7.66,-1.32,0.51,0.52,0.42,0.53,0.37,63,63.1,62,62.6,64.04,63.33,64.08,61.87,37461,40375,42321,0.21,0.38,-0.18,0.38,0.45,0.41,0.46,0.24
2006/2/13,6551,6607,6522,6541,6604.2,6566.8,6611.85,6422.35,28680,34286,32554,23.01,34.69,-11.68,0.53,0.55,0.41,0.47,0.4,205,205.5,200,200.5,209.5,210.3,209.6,186.85,18211,12757,13694,5.18,7.16,-1.98,0.35,0.46,0.29,0.44,0.03,62.1,62.7,62,62.4,63.22,63.32,63.92,61.96,25958,35099,41385,0.11,0.33,-0.22,0.31,0.4,0.4,0.46,0.16
2006/2/14,6528,6620,6512,6610,6585.2,6589.8,6604.35,6431.02,31792,33517,32909,21.22,32,-10.78,0.53,0.54,0.54,0.53,0.54,200,204.5,195.5,202,207.3,209.55,209.8,187.49,15867,13222,14001,4.17,6.56,-2.39,0.32,0.41,0.34,0.46,0.27,62,62.3,61.6,62.3,62.68,63.37,63.63,62.05,46120,36292,43189,0.01,0.26,-0.26,0.25,0.35,0.39,0.45,0.14
2006/2/15,6600,6643,6574,6590,6579.4,6603.8,6596.9,6440.35,15038,30059,31940,20.46,29.69,-9.23,0.48,0.52,0.5,0.51,0.37,203,207,202,202,205.3,208.85,210.05,188.16,11229,13614,13822,3.51,5.95,-2.45,0.3,0.37,0.34,0.46,0.27,62.5,62.5,61.1,61.3,62.32,63.31,63.36,62.12,37024,36714,43027,-0.12,0.19,-0.31,0.18,0.3,0.31,0.41,0.04
2006/2/16,6590,6685,6582,6669,6594.6,6617.5,6592.35,6450.85,48942,32127,33821,23.79,28.51,-4.72,0.55,0.53,0.63,0.57,0.7,206,212.5,205.5,211,204.7,208.45,210.7,188.92,16546,14360,14286,3.49,5.46,-1.97,0.45,0.4,0.59,0.57,0.76,61.9,62.9,61.6,62.4,62.2,63.2,63.19,62.21,43052,37923,43347,-0.15,0.12,-0.27,0.2,0.26,0.46,0.47,0.24
