date,callorput,open,high,close,buyprice,sellprice,totalprofit,roi
2010/1/11,put,8291.52,8357.9,8323.82,8291.52,8259.22,-32.3,-0.00389554629308
2010/1/12,put,8343.73,8356.97,8309.37,8343.73,8378.09,2.06,0.000245939902316
2010/1/13,put,8229.25,8257.83,8196.56,8229.25,8261.94,34.75,0.00414874349781
2010/1/14,put,8245.86,8313.94,8289.98,8245.86,8201.74,-9.37,-0.00111866839063
2010/1/15,put,8340.6,8380.23,8356.89,8340.6,8324.31,-25.66,-0.00306350383177
2010/1/18,put,8290.38,8367.65,8337.82,8290.38,8242.94,-73.1,-0.00872728488317
2010/1/19,put,8387.66,8395.39,8249.0,8387.66,8526.32,65.56,0.00774871288159
2010/1/20,put,8309.19,8309.19,8220.93,8309.19,8397.45,153.82,0.0181803998695
2010/1/21,put,8189.5,8208.21,8127.87,8189.5,8251.13,215.45,0.0254646154719
2010/1/22,put,7986.43,8015.95,7927.31,7986.43,8045.55,274.57,0.0324521674176
2010/1/25,put,7845.3,7938.14,7872.99,7845.3,7817.61,246.88,0.0291794117786
2010/1/26,put,7903.03,7922.07,7598.81,7903.03,8207.25,551.1,0.0651359925113
2010/1/27,put,7639.72,7656.95,7560.03,7639.72,7719.41,630.79,0.0745547681296
2010/1/28,put,7630.16,7756.77,7694.58,7630.16,7565.74,566.37,0.0669407949168
2010/1/29,put,7593.38,7649.73,7640.44,7593.38,7546.32,519.31,0.0613786468355
2010/2/1,put,7653.89,7661.7,7524.67,7653.89,7783.11,648.53,0.0766515064841
2010/2/2,put,7633.74,7635.73,7429.61,7633.74,7837.87,852.66,0.100778180684
2010/2/3,put,7523.79,7550.82,7547.98,7523.79,7499.6,828.47,0.0979190994662
2010/2/4,put,7563.19,7578.18,7542.04,7563.19,7584.34,849.62,0.1004188749
2010/2/5,put,7323.16,7352.98,7217.83,7323.16,7428.49,954.95,0.112868111139
2010/2/6,put,7244.71,7249.19,7212.87,7244.71,7276.55,986.79,0.116631366449
2010/2/8,put,7236.63,7253.24,7215.88,7236.63,7257.38,1007.54,0.119083864806
2010/2/9,put,7225.71,7381.82,7361.04,7225.71,7090.38,872.21,0.10308884781
2010/2/10,put,7438.12,7496.34,7441.84,7438.12,7434.4,868.49,0.102649170996
2010/2/22,put,7619.87,7619.87,7560.04,7619.87,7679.7,928.32,0.109720639753
2010/2/23,put,7575.62,7597.44,7597.44,7575.62,7553.8,906.5,0.107141675216
2010/2/24,put,7516.47,7585.19,7529.67,7516.47,7503.27,893.3,0.105581531683
2010/2/25,put,7568.42,7568.42,7426.96,7568.42,7709.88,1034.76,0.12230106988
2010/2/26,put,7451.17,7479.28,7436.1,7451.17,7466.24,1049.83,0.124082233747
2010/3/1,put,7492.84,7620.56,7577.75,7492.84,7407.93,964.92,0.114046492277
2010/3/2,put,7649.62,7664.49,7597.62,7649.62,7701.62,1016.92,0.120192512257
2010/3/3,put,7628.78,7670.25,7629.52,7628.78,7628.04,1016.18,0.120105049665
