date,dateline,type,strike_price,callorput,open,high,low,close,open_interest
2014/1/2,201401W1,TXO,7800,call,0,0,0,0,8
2014/1/2,201401W1,TXO,7800,put,0,0,0,0,52
2014/1/2,201401W1,TXO,7900,call,0,0,0,0,8
2014/1/2,201401W1,TXO,7900,put,0,0,0,0,0
2014/1/2,201401W1,TXO,8000,call,0,0,0,0,8
2014/1/2,201401W1,TXO,8000,put,0,0,0,0,60
2014/1/2,201401W1,TXO,8100,call,0,0,0,0,8
2014/1/2,201401W1,TXO,8100,put,0,0,0,0,85
2014/1/2,201401W1,TXO,8200,call,416,416,395,406,29
2014/1/2,201401W1,TXO,8200,put,0.1,0.1,0.1,0.1,968
2014/1/2,201401W1,TXO,8250,call,369,369,369,369,125
2014/1/2,201401W1,TXO,8250,put,0.1,0.1,0.1,0.1,1782
2014/1/2,201401W1,TXO,8300,call,319,319,296,306,114
2014/1/2,201401W1,TXO,8300,put,0.2,0.6,0.1,0.1,3698
2014/1/2,201401W1,TXO,8350,call,262,262,242,258,215
2014/1/2,201401W1,TXO,8350,put,0.2,0.6,0.1,0.1,5825
2014/1/2,201401W1,TXO,8400,call,212,230,190,206,931
2014/1/2,201401W1,TXO,8400,put,0.2,0.2,0.1,0.1,10231
2014/1/2,201401W1,TXO,8450,call,162,178,141,156,2376
2014/1/2,201401W1,TXO,8450,put,0.2,0.2,0.1,0.1,11150
2014/1/2,201401W1,TXO,8500,call,120,130,90,106,3003
2014/1/2,201401W1,TXO,8500,put,0.5,0.5,0.1,0.1,12429
2014/1/2,201401W1,TXO,8550,call,79,82,40,57,5737
2014/1/2,201401W1,TXO,8550,put,0.5,1.5,0.1,0.1,17233
2014/1/2,201401W1,TXO,8600,call,30,33,4.2,6.2,12823
2014/1/2,201401W1,TXO,8600,put,4.9,15.5,0.2,0.3,20987
2014/1/2,201401W1,TXO,8650,call,8,8,0.1,0.3,21527
2014/1/2,201401W1,TXO,8650,put,26.5,62,22,44,3179
2014/1/2,201401W1,TXO,8700,call,1.2,1.2,0.1,0.3,10582
2014/1/2,201401W1,TXO,8700,put,72,111,69,93,1092
