date,roi
2014/1/2,1.0
2014/1/3,1.0
2014/1/6,1.0
2014/1/7,1.0
2014/1/8,1.0
2014/1/9,1.0
2014/1/10,1.0
2014/1/13,1.0
2014/1/14,1.0
2014/1/15,0.9955
2014/1/16,1.081
2014/1/17,1.081
2014/1/20,1.081
2014/1/21,1.081
2014/1/22,1.081
2014/1/23,1.081
2014/1/24,1.081
2014/1/27,1.081
2014/2/5,1.081
2014/2/6,1.081
2014/2/7,1.081
2014/2/10,1.081
2014/2/11,1.07575
2014/2/12,1.4905
2014/2/13,1.4905
2014/2/14,1.4905
2014/2/17,1.4905
2014/2/18,1.4905
2014/2/19,1.4905
2014/2/20,1.4905
2014/2/21,1.4905
2014/2/24,1.4905
2014/2/25,1.4905
2014/2/26,1.4905
2014/2/27,1.4905
2014/3/3,1.4905
2014/3/4,1.4905
2014/3/5,1.4905
2014/3/6,1.4845
2014/3/7,1.8865
2014/3/10,1.8865
2014/3/11,1.8865
2014/3/12,1.8865
2014/3/13,1.8865
2014/3/14,1.8865
2014/3/17,1.8865
2014/3/18,1.8865
2014/3/19,1.8865
2014/3/20,1.8865
2014/3/21,1.8865
2014/3/24,1.8865
2014/3/25,1.8865
2014/3/26,1.8865
2014/3/27,1.8865
2014/3/28,1.8865
2014/3/31,1.8865
2014/4/1,1.8865
2014/4/2,1.8865
2014/4/3,1.8865
2014/4/7,1.8865
2014/4/8,1.8865
2014/4/9,1.8865
2014/4/10,1.8865
2014/4/11,1.8865
2014/4/14,1.8865
2014/4/15,1.8865
2014/4/16,1.8865
2014/4/17,1.8865
2014/4/18,1.8865
2014/4/21,1.8865
2014/4/22,1.8865
2014/4/23,1.8865
2014/4/24,1.8865
2014/4/25,1.8865
2014/4/28,1.8865
2014/4/29,1.8865
2014/4/30,1.8865
2014/5/2,1.877
2014/5/5,2.2095
2014/5/6,2.2005
2014/5/7,2.1195
2014/5/8,2.1195
2014/5/9,2.1195
2014/5/12,2.1195
2014/5/13,2.1195
2014/5/14,2.1195
2014/5/15,2.1195
2014/5/16,2.1195
2014/5/19,2.1195
2014/5/20,2.1195
2014/5/21,2.1195
2014/5/22,2.10025
2014/5/23,3.98675
2014/5/26,3.98675
2014/5/27,3.98675
2014/5/28,3.98675
2014/5/29,3.98675
2014/5/30,3.98675
2014/6/3,3.98675
2014/6/4,3.98675
2014/6/5,3.98675
2014/6/6,3.98675
2014/6/9,3.98675
2014/6/10,3.98675
2014/6/11,3.98675
2014/6/12,3.98675
2014/6/13,3.98675
2014/6/16,3.98675
2014/6/17,3.98675
2014/6/18,3.92775
2014/6/19,5.52075
2014/6/20,5.52075
2014/6/23,5.52075
2014/6/24,5.52075
2014/6/25,5.52075
2014/6/26,5.52075
2014/6/27,5.52075
2014/6/30,5.4295
2014/7/1,17.657
2014/7/2,17.4745
2014/7/3,26.2345
2014/7/4,26.2345
2014/7/7,26.2345
2014/7/8,26.2345
2014/7/9,26.2345
2014/7/10,26.2345
2014/7/11,26.2345
2014/7/14,26.2345
2014/7/15,26.2345
2014/7/16,26.2345
2014/7/17,26.2345
2014/7/18,26.23425
2014/7/21,26.01125
2014/7/22,29.2005
2014/7/24,43.79325
2014/7/25,25.24575
2014/7/28,25.24575
2014/7/29,25.24575
2014/7/30,25.24575
2014/7/31,25.24575
2014/8/1,25.24575
2014/8/4,25.094
2014/8/5,12.49875
2014/8/6,12.49875
2014/8/7,12.49875
2014/8/8,12.49875
2014/8/11,12.49875
2014/8/12,12.49875
2014/8/13,12.428
2014/8/14,16.88525
2014/8/15,16.88525
2014/8/18,16.88525
2014/8/19,16.74525
2014/8/20,24.72525
2014/8/21,24.72525
2014/8/22,24.571
2014/8/25,48.78825
2014/8/26,48.78825
2014/8/27,48.361
2014/8/28,68.44175
2014/8/29,68.44175
2014/9/1,68.03
2014/9/2,51.14825
2014/9/3,51.14825
2014/9/4,51.14825
2014/9/5,51.14825
2014/9/9,51.14825
2014/9/10,51.14825
2014/9/11,51.14825
2014/9/12,51.14825
